Ticker;YearFinancialIndicator;GisSector;FichierSTCKP;CompanyGR2014;CompanyGR2015;CompanyGR2016;DebtRatio;NetMargin;ROA;PriceToBookRatio;ROE;PayoutRatio;RetentionRatio;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore 
ANDV;2012;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,37;0,02;0,07;1,40;0,19;0,05;0,95;2014;384;0,12;0,00;0,00;0,00;0,00;0,34;0,00;0,05;0,00
ANDV;2013;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,66;0,01;0,03;1,70;0,10;0,25;0,75;2015;472;0,06;0,00;0,00;0,00;0,00;0,01;0,00;0,05;0,00
ANDV;2014;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,96;0,02;0,06;2,00;0,19;0,20;0,80;2016;216;0,35;0,06;0,08;0,07;0,09;0,01;0,00;0,05;0,00
ANDV;2015;Energy;NA;tesoro;tesoro corporation;tesoro corp;0,78;0,05;0,09;2,30;0,32;0,13;0,88;;;;;;;;;;;
BG;2012;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,35;0,00;0,00;1,00;0,00;0,41;0,59;2014;268;0,26;0,21;0,36;0,41;0,47;0,22;0,00;0,00;0,00
BG;2013;Consumer Staples;NA;bunge;bunge limited;bunge ltd;his ;0,00;0,01;1,30;0,02;0,00;1,00;2015;213;0,38;0,05;0,07;0,05;0,06;0,10;0,00;0,05;0,00
BG;2014;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,37;0,01;0,02;1,50;0,06;0,30;0,70;2016;197;0,37;0,03;0,07;0,07;0,05;0,10;0,00;0,05;0,00
BG;2015;Consumer Staples;NA;bunge;bunge limited;bunge ltd;0,51;0,02;0,04;1,70;0,11;0,39;0,61;;;;;;;;;;;
BMRN;2012;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,32;-0,23;-0,08;6,10;-0,13;0,00;1,00;2014;435;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
BMRN;2013;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,49;-0,32;-0,09;7,90;-0,15;0,00;1,00;2015;322;0,22;0,00;0,00;0,00;0,00;0,17;0,00;0,00;0,05
BMRN;2014;Health Care;NA;biomarin pharmaceutical;biomarin pharmaceutical inc;biomarin pharmaceutical inc;0,43;-0,18;-0,06;8,90;-0,09;0,00;1,00;2016;306;0,24;0,00;0,02;0,00;0,00;0,17;0,00;0,00;0,05
