Ticker;Companies;GisSector;GicsClassification;FichierSTCKP;CompanyGR2014;CompanyGR2015;CompanyGR2016
A;1;Health Care;5;A_quarterly_financial_data.xls;agilent technologies;agilent technologies inc;agilent technologies inc
AAL;2;Industrials;6;AMR_quarterly_financial_data.xls;american airlines group;american airlines group inc;american airlines group inc
AAP;3;Consumer Discretionary;1;AAP_quarterly_financial_data.xls;advance auto parts;advance auto parts inc;advance auto parts inc
AAPL;4;Information Technology;7;AAPL_quarterly_financial_data.xls;apple;apple inc;apple inc
ABBV;5;Health Care;5;ABBV_quarterly_financial_data.xls;abbvie;abbvie inc;abbvie inc
ABC;6;Health Care;5;ABC_quarterly_financial_data.xls;amerisourcebergen;amerisourcebergen corporation;amerisourcebergen corp
ABT;7;Health Care;5;ABT_quarterly_financial_data.xls;abbott laboratories;abbott laboratories;abbott laboratories
ACIW;8;Industrials;6;ACIW_quarterly_financial_data.xls;union pacific;union pacific corporation;union pacific corp
ADBE;9;Information Technology;7;ADBE_quarterly_financial_data.xls;adobe systems;adobe systems incorporated;adobe systems inc
ADI;10;Information Technology;7;ADI_quarterly_financial_data.xls;analog devices;analog devices inc;analog devices inc
ADM;11;Consumer Staples;2;ADM_quarterly_financial_data.xls;archer-daniels-midland;archer-daniels-midland company;archer-daniels-midland co
ADP;12;Information Technology;7;ADP_quarterly_financial_data.xls;automatic data processing;automatic data processing inc;automatic data processing inc
ADS;13;Information Technology;7;ADS_quarterly_financial_data.xls;alliance data systems;alliance data systems corporation;alliance data systems corp
ADSK;14;Information Technology;7;ADSK_quarterly_financial_data.xls;autodesk;autodesk inc;autodesk inc
AEE;15;Utilities;11;AEE_quarterly_financial_data.xls;ameren;ameren corporation;ameren corp
AEP;16;Utilities;11;AEP_quarterly_financial_data.xls;american electric power;american electric power company inc;american electric power co inc
AET;17;Health Care;5;AET_quarterly_financial_data.xls;aetna;aetna inc;aetna inc
AFL;18;Financials;4;AFL_quarterly_financial_data.xls;aflac;aflac incorporated;aflac inc
AGN;19;Health Care;5;AGN_quarterly_financial_data.xls;allergan;allergan inc;allergan inc
AIG;20;Financials;4;AIG_quarterly_financial_data.xls;american international group;american international group inc;american international group inc
AKAM;21;Information Technology;7;AKAM_quarterly_financial_data.xls;akamai technologies;akamai technologies inc;akamai technologies inc
ALL;22;Financials;4;ALL_quarterly_financial_data.xls;allstate;the allstate corporation;allstate corp
ALXN;23;Health Care;5;ALXN_quarterly_financial_data.xls;alexion pharmaceuticals;alexion pharmaceuticals inc;alexion pharmaceuticals inc
AMAT;24;Information Technology;7;AMAT_quarterly_financial_data.xls;applied materials;applied materials inc;applied materials inc
AME;25;Industrials;6;AME_quarterly_financial_data.xls;ametek;ametek inc;ametek inc
AMG;26;Financials;4;AMG_quarterly_financial_data.xls;affiliated managers group;affiliated managers group inc;affiliated managers group inc
AMGN;27;Health Care;5;AMGN_quarterly_financial_data.xls;amgen;amgen inc;amgen inc
AMP;28;Financials;4;AMP_quarterly_financial_data.xls;ameriprise financial;ameriprise financial inc;ameriprise financial inc
AMT;29;Financials;4;AMT_quarterly_financial_data.xls;american tower;american tower corporation;american tower corp
AMZN;30;Consumer Discretionary;1;AMZN_quarterly_financial_data.xls;amazoncom;amazoncom inc;amazoncom inc
ANDV;31;Energy;3;NA;tesoro;tesoro corporation;tesoro corp
APA;32;Energy;3;APA_quarterly_financial_data.xls;apache;apache corporation;apache corp
APC;33;Energy;3;APC_quarterly_financial_data.xls;anadarko petroleum;anadarko petroleum corporation;anadarko petroleum corp
APD;34;Materials;8;APD_quarterly_financial_data.xls;air products & chemicals;air products and chemicals inc;air products & chemicals inc
APH;35;Information Technology;7;APH_quarterly_financial_data.xls;amphenol;amphenol corporation;amphenol corp
