Companies;YearFinancialIndicator;ROA;TobinsQ;YearNewsWeekGR;RankNewsWeekGR;GreenScore;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;Green Revenue; SustainabilityPayLink ; SustainableThemedCommitment ; AuditScore ;FirmSize;Leverage;NetMargin;Industry
1;2012;0,12;0,79;2014;10,00;0,71;0,79;0,72;0,54;0,57;0,84;0,10;0,00;0,05;10,02;0,41;0,17;5
1;2013;0,07;1,07;2015;115,00;0,52;0,04;0,11;0,00;0,08;0,14;0,10;0,00;0,05;10,03;0,51;0,11;5
1;2014;0,05;1,03;2016;86,00;0,55;0,06;0,11;0,01;0,09;0,14;0,10;0,00;0,05;10,03;0,52;0,07;5
2;2012;0,09;0,09;2014;243,00;0,29;0,05;0,14;0,16;0,23;0,28;0,10;0,05;0,00;10,37;0,50;0,06;6
2;2013;0,08;0,36;2015;271,00;0,30;0,01;0,03;0,00;0,00;0,10;0,10;0,05;0,00;10,63;0,69;0,06;6
2;2014;0,06;;2016;179,00;0,39;0,00;0,05;0,03;0,06;0,10;0,10;0,05;0,00;10,64;0,90;0,05;6
3;2012;0,24;1,15;2014;435,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,66;0,50;0,25;1
3;2013;0,18;1,42;2015;428,00;0,10;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00;9,75;0,13;0,21;1
3;2014;0,19;1,53;2016;430,00;0,16;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00;9,90;0,26;0,22;1
4;2012;0,29;2,42;2014;48,00;0,57;0,92;0,96;0,96;0,94;0,01;0,00;0,00;0,00;11,29;3,18;0,22;7
4;2013;0,06;2,18;2015;12,00;0,75;0,11;0,13;0,11;0,14;0,11;0,10;0,00;0,05;11,35;6,06;0,09;7
4;2014;0,11;2,54;2016;14,00;0,74;0,10;0,15;0,12;0,11;0,11;0,10;0,00;0,05;11,42;7,41;0,23;7
5;2012;0,02;;2014;254,00;0,28;0,22;0,13;0,07;0,16;0,20;0,10;0,00;0,05;10,43;0,62;0,00;5
