Companies;YearFinancialIndicator;Industry;Asset;DebtRatio;NetMargin;ROA;ROE;TobinsQ;EnergyProductivity;CarbonProductivity;WaterProductivity;WasteProductivity;GreenReputation;SustainabilityPayLink;SustainableThemedCommitment;AuditScore
1;2014;5;10831000000,00;0,52;0,07;0,05;0,09;1,03;0,04;0,11;0,00;0,08;0,14;0,10;0,00;0,05
1;2013;5;10686000000,00;0,51;0,11;0,07;0,14;1,07;0,79;0,72;0,54;0,57;0,84;0,10;0,00;0,05
1;2015;5;7479000000,00;0,40;0,10;0,05;0,10;1,54;0,06;0,11;0,01;0,09;0,14;0,10;0,00;0,05
2;2014;6;43771000000,00;0,90;0,05;0,06;0,27;;0,01;0,03;0,00;0,00;0,10;0,10;0,05;0,00
2;2013;6;42278000000,00;0,69;0,06;0,08;0,28;0,36;0,05;0,14;0,16;0,23;0,28;0,10;0,05;0,00
2;2015;6;48415000000,00;0,54;0,05;0,06;0,23;;0,00;0,05;0,03;0,06;0,10;0,10;0,05;0,00
3;2015;1;8181536000,00;0,41;0,23;0,19;0,43;1,63;0,00;0,06;0,00;0,00;0,10;0,00;0,00;0,00
3;2014;1;7997737000,00;0,26;0,22;0,19;0,37;1,53;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,00
3;2013;1;5564774000,00;0,13;0,21;0,18;0,29;1,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
4;2014;7;261894000000,00;7,41;0,23;0,11;0,34;2,54;0,11;0,13;0,11;0,14;0,11;0,10;0,00;0,05
4;2013;7;225184000000,00;6,06;0,09;0,06;0,44;2,18;0,92;0,96;0,96;0,94;0,01;0,00;0,00;0,00
4;2015;7;293284000000,00;4,35;0,23;0,20;0,46;2,17;0,10;0,15;0,12;0,11;0,11;0,10;0,00;0,05
5;2014;5;27547000000,00;3,38;0,00;0,01;0,29;;0,04;0,03;0,02;0,03;0,14;0,10;0,00;0,05
5;2013;5;29198000000,00;1,13;0,00;0,00;0,02;;0,22;0,13;0,07;0,16;0,20;0,10;0,00;0,05
5;2015;5;53050000000,00;0,60;0,01;0,05;0,27;;0,07;0,04;0,02;0,05;0,14;0,10;0,00;0,05
6;2015;5;30755802000,00;0,28;0,22;0,10;0,20;0,96;0,00;0,06;0,00;0,00;0,14;0,00;0,00;0,00
6;2014;5;24904916000,00;0,16;0,11;0,05;0,10;0,90;0,00;0,00;0,00;0,00;0,14;0,00;0,00;0,00
6;2013;5;19796095000,00;0,13;0,12;0,06;0,11;0,92;0,00;0,00;0,00;0,00;0,64;0,00;0,00;0,00
7;2014;5;41275000000,00;1,38;0,07;0,04;0,13;1,66;0,02;0,01;0,02;0,03;0,14;0,10;0,00;0,05
7;2013;5;42953000000,00;1,30;0,07;0,04;0,12;1,23;0,12;0,08;0,15;0,35;0,19;0,10;0,00;0,05
7;2015;5;41247000000,00;1,29;0,08;0,05;0,14;1,63;0,01;0,01;0,01;0,05;0,14;0,10;0,00;0,05
8;2015;6;1990212000,00;0,27;0,13;0,06;0,09;1,71;0,05;0,04;0,09;0,01;0,18;0,10;0,05;0,05
8;2013;6;1681851000,00;0,22;0,07;0,03;0,04;1,69;0,20;0,43;0,40;0,02;0,67;0,00;0,05;0,05
8;2014;6;1850700000,00;0,13;0,06;0,03;0,04;1,70;0,01;0,03;0,07;0,03;0,18;0,10;0,05;0,05
