"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEquityRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","Volume"
"1","A",2012,0.1177,0.243,0.41,0.1681,0.091,NA,3.53e+08,0.176,6.858e+09,NA,1.153e+09,NA,NA,3.27,0.070343498345625,1e-04,0.0119,0.070243498345625,0.0118,1.25675613327066,0.0554137759730312,0.0149297223725938,0.79,28.490702,3250400
"2","A",2013,0.0682,0.1383,0.51,0.1068,0.164,1.0686e+10,3.45e+08,0.1058,3.894e+09,7.04e+08,7.34e+08,NA,NA,2.13,0.0686064516832906,0,0.0281,0.0686064516832906,0.0281,1.00869990729994,0.0402619842881623,0.0283444673951282,1.07,NA,NA
"3","A",2014,0.0468,0.0952,0.52,0.0722,0.252,1.0831e+10,3.38e+08,0.0729,4.048e+09,7.19e+08,5.49e+08,NA,NA,1.62,-0.043027761230417,0,-6e-04,-0.043027761230417,-6e-04,0.314711639070007,-0.042838934246975,-0.000188826983442004,1.03,NA,NA
"4","A",2015,0.0438,0.0847,0.4,0.0993,0.253,7.479e+09,3.35e+08,0.0655,4.038e+09,3.3e+08,4.01e+08,NA,NA,1.2,0.00249164098247295,1e-04,-0.0216,0.00239164098247295,-0.0217,1.68092636605572,0.0388677431258822,-0.0363761021434092,1.54,41.779999,1458200
"5","A",2016,0.0605,0.1099,0.45,0.1099,0.309,7.802e+09,3.29e+08,0.0858,4.202e+09,3.29e+08,4.62e+08,NA,NA,1.4,0.0381864844949026,3e-04,0.0185,0.0378864844949026,0.0182,1.49082587746539,0.0107534535250326,0.02743303096987,1.71,45.720001,1177300
"6","AAL",2012,-0.0792,NA,NA,-0.0755,NA,2.351e+10,2.49e+08,NA,2.4855e+10,NA,-1.876e+09,-7.987e+09,NA,-7.52,0.04623784700419,1e-04,0.0119,0.04613784700419,0.0118,-1.41570732346532,0.0628431934210808,-0.0166053464168908,0.09,12.79,4261800
"7","AAL",2013,-0.0558,NA,NA,-0.0686,NA,4.2278e+10,2.8e+08,NA,2.6743e+10,NA,-1.834e+09,-2.731e+09,1.53,-6.54,0.0726772202006067,0,0.0281,0.0726772202006067,0.0281,4.00362770015547,-0.0398247181737621,0.112501938374369,0.36,NA,NA
"8","AAL",2014,0.067,0.9952,8.01,0.0676,0.0491,4.3771e+10,7.34e+08,NA,4.265e+10,NA,2.882e+09,2.021e+09,NA,3.93,0.0999266523358293,0,-6e-04,0.0999266523358293,-6e-04,0.577307617946443,0.100273036906597,-0.000346384570767866,NA,NA,NA
"9","AAL",2015,0.1651,1.988,3.25,0.1857,0.057,4.8415e+10,6.87e+08,0.3519,4.099e+10,NA,7.61e+09,5.635e+09,6.01,11.07,0.0260750014037183,1e-04,-0.0216,0.0259750014037183,-0.0217,0.790461094551201,0.0431280071554794,-0.0170530057517611,NA,43.23,4140200
"10","AAL",2016,0.0537,0.5682,5.94,0.0666,0.044,5.1274e+10,5.56e+08,0.1198,4.018e+10,NA,2.676e+09,3.785e+09,4.67,4.81,0.00536885531308151,3e-04,0.0185,0.00506885531308151,0.0182,1.2178070921272,-0.0170952337636336,0.0224640890767151,NA,47.669998,4153600
"11","AAP",2012,0.0935,0.3758,0.5,0.0623,0.046,4613814000,7.4e+07,0.2648,6.205e+09,NA,3.88e+08,1210694000,14.21,5.22,-0.0101733130119864,1e-04,0.0119,-0.0102733130119864,0.0118,1.91087614827869,-0.0328216515616749,0.0226483385496886,1.15,71.510002,422100
"12","AAP",2013,0.0768,0.2867,0.69,0.0602,0.043,5.565e+09,7.3e+07,0.1887,6.494e+09,NA,3.92e+08,1516205000,17.35,5.32,0.0919770162884498,0,0.0281,0.0919770162884498,0.0281,0.973092713091747,0.0646331110505717,0.0273439052378781,1.42,NA,NA
"13","AAP",2014,0.0728,0.2798,0.81,0.05,0.039,7.962e+09,7.3e+07,0.1735,9.844e+09,NA,4.94e+08,NA,NA,6.71,0.0800635885031415,0,-6e-04,0.0800635885031415,-6e-04,1.94587936650084,0.081231116123042,-0.00116752761990051,1.53,NA,NA
