"","Ticker","Year","Roa","Roe","DebtToEquityRatio","NetMargin","PayoutRatio","TotalAssets","Shares","Roic","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","PriceToEpsRatio","Eps","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","TobinsQ","StockPriceClose","PriceToEarningRatio","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","Index"
"1","A",2012,0.1177,0.243,0.41,0.1681,0.091,1.054e+10,3.53e+08,0.176,6.858e+09,NA,1.153e+09,NA,NA,3.27,0.070343498345625,1e-04,0.0119,0.070243498345625,0.0118,1.25675613327066,0.0554137759730312,0.0149297223725938,0.79,28.59,8.74311926605505,2014,10,0.71,0.79,0.72,0.54,0.57,0.84,1,0,1,"Health Care",5,1
"2","A",2013,0.0682,0.1383,0.51,0.1068,0.164,1.0686e+10,3.45e+08,0.1058,3.894e+09,7.04e+08,7.34e+08,NA,NA,2.13,0.0686064516832906,0,0.0281,0.0686064516832906,0.0281,1.00869990729994,0.0402619842881623,0.0283444673951282,1.07,33.46,15.7089201877934,2015,115,0.52,0.04,0.11,0,0.08,0.14,1,0,1,"Health Care",5,1
"3","A",2014,0.0468,0.0952,0.52,0.0722,0.252,1.0831e+10,3.38e+08,0.0729,4.048e+09,7.19e+08,5.49e+08,NA,NA,1.62,-0.043027761230417,0,-6e-04,-0.043027761230417,-6e-04,0.314711639070007,-0.042838934246975,-0.000188826983442004,1.03,40.62,25.0740740740741,2016,86,0.55,0.06,0.11,0.01,0.09,0.14,1,0,1,"Health Care",5,1
"4","AAL",2012,-0.0792,NA,NA,-0.0755,NA,2.351e+10,2.49e+08,NA,2.4855e+10,NA,-1.876e+09,-7.987e+09,NA,-7.52,0.04623784700419,1e-04,0.0119,0.04613784700419,0.0118,-1.41570732346532,0.0628431934210808,-0.0166053464168908,0.09,10.5,1.39627659574468,2014,243,0.29,0.05,0.14,0.16,0.23,0.28,1,1,0,"Industrials",6,2
"5","AAL",2013,-0.0558,NA,NA,-0.0686,NA,4.2278e+10,2.8e+08,NA,2.6743e+10,NA,-1.834e+09,-2.731e+09,1.53,-6.54,0.0726772202006067,0,0.0281,0.0726772202006067,0.0281,4.00362770015547,-0.0398247181737621,0.112501938374369,0.36,18.19,2.78134556574924,2015,271,0.3,0.01,0.03,0,0,0.1,1,1,0,"Industrials",6,2
"6","AAL",2014,0.067,0.9952,8.01,0.0676,0.0491,4.3771e+10,7.34e+08,NA,4.265e+10,NA,2.882e+09,2.021e+09,NA,3.93,0.0999266523358293,0,-6e-04,0.0999266523358293,-6e-04,0.577307617946443,0.100273036906597,-0.000346384570767866,NA,38.92,9.90330788804071,2016,179,0.39,0,0.05,0.03,0.06,0.1,1,1,0,"Industrials",6,2
"7","AAP",2012,0.0935,0.3758,0.5,0.0623,0.046,4613814000,7.4e+07,0.2648,6.205e+09,NA,3.88e+08,1210694000,14.21,5.22,-0.0101733130119864,1e-04,0.0119,-0.0102733130119864,0.0118,1.91087614827869,-0.0328216515616749,0.0226483385496886,1.15,76.07,14.5727969348659,2014,435,0,0,0,0,0,0,0,0,0,"Consumer Discretionary",1,3
"8","AAP",2013,0.0768,0.2867,0.69,0.0602,0.043,5.565e+09,7.3e+07,0.1887,6.494e+09,NA,3.92e+08,1516205000,17.35,5.32,0.0919770162884498,0,0.0281,0.0919770162884498,0.0281,0.973092713091747,0.0646331110505717,0.0273439052378781,1.42,85.21,16.0169172932331,2015,428,0.1,0,0,0,0,0.1,0,0,0,"Consumer Discretionary",1,3
"9","AAP",2014,0.0728,0.2798,0.81,0.05,0.039,7.962e+09,7.3e+07,0.1735,9.844e+09,NA,4.94e+08,NA,NA,6.71,0.0800635885031415,0,-6e-04,0.0800635885031415,-6e-04,1.94587936650084,0.081231116123042,-0.00116752761990051,1.53,130.94,19.5141579731744,2016,430,0.16,0,0.06,0,0,0.1,0,0,0,"Consumer Discretionary",1,3
"10","AAPL",2012,0.2854,0.4284,0,0.2667,0.1191,1.96088e+11,6.617e+09,0.4201,1.56508e+11,NA,4.1733e+10,1.27346e+11,13.33,6.31,-0.0951274831818494,1e-04,0.0119,-0.0952274831818494,0.0118,1.67431041790403,-0.114984346113117,0.0198568629312675,2.42,82.29,13.041204437401,2014,48,0.57,0.92,0.96,0.96,0.94,0.01,0,0,0,"Information Technology",7,4
