"","Ticker","YearIndex","Roa","Roe","Roic","TobinsQ","Ra","AlphaJensen","Eps","StockPriceClose","PriceToEpsRatio","PayoutRatio","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","ResearchAndDevelopment","NetIncome","ShareholdersEquity","Rf","Rm","Ra_Rf","Rm_Rf","Beta","CostEquity","Volume","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GisSector","GicsClassification","CompaniesIndex"
"1","A",1,0.0468,0.0952,0.0729,1.03,-0.043027761230417,-0.042838934246975,1.62,NA,NA,0.252,0.41,0.1681,1.054e+10,3.53e+08,6.858e+09,NA,1.153e+09,NA,1e-04,0.0119,0.070243498345625,0.0118,1.25675613327066,0.0149297223725938,3250400,2014,10,0.71,0.79,0.72,0.54,0.57,0.84,1,0,1,"Health Care",5,1
"2","A",2,0.0438,0.0847,0.0655,1.54,0.00249164098247295,0.0388677431258822,1.2,41.779999,NA,0.253,0.51,0.1068,1.0686e+10,3.45e+08,3.894e+09,7.04e+08,7.34e+08,NA,0,0.0281,0.0686064516832906,0.0281,1.00869990729994,0.0283444673951282,NA,2015,115,0.52,0.04,0.11,0,0.08,0.14,1,0,1,"Health Care",5,1
"3","A",3,0.0605,0.1099,0.0858,1.71,0.0381864844949026,0.0107534535250326,1.4,45.720001,NA,0.309,0.52,0.0722,1.0831e+10,3.38e+08,4.048e+09,7.19e+08,5.49e+08,NA,0,-6e-04,-0.043027761230417,-6e-04,0.314711639070007,-0.000188826983442004,NA,2016,86,0.55,0.06,0.11,0.01,0.09,0.14,1,0,1,"Health Care",5,1
"4","AAL",1,0.067,0.9952,NA,NA,0.0999266523358293,0.100273036906597,3.93,NA,NA,0.0491,NA,-0.0755,2.351e+10,2.49e+08,2.4855e+10,NA,-1.876e+09,-7.987e+09,1e-04,0.0119,0.04613784700419,0.0118,-1.41570732346532,-0.0166053464168908,4261800,2014,243,0.29,0.05,0.14,0.16,0.23,0.28,1,1,0,"Industrials",6,2
"5","AAL",2,0.1651,1.988,0.3519,NA,0.0260750014037183,0.0431280071554794,11.07,43.23,6.01,0.057,NA,-0.0686,4.2278e+10,2.8e+08,2.6743e+10,NA,-1.834e+09,-2.731e+09,0,0.0281,0.0726772202006067,0.0281,4.00362770015547,0.112501938374369,NA,2015,271,0.3,0.01,0.03,0,0,0.1,1,1,0,"Industrials",6,2
"6","AAL",3,0.0537,0.5682,0.1198,NA,0.00536885531308151,-0.0170952337636336,4.81,47.669998,4.67,0.044,8.01,0.0676,4.3771e+10,7.34e+08,4.265e+10,NA,2.882e+09,2.021e+09,0,-6e-04,0.0999266523358293,-6e-04,0.577307617946443,-0.000346384570767866,NA,2016,179,0.39,0,0.05,0.03,0.06,0.1,1,1,0,"Industrials",6,2
"7","AAP",1,0.0728,0.2798,0.1735,1.53,0.0800635885031415,0.081231116123042,6.71,NA,NA,0.039,0.5,0.0623,4613814000,7.4e+07,6.205e+09,NA,3.88e+08,1210694000,1e-04,0.0119,-0.0102733130119864,0.0118,1.91087614827869,0.0226483385496886,422100,2014,435,0,0,0,0,0,0,0,0,0,"Consumer Discretionary",1,3
"8","AAP",2,0.0586,0.2114,0.1402,1.63,-0.0776619401798879,-0.0755768442571862,6.4,150.550003,NA,0.035,0.69,0.0602,5.565e+09,7.3e+07,6.494e+09,NA,3.92e+08,1516205000,0,0.0281,0.0919770162884498,0.0281,0.973092713091747,0.0273439052378781,NA,2015,428,0.1,0,0,0,0,0.1,0,0,0,"Consumer Discretionary",1,3
"9","AAP",3,0.0556,0.1702,0.1297,1.46,-0.00319972976766677,-0.0265077086224517,6.2,170.419998,25.61,0.039,0.81,0.05,7.962e+09,7.3e+07,9.844e+09,NA,4.94e+08,NA,0,-6e-04,0.0800635885031415,-6e-04,1.94587936650084,-0.00116752761990051,NA,2016,430,0.16,0,0.06,0,0,0.1,0,0,0,"Consumer Discretionary",1,3
"10","AAPL",1,0.1801,0.3361,0.262,2.54,-0.0746060911429726,-0.0734098713393379,6.45,NA,16.71,0.285,0,0.2667,1.96088e+11,6.617e+09,1.56508e+11,NA,4.1733e+10,1.27346e+11,1e-04,0.0119,-0.0952274831818494,0.0118,1.67431041790403,0.0198568629312675,88569600,2014,48,0.57,0.92,0.96,0.96,0.94,0.01,0,0,0,"Information Technology",7,4
"11","AAPL",2,0.2045,0.4625,0.3132,2.17,-0.116790321037508,-0.0925911028227361,9.22,106.82,12.47,0.223,0.14,0.2167,2.07e+11,6.522e+09,1.7091e+11,4.475e+09,3.7037e+10,1.29684e+11,0,0.0281,0.00886221349606508,0.0281,-0.0533221761606803,-0.00149835315011512,NA,2015,12,0.75,0.11,0.13,0.11,0.14,0.11,1,0,1,"Information Technology",7,4
"12","AAPL",3,0.1493,0.369,0.2195,2,0.0468408304410435,0.0237230225768767,8.31,116.760002,13.45,0.248,0.26,0.2161,2.31839e+11,6.123e+09,1.82795e+11,6.041e+09,3.951e+10,1.23328e+11,0,-6e-04,-0.0746060911429726,-6e-04,1.99369967272456,-0.00119621980363473,NA,2016,14,0.74,0.1,0.15,0.12,0.11,0.11,1,0,1,"Information Technology",7,4
"13","ABBV",1,0.0625,0.5691,0.1149,NA,-0.0558670964141833,-0.0549208530042889,1.1,NA,26.7,0.713,4.35,0.287,2.7008e+10,1.577e+09,1.838e+10,NA,5.275e+09,3.363e+09,NA,NA,NA,NA,NA,NA,NA,2014,254,0.28,0.22,0.13,0.07,0.16,0.2,1,0,1,"Health Care",5,5
"14","ABBV",2,0.1276,1.809,0.2167,NA,0.0185711098020877,0.0474591096876286,3.13,58.75,32.47,1.129,3.18,0.2197,2.9198e+10,1.604e+09,1.879e+10,3.193e+09,4.128e+09,4.492e+09,0,0.0281,0.0861682266780393,0.0281,1.5653780897793,0.0439871243227983,NA,2015,175,0.41,0.04,0.03,0.02,0.03,0.14,1,0,1,"Health Care",5,5
"15","ABBV",3,0.0994,1.3805,0.1726,NA,0.029494927404168,0.00191964538315004,3.63,62.27,16.19,0.6,6.06,0.0889,2.7547e+10,1.61e+09,1.996e+10,3.649e+09,1.774e+09,1.742e+09,0,-6e-04,-0.0558670964141833,-6e-04,1.57707234982411,-0.000946243409894466,NA,2016,125,0.47,0.07,0.04,0.02,0.05,0.14,1,0,1,"Health Care",5,5
"16","ABC",1,0.0137,0.1293,0.0851,0.9,-0.00982272148231559,-0.00938741586131097,1.16,NA,72.86,0.803,0.59,0.009,15495532000,2.57e+08,7.8081e+10,NA,7.19e+08,2337235000,1e-04,0.0119,0.0223833556383944,0.0118,0.322616956172364,0.0039068800828339,1039500,2014,372,0.13,0,0,0,0,0.64,0,0,0,"Health Care",5,6
"17","ABC",2,-0.0055,-0.1041,-0.0187,0.96,0.0501215916423345,0.0601803856816807,-0.63,104.190002,NA,0.6471,0.6,0.0049,1.8919e+10,2.35e+08,8.7959e+10,NA,4.34e+08,2247802000,0,0.0281,-0.00312405154338848,0.0281,0.742625084707307,0.0208677648802753,NA,2015,394,0.14,0,0,0,0,0.14,0,0,0,"Health Care",5,6
"18","ABC",3,0.0465,1.0336,0.2825,0.68,0.00256117969774564,-0.0282579159831479,6.32,78.349998,11.88,0.178,1.02,0.0023,2.1532e+10,2.35e+08,1.19569e+11,NA,2.74e+08,1768346000,0,-6e-04,-0.00982272148231559,-6e-04,0.725509368341039,-0.000435305621004623,NA,2016,361,0.2,0,0.06,0,0,0.14,0,0,0,"Health Care",5,6
"19","ABT",1,0.0542,0.0978,0.0764,1.66,0.011392999303787,0.0118924378901004,1.49,NA,33.77,0.635,0.68,0.1495,67234944000,1.592e+09,1.905e+10,NA,5.963e+09,26720961000,1e-04,0.0119,0.00756281855777333,0.0118,0.376780548141739,0.00454601046807252,11238800,2014,242,0.29,0.12,0.08,0.15,0.35,0.19,1,0,1,"Health Care",5,7
"20","ABT",2,0.1072,0.207,0.1501,1.63,-0.000222513691894054,0.0311116643961698,2.92,45.029999,14.28,0.563,0.13,0.1179,4.2953e+10,1.574e+09,1.9657e+10,1.452e+09,2.576e+09,2.5171e+10,0,0.0281,0.00365927679869691,0.0281,1.84355580390044,0.0518039180896025,NA,2015,218,0.37,0.02,0.01,0.02,0.03,0.14,1,0,1,"Health Care",5,7
"21","ABT",3,0.0298,0.0671,0.0454,1.09,0.00889116218577912,-0.0239273026912197,0.94,38.220001,45.09,1.546,0.16,0.1128,4.1275e+10,1.527e+09,2.0247e+10,1.345e+09,2.284e+09,2.1526e+10,0,-6e-04,0.011392999303787,-6e-04,0.832397643855632,-0.000499438586313379,NA,2016,187,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1,"Health Care",5,7
"22","ACIW",1,0.0383,0.1201,0.0681,1.7,0.0363492304877848,0.0367951634510975,0.58,NA,31.84,0,0.67,0.0733,1250886000,1.2e+08,6.67e+08,NA,4.9e+07,534357000,1e-04,0.0119,0.013264299981366,0.0118,1.72904165761763,0.020502691559888,356700,2014,160,0.39,0.2,0.43,0.4,0.02,0.67,0,1,1,"Industrials",6,8
"23","ACIW",2,0.0445,0.1383,0.0759,1.71,-0.0944602010026204,-0.0630325085882382,0.72,22.35,31.04,0,1.3,0.0738,1.682e+09,1.2e+08,8.65e+08,NA,6.4e+07,543694000,0,0.0281,0.00725700717865738,0.0281,0.846682324054431,0.0237917733059295,NA,2015,121,0.52,0.01,0.03,0.07,0.03,0.18,1,1,1,"Industrials",6,8
"24","ACIW",3,0.0666,0.1838,0.1017,1.45,-0.0250285636778496,-0.0599506825210512,1.09,18.24,21.05,0,1.38,0.0665,1.851e+09,1.17e+08,1.016e+09,NA,6.8e+07,581405000,0,-6e-04,0.0363492304877848,-6e-04,0.743221605521034,-0.00044593296331262,NA,2016,81,0.57,0.05,0.04,0.09,0.01,0.18,1,1,1,"Industrials",6,8
