"","Year","Index","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"1",2012,1,0.1177,-0.23572233352107,0.41,0.1681,23.0784433800596,5,0.72,0.54,0.57,1,0,1
"2",2013,1,0.0682,0.0676586484738149,0.51,0.1068,23.092200310482,5,0.11,0,0.08,1,0,1
"3",2014,1,0.0468,0.0295588022415444,0.52,0.0722,23.1056782298,5,0.11,0.01,0.09,1,0,1
"4",2012,2,-0.0792,-2.40794560865187,NA,-0.0755,23.8806916994984,6,0.14,0.16,0.23,1,1,0
"5",2013,2,-0.0558,-1.02165124753198,NA,-0.0686,24.4675326931399,6,0.03,0,0,1,1,0
"6",2014,2,0.067,NA,8.01,0.0676,24.5022373345869,6,0.05,0.03,0.06,1,1,0
"7",2012,3,0.0935,0.139761942375159,0.5,0.0623,22.2523206837918,1,0,0,0,0,0,0
"8",2013,3,0.0768,0.350656871613169,0.69,0.0602,22.4397628216739,1,0,0,0,0,0,0
"9",2014,3,0.0728,0.425267735404344,0.81,0.05,22.7979460615245,1,0.06,0,0,0,0,0
"13",2012,5,0.2261,NA,4.35,0.287,24.01939895536,5,0.13,0.07,0.16,1,0,1
"14",2013,5,0.1469,NA,3.18,0.2197,24.0973660507242,5,0.03,0.02,0.03,1,0,1
"15",2014,5,0.0625,NA,6.06,0.0889,24.0391594736941,5,0.04,0.02,0.05,1,0,1
"16",2012,6,0.0473,-0.27443684570176,0.59,0.009,23.4638175612528,5,0,0,0,0,0,0
"17",2013,6,0.0252,-0.083381608939051,0.6,0.0049,23.6634325450507,5,0,0,0,0,0,0
"18",2014,6,0.0137,-0.105360515657826,1.02,0.0023,23.7928060376451,5,0.06,0,0,0,0,0
"19",2012,7,0.0935,-0.261364764134408,0.68,0.1495,24.9314589493224,5,0.08,0.15,0.35,1,0,1
"20",2013,7,0.0468,0.207014169384326,0.13,0.1179,24.4833723315986,5,0.01,0.02,0.03,1,0,1
"21",2014,7,0.0542,0.506817602368452,0.16,0.1128,24.4435228267526,5,0.01,0.01,0.05,1,0,1
"23",2013,8,0.0436,0.524728528934982,1.3,0.0738,21.2432493984972,6,0.03,0.07,0.03,1,1,1
"24",2014,8,0.0383,0.53062825106217,1.38,0.0665,21.3389918705378,6,0.04,0.09,0.01,1,1,1
