"","CompaniesIndex","YearIndex","Ra","Roa","StockPriceClose","TobinsQ","PriceToEarningRatio","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","Eps","FirmSize","LogTobinsQ","LogPriceToEarningRatio","LogEps","LogStockPrice"
"1",1,1,0.0686064516832906,0.0682,33.46,1.07,15.7089201877934,0.1058,0.71,0.72,0.54,0.57,0.79,1,0,1,1.054e+10,0.41,0.1681,5,1.25675613327066,0.0149297223725938,2.13,23.0784433800596,0.0676586484738149,2.75422871583734,0.756121979721334,3.51035069555868
"2",1,2,-0.043027761230417,0.0468,40.62,1.03,25.0740740740741,0.0729,0.52,0.11,0,0.08,0.04,1,0,1,1.0686e+10,0.51,0.1068,5,1.00869990729994,0.0283444673951282,1.62,23.092200310482,0.0295588022415444,3.22183440690795,0.482426149244293,3.70426055615224
"3",1,3,0.00249164098247295,0.0438,39.6,1.54,33,0.0655,0.55,0.11,0.01,0.09,0.06,1,0,1,1.0831e+10,0.52,0.0722,5,0.314711639070007,-0.000188826983442004,1.2,23.1056782298,0.431782416425538,3.49650756146648,0.182321556793955,3.67882911826043
"4",2,1,0.0726772202006067,-0.0558,18.19,0.36,-2.78134556574924,NA,0.29,0.14,0.16,0.23,0.05,1,1,0,2.351e+10,NA,-0.0755,6,-1.41570732346532,-0.0166053464168908,-6.54,23.8806916994984,-1.02165124753198,NA,NA,2.90087199253003
"5",2,2,0.0999266523358293,0.067,38.92,NA,9.90330788804071,NA,0.3,0.03,0,0,0.01,1,1,0,4.2278e+10,NA,-0.0686,6,4.00362770015547,0.112501938374369,3.93,24.4675326931399,NA,2.29286883143663,1.36863942588117,3.6615082573178
"6",2,3,0.0260750014037183,0.1651,45.12,NA,4.07588075880759,0.3519,0.39,0.05,0.03,0.06,0,1,1,0,4.3771e+10,8.01,0.0676,6,0.577307617946443,-0.000346384570767866,11.07,24.5022373345869,NA,1.40508686046926,2.40423874672055,3.8093256071898
"7",3,1,0.0919770162884498,0.0768,85.21,1.42,16.0169172932331,0.1887,0,0,0,0,0,0,0,0,4613814000,0.5,0.0623,1,1.91087614827869,0.0226483385496886,5.32,22.2523206837918,0.350656871613169,2.77364549448631,1.67147330335355,4.44511879783986
"8",3,2,0.0800635885031415,0.0728,130.94,1.53,19.5141579731744,0.1735,0.1,0,0,0,0,0,0,0,5.565e+09,0.69,0.0602,1,0.973092713091747,0.0273439052378781,6.71,22.4397628216739,0.425267735404344,2.97114025202936,1.90359895098359,4.87473920301295
"9",3,3,-0.0776619401798879,0.0586,163.65,1.63,25.5703125,0.1402,0.16,0.06,0,0,0,0,0,0,7.962e+09,0.81,0.05,1,1.94587936650084,-0.00116752761990051,6.4,22.7979460615245,0.488580014818671,3.24143201058156,1.85629799036563,5.09773000094719
"10",4,1,0.00886221349606508,0.1934,67.52,2.18,11.887323943662,0.2608,0.57,0.96,0.96,0.94,0.92,0,0,0,1.96088e+11,0,0.2667,7,1.67431041790403,0.0198568629312675,5.68,26.0018293750076,0.779324876800998,2.47547261755464,1.73695123273306,4.2124238502877
"11",4,2,-0.0746060911429726,0.1801,92.26,2.54,14.3038759689922,0.262,0.75,0.13,0.11,0.14,0.11,1,0,1,2.07e+11,0.14,0.2167,7,-0.0533221761606803,-0.00149835315011512,6.45,26.0559846302118,0.932164081030445,2.66053054732199,1.86408013080768,4.52461067812967
