"","CompaniesIndex","YearIndex","Ra","Roa","Roe","TobinsQ","AlphaJensen","Roic","GreenScore","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","TotalAssets","Leverage","NetMargin","Industry","Beta","CostEquity","FirmSize","LogTobinsQ"
"1",1,1,0.0686064516832906,0.0682,0.1383,1.07,0.0402619842881623,0.1058,0.71,0.72,0.54,0.57,0.79,1,0,1,1.054e+10,0.41,0.1681,5,1.25675613327066,0.0149297223725938,23.0784433800596,0.0676586484738149
"2",1,2,-0.043027761230417,0.0468,0.0952,1.03,-0.042838934246975,0.0729,0.52,0.11,0,0.08,0.04,1,0,1,1.0686e+10,0.51,0.1068,5,1.00869990729994,0.0283444673951282,23.092200310482,0.0295588022415444
"3",1,3,0.00249164098247295,0.0438,0.0847,1.54,0.0388677431258822,0.0655,0.55,0.11,0.01,0.09,0.06,1,0,1,1.0831e+10,0.52,0.0722,5,0.314711639070007,-0.000188826983442004,23.1056782298,0.431782416425538
"4",2,1,0.0726772202006067,-0.0558,NA,0.36,-0.0398247181737621,NA,0.29,0.14,0.16,0.23,0.05,1,1,0,2.351e+10,NA,-0.0755,6,-1.41570732346532,-0.0166053464168908,23.8806916994984,-1.02165124753198
"5",2,2,0.0999266523358293,0.067,0.9952,NA,0.100273036906597,NA,0.3,0.03,0,0,0.01,1,1,0,4.2278e+10,NA,-0.0686,6,4.00362770015547,0.112501938374369,24.4675326931399,NA
"6",2,3,0.0260750014037183,0.1651,1.988,NA,0.0431280071554794,0.3519,0.39,0.05,0.03,0.06,0,1,1,0,4.3771e+10,8.01,0.0676,6,0.577307617946443,-0.000346384570767866,24.5022373345869,NA
"7",3,1,0.0919770162884498,0.0768,0.2867,1.42,0.0646331110505717,0.1887,0,0,0,0,0,0,0,0,4613814000,0.5,0.0623,1,1.91087614827869,0.0226483385496886,22.2523206837918,0.350656871613169
"8",3,2,0.0800635885031415,0.0728,0.2798,1.53,0.081231116123042,0.1735,0.1,0,0,0,0,0,0,0,5.565e+09,0.69,0.0602,1,0.973092713091747,0.0273439052378781,22.4397628216739,0.425267735404344
"9",3,3,-0.0776619401798879,0.0586,0.2114,1.63,-0.0755768442571862,0.1402,0.16,0.06,0,0,0,0,0,0,7.962e+09,0.81,0.05,1,1.94587936650084,-0.00116752761990051,22.7979460615245,0.488580014818671
"13",5,1,0.0861682266780393,0.1469,1.0511,NA,0.042181102355241,0.2271,0.28,0.13,0.07,0.16,0.22,1,0,1,2.7008e+10,4.35,0.287,5,NA,NA,24.01939895536,NA
"14",5,2,-0.0558670964141833,0.0625,0.5691,NA,-0.0549208530042889,0.1149,0.41,0.03,0.02,0.03,0.04,1,0,1,2.9198e+10,3.18,0.2197,5,1.5653780897793,0.0439871243227983,24.0973660507242,NA
"15",5,3,0.0185711098020877,0.1276,1.809,NA,0.0474591096876286,0.2167,0.47,0.04,0.02,0.05,0.07,1,0,1,2.7547e+10,6.06,0.0889,5,1.57707234982411,-0.000946243409894466,24.0391594736941,NA
"16",6,1,-0.00312405154338848,0.0252,0.1816,0.92,-0.0239918164236638,0.1264,0.13,0,0,0,0,0,0,0,15495532000,0.59,0.009,5,0.322616956172364,0.0039068800828339,23.4638175612528,-0.083381608939051
"17",6,2,-0.00982272148231559,0.0137,0.1293,0.9,-0.00938741586131097,0.0851,0.14,0,0,0,0,0,0,0,1.8919e+10,0.6,0.0049,5,0.742625084707307,0.0208677648802753,23.6634325450507,-0.105360515657826
"18",6,3,0.0501215916423345,-0.0055,-0.1041,0.96,0.0601803856816807,-0.0187,0.2,0.06,0,0,0,0,0,0,2.1532e+10,1.02,0.0023,5,0.725509368341039,-0.000435305621004623,23.7928060376451,-0.0408219945202552
"19",7,1,0.00365927679869691,0.0468,0.0993,1.23,-0.0481446412909056,0.0674,0.29,0.08,0.15,0.35,0.12,1,0,1,67234944000,0.68,0.1495,5,0.376780548141739,0.00454601046807252,24.9314589493224,0.207014169384326
"20",7,2,0.011392999303787,0.0542,0.0978,1.66,0.0118924378901004,0.0764,0.37,0.01,0.02,0.03,0.02,1,0,1,4.2953e+10,0.13,0.1179,5,1.84355580390044,0.0518039180896025,24.4833723315986,0.506817602368452
"21",7,3,-0.000222513691894054,0.1072,0.207,1.63,0.0311116643961698,0.1501,0.38,0.01,0.01,0.05,0.01,1,0,1,4.1275e+10,0.16,0.1128,5,0.832397643855632,-0.000499438586313379,24.4435228267526,0.488580014818671
"23",8,2,0.0363492304877848,0.0383,0.1201,1.7,0.0367951634510975,0.0681,0.52,0.03,0.07,0.03,0.01,1,1,1,1.682e+09,1.3,0.0738,6,0.846682324054431,0.0237917733059295,21.2432493984972,0.53062825106217
"24",8,3,-0.0944602010026204,0.0445,0.1383,1.71,-0.0630325085882382,0.0759,0.57,0.04,0.09,0.01,0.05,1,1,1,1.851e+09,1.38,0.0665,6,0.743221605521034,-0.00044593296331262,21.3389918705378,0.536493370514568
"25",9,1,0.0531584428185046,0.0285,0.0433,2.62,0.0376753471009873,0.0399,0.84,0.87,0.99,0.92,0.83,1,1,1,1.004e+10,0.22,0.1891,7,1.17393076051421,0.0139523829740677,23.02984295121,0.963174317773006
"26",9,2,-0.0133900486730533,0.0254,0.0398,3.2,-0.0122108921118647,0.0347,0.83,0.09,0.12,0.09,0.13,1,1,1,1.038e+10,0.22,0.0715,7,0.550999847598482,0.0154830957175174,23.0631467146842,1.16315080980568
"27",9,3,0.0267545945928666,0.0559,0.0914,3.82,0.0477791915343898,0.0789,0.62,0.08,0.08,0.03,0.06,1,1,1,1.0786e+10,0.13,0.0647,7,1.96526093531432,-0.00117915656118859,23.1015148338614,1.34025042261848
"28",10,1,0.0615620790200372,0.1122,0.1513,1.77,0.0246039468929499,0.1295,0.56,0.48,0.59,0.3,0.55,0,1,1,5.62e+09,0.19,0.2411,7,0.932458452966757,0.0111030097450077,22.449597500852,0.570979546585738
"29",10,2,0.0227012504854689,0.0951,0.1325,1.95,0.0236277206132968,0.1154,0.51,0.08,0.07,0.04,0.08,0,1,1,6.382e+09,0.18,0.2557,7,1.31523601875755,0.0369581321270872,22.5767473648025,0.667829372575655
"30",10,3,-0.101496384049314,0.1001,0.1418,2.31,-0.0775545470087128,0.1193,0.53,0.09,0.07,0.05,0.09,0,1,1,6.86e+09,0.18,0.2197,7,1.54411687971311,-0.000926470127827863,22.6489732786842,0.837247524533702
"31",11,1,0.0753495835592332,0.0307,0.0666,0.48,0.0566792627988099,0.0574,0.19,0.09,0.55,0,0.06,0,1,0,4.5136e+10,0.36,0.0137,2,0.041678458486068,0.000591805810135603,24.5329459912061,-0.7339691750802
"32",11,2,-0.0129922556784712,0.0512,0.1132,0.64,-0.0124982423959382,0.0927,0.33,0.01,0.07,0,0.02,1,1,0,4.3752e+10,0.27,0.0149,2,0.664424226349584,0.0186703207604233,24.5018031629909,-0.446287102628419
"33",11,3,0.00519344270328114,0.0439,0.0987,0.48,0.0307973521119467,0.0832,0.32,0.02,0.06,0,0.01,1,1,0,4.4027e+10,0.28,0.0277,2,0.823355470888378,-0.000494013282533027,24.5080689190305,-0.7339691750802
