"","YearIndex","CompaniesIndex","Roa","TobinsQ","FinancialLeverage","Growth","FirmSize","Industry","CarbonProductivity","WaterProductivity","WasteProductivity","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"1",1,1,0.0468,0.0295588022415444,0.41,0.1681,23.0784433800596,5,0.72,0.54,0.57,1,0,1
"2",2,1,0.0438,0.431782416425538,0.51,0.1068,23.092200310482,5,0.11,0,0.08,1,0,1
"3",3,1,0.0605,0.536493370514568,0.52,0.0722,23.1056782298,5,0.11,0.01,0.09,1,0,1
"4",1,2,0.067,NA,NA,-0.0755,23.8806916994984,6,0.14,0.16,0.23,1,1,0
"5",2,2,0.1651,NA,NA,-0.0686,24.4675326931399,6,0.03,0,0,1,1,0
"6",3,2,0.0537,NA,8.01,0.0676,24.5022373345869,6,0.05,0.03,0.06,1,1,0
"7",1,3,0.0728,0.425267735404344,0.5,0.0623,22.2523206837918,1,0,0,0,0,0,0
"8",2,3,0.0586,0.488580014818671,0.69,0.0602,22.4397628216739,1,0,0,0,0,0,0
"9",3,3,0.0556,0.378436435720245,0.81,0.05,22.7979460615245,1,0.06,0,0,0,0,0
"13",1,5,0.0625,NA,4.35,0.287,24.01939895536,5,0.13,0.07,0.16,1,0,1
"14",2,5,0.1276,NA,3.18,0.2197,24.0973660507242,5,0.03,0.02,0.03,1,0,1
"15",3,5,0.0994,NA,6.06,0.0889,24.0391594736941,5,0.04,0.02,0.05,1,0,1
"16",1,6,0.0137,-0.105360515657826,0.59,0.009,23.4638175612528,5,0,0,0,0,0,0
"17",2,6,-0.0055,-0.0408219945202552,0.6,0.0049,23.6634325450507,5,0,0,0,0,0,0
"18",3,6,0.0465,-0.385662480811985,1.02,0.0023,23.7928060376451,5,0.06,0,0,0,0,0
"19",1,7,0.0542,0.506817602368452,0.68,0.1495,24.9314589493224,5,0.08,0.15,0.35,1,0,1
"20",2,7,0.1072,0.488580014818671,0.13,0.1179,24.4833723315986,5,0.01,0.02,0.03,1,0,1
"21",3,7,0.0298,0.0861776962410524,0.16,0.1128,24.4435228267526,5,0.01,0.01,0.05,1,0,1
"23",2,8,0.0445,0.536493370514568,1.3,0.0738,21.2432493984972,6,0.03,0.07,0.03,1,1,1
"24",3,8,0.0666,0.371563556432483,1.38,0.0665,21.3389918705378,6,0.04,0.09,0.01,1,1,1
"25",1,9,0.0254,1.16315080980568,0.22,0.1891,23.02984295121,7,0.87,0.99,0.92,1,1,1
"26",2,9,0.0559,1.34025042261848,0.22,0.0715,23.0631467146842,7,0.09,0.12,0.09,1,1,1
