"","Ticker","Year","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio","TobinsQ","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen","CostEquity","YearNewsWeekGR","RankNewsWeekGR","GreenScore","EnergyProductivity","CarbonProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore"
"1","A",2012,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,0.070343498345625,1e-04,0.0119,0.070243498345625,0.0118,1.25675613327066,0.0554137759730312,0.0149297223725938,2014,10,0.71,0.79,0.72,0.54,0.57,0.84,1,0,1
"2","A",2013,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.0686064516832906,0,0.0281,0.0686064516832906,0.0281,1.00869990729994,0.0402619842881623,0.0283444673951282,2015,115,0.52,0.04,0.11,0,0.08,0.14,1,0,1
"3","A",2014,1,"Health Care",5,"A_quarterly_financial_data.xls","agilent technologies","agilent technologies inc","agilent technologies inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,-0.043027761230417,0,-6e-04,-0.043027761230417,-6e-04,0.314711639070007,-0.042838934246975,-0.000188826983442004,2016,86,0.55,0.06,0.11,0.01,0.09,0.14,1,0,1
"4","AAL",2012,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",335271557,22295558,0.0665,2.351e+10,7.072e+09,3.1497e+10,9.304e+09,-7.987e+09,0,0,1.61e+08,7.116e+09,5.937e+09,2.63e+08,2.63e+08,0.78,0.78,0,-2.88e+08,-3.67e+08,6.27e+08,-2.8e+07,4.8e+08,6.7e+08,NA,NA,NA,NA,-0.0776,-358.23,NA,NA,537.23,NA,NA,NA,NA,1.03,-42.97,0.7601,0.09,0.04623784700419,1e-04,0.0119,0.04613784700419,0.0118,-1.41570732346532,0.0628431934210808,-0.0166053464168908,2014,243,0.29,0.05,0.14,0.16,0.23,0.28,1,1,0
"5","AAL",2013,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",471517102,471517102,1,4.2278e+10,1.4323e+10,4.5009e+10,1.3806e+10,-2.731e+09,0,3.833e+09,6.44e+09,1.5353e+10,7.368e+09,-2.002e+09,-2.002e+09,-3.42,-3.42,0,-1.128e+09,1.278e+09,2.73e+08,4.23e+08,1.14e+09,6.13e+08,25.61,26.61,24.6,NA,-0.0616,-13.92,NA,1.53,537.23,NA,NA,NA,NA,0.9,-3.69,1.0374,0.36,0.0726772202006067,0,0.0281,0.0726772202006067,0.0281,4.00362770015547,-0.0398247181737621,0.112501938374369,2015,271,0.3,0.01,0.03,0,0,0.1,1,1,0
"6","AAL",2014,2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc",696649850,696649850,1,4.3771e+10,1.2112e+10,4.175e+10,1.3435e+10,2.021e+09,0,0,6.331e+09,1.6196e+10,1.0161e+10,5.96e+08,5.96e+08,0.85,0.83,0.1,8.04e+08,-7.86e+08,-2.02e+08,-1.84e+08,9.94e+08,1.296e+09,41.11,53.63,28.58,0.9952,0.0653,2.9,5.93,NA,537.43,0.0491,8.0139,0.0462,0.0676,0.97,-0.71,0.9015,NA,0.0999266523358293,0,-6e-04,0.0999266523358293,-6e-04,0.577307617946443,0.100273036906597,-0.000346384570767866,2016,179,0.39,0,0.05,0.03,0.06,0.1,1,1,0
"7","AAP",2012,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",73655224,73655224,1,4613814000,3184200000,3403120000,2559638000,1210694000,0,0,105234000,604461000,1329201000,65055000,65055000,0.88,0.88,0.06,180499000,-66784000,5013000,118728000,598111000,74873000,74.18,84,64.36,0.3528,0.0902,16.44,4.74,14.21,1.68,0.0455,0.4993,0.2624,0.0625,1.44,1.43,1.244,1.15,-0.0101733130119864,1e-04,0.0119,-0.0102733130119864,0.0118,1.91087614827869,-0.0328216515616749,0.0226483385496886,2014,435,0,0,0,0,0,0,0,0,0
"8","AAP",2013,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",72926574,72926574,1,5564774000,3989384000,4048569000,2764785000,1516205000,0,0,249707000,1052668000,1408813000,49267000,49267000,0.68,0.66,0.06,146783000,-44727000,443114000,545170000,1112471000,88580000,96.11,111.94,80.28,0.2787,0.0779,20.79,4.77,17.35,1.92,0.0447,0.6943,0.2725,0.0603,1.29,0.8,1.4429,1.42,0.0919770162884498,0,0.0281,0.0919770162884498,0.0281,0.973092713091747,0.0646331110505717,0.0273439052378781,2015,428,0.1,0,0,0,0,0.1,0,0,0
"9","AAP",2014,3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,0.0800635885031415,0,-6e-04,0.0800635885031415,-6e-04,1.94587936650084,0.081231116123042,-0.00116752761990051,2016,430,0.16,0,0.06,0,0,0.1,0,0,0
"10","AAPL",2012,4,"Information Technology",7,"AAPL_quarterly_financial_data.xls","apple","apple inc","apple inc",939058000,6573406000,7,1.96088e+11,7.2348e+10,6.8742e+10,4.6879e+10,1.27346e+11,0,0,5.843e+09,0,5.4512e+10,1.3078e+10,1.3078e+10,13.93,13.81,2.65,2.3426e+10,-1.3521e+10,-4.497e+09,5.408e+09,1.6154e+10,2.455e+09,84.14,96.68,71.6,0.3632,0.2434,19.37,4.69,13.33,0.79,0.1191,0,0.6494,0.2535,0.96,3.19,1.5433,2.42,-0.0951274831818494,1e-04,0.0119,-0.0952274831818494,0.0118,1.67431041790403,-0.114984346113117,0.0198568629312675,2014,48,0.57,0.92,0.96,0.96,0.94,0.01,0,0,0
