"","Index","Year","Roa","Roe","Roic","TobinsQ","AlphaJensen","Eps","DebtToEquityRatio","NetMargin","TotalAssets","Shares","Revenue","NetIncome","Beta","CostEquity","GreenScore","CarbonProductivity","EnergyProductivity","WaterProductivity","WasteProductivity","Green.Revenue","SustainabilityPayLink","SustainableThemedCommitment","AuditScore","GicsClassification","FirmSize","LogTobinsQ"
"1",1,2012,0.1177,0.243,0.176,0.79,0.0554137759730312,3.27,0.41,0.1681,1.054e+10,3.53e+08,6.858e+09,1.153e+09,1.25675613327066,0.0149297223725938,0.71,0.72,0.79,0.54,0.57,0.84,1,0,1,5,23.0784433800596,-0.23572233352107
"2",1,2013,0.0682,0.1383,0.1058,1.07,0.0402619842881623,2.13,0.51,0.1068,1.0686e+10,3.45e+08,3.894e+09,7.34e+08,1.00869990729994,0.0283444673951282,0.52,0.11,0.04,0,0.08,0.14,1,0,1,5,23.092200310482,0.0676586484738149
"3",1,2014,0.0468,0.0952,0.0729,1.03,-0.042838934246975,1.62,0.52,0.0722,1.0831e+10,3.38e+08,4.048e+09,5.49e+08,0.314711639070007,-0.000188826983442004,0.55,0.11,0.06,0.01,0.09,0.14,1,0,1,5,23.1056782298,0.0295588022415444
"4",2,2012,-0.0792,-0.264562164556175,-0.103111183809618,0.09,0.0628431934210808,-7.52,0.964212510528995,-0.0755,2.351e+10,2.49e+08,2.4855e+10,-1.876e+09,-1.41570732346532,-0.0166053464168908,0.29,0.14,0.05,0.16,0.23,0.28,1,1,0,6,23.8806916994984,-2.40794560865187
"5",2,2013,-0.0558,-0.325644396940268,-0.0498815346387566,0.36,-0.0398247181737621,-6.54,-0.339031291528173,-0.0686,4.2278e+10,2.8e+08,2.6743e+10,-1.834e+09,4.00362770015547,0.112501938374369,0.3,0.03,0.01,0,0,0.1,1,1,0,6,24.4675326931399,-1.02165124753198
"6",2,2014,0.067,0.9952,0.199542880409795,0.937587183253172,0.100273036906597,3.93,8.01,0.0676,4.3771e+10,7.34e+08,4.265e+10,2.882e+09,0.577307617946443,-0.000346384570767866,0.39,0.05,0,0.03,0.06,0.1,1,1,0,6,24.5022373345869,-0.118567910416729
"7",3,2012,0.0935,0.3758,0.2648,1.15,-0.0328216515616749,5.22,0.5,0.0623,4613814000,7.4e+07,6.205e+09,3.88e+08,1.91087614827869,0.0226483385496886,0,0,0,0,0,0,0,0,0,1,22.2523206837918,0.139761942375159
"8",3,2013,0.0768,0.2867,0.1887,1.42,0.0646331110505717,5.32,0.69,0.0602,5.565e+09,7.3e+07,6.494e+09,3.92e+08,0.973092713091747,0.0273439052378781,0.1,0,0,0,0,0.1,0,0,0,1,22.4397628216739,0.350656871613169
"9",3,2014,0.0728,0.2798,0.1735,1.53,0.081231116123042,6.71,0.81,0.05,7.962e+09,7.3e+07,9.844e+09,4.94e+08,1.94587936650084,-0.00116752761990051,0.16,0.06,0,0,0,0.1,0,0,0,1,22.7979460615245,0.425267735404344
"10",4,2012,0.2854,0.4284,0.4201,2.42,-0.114984346113117,6.31,0,0.2667,1.96088e+11,6.617e+09,1.56508e+11,4.1733e+10,1.67431041790403,0.0198568629312675,0.57,0.96,0.92,0.96,0.94,0.01,0,0,0,7,26.0018293750076,0.883767540168595
"11",4,2013,0.1934,0.3064,0.2608,2.18,0.0103605666461802,5.68,0.14,0.2167,2.07e+11,6.522e+09,1.7091e+11,3.7037e+10,-0.0533221761606803,-0.00149835315011512,0.75,0.13,0.11,0.11,0.14,0.11,1,0,1,7,26.0559846302118,0.779324876800998
"12",4,2014,0.1801,0.3361,0.262,2.54,-0.0734098713393379,6.45,0.26,0.2161,2.31839e+11,6.123e+09,1.82795e+11,3.951e+10,1.99369967272456,-0.00119621980363473,0.74,0.15,0.1,0.12,0.11,0.11,1,0,1,7,26.16930900219,0.932164081030445
"13",5,2012,0.2261,0.6769,0.2281,1.94994095279933,-0.025319983048039,3.35,4.35,0.287,2.7008e+10,1.577e+09,1.838e+10,5.275e+09,1.05259783748093,0.0124690097094179,0.28,0.13,0.22,0.07,0.16,0.2,1,0,1,5,24.01939895536,0.279295645795614
"14",5,2013,0.1469,1.0511,0.2271,2.83013211385362,0.042181102355241,2.56,3.18,0.2197,2.9198e+10,1.604e+09,1.879e+10,4.128e+09,1.5653780897793,0.0439871243227983,0.41,0.03,0.04,0.02,0.03,0.14,1,0,1,5,24.0973660507242,0.614139122194268
"15",5,2014,0.0625,0.5691,0.1149,3.86958733496683,-0.0549208530042889,1.1,6.06,0.0889,2.7547e+10,1.61e+09,1.996e+10,1.774e+09,1.57707234982411,-0.000946243409894466,0.47,0.04,0.07,0.02,0.05,0.14,1,0,1,5,24.0391594736941,1.41138357083087
"16",6,2012,0.0473,0.2701,0.2007,0.76,0.0185764755555605,2.8,0.59,0.009,15495532000,2.57e+08,7.8081e+10,7.19e+08,0.322616956172364,0.0039068800828339,0.13,0,0,0,0,0.64,0,0,0,5,23.4638175612528,-0.27443684570176
"17",6,2013,0.0252,0.1816,0.1264,0.92,-0.0239918164236638,1.84,0.6,0.0049,1.8919e+10,2.35e+08,8.7959e+10,4.34e+08,0.742625084707307,0.0208677648802753,0.14,0,0,0,0,0.14,0,0,0,5,23.6634325450507,-0.083381608939051
"18",6,2014,0.0137,0.1293,0.0851,0.9,-0.00938741586131097,1.16,1.02,0.0023,2.1532e+10,2.35e+08,1.19569e+11,2.74e+08,0.725509368341039,-0.000435305621004623,0.2,0.06,0,0,0,0.14,0,0,0,5,23.7928060376451,-0.105360515657826
"19",7,2012,0.0935,0.2331,0.1482,0.77,0.00311680808970081,3.72,0.68,0.1495,67234944000,1.592e+09,1.905e+10,5.963e+09,0.376780548141739,0.00454601046807252,0.29,0.08,0.12,0.15,0.35,0.19,1,0,1,5,24.9314589493224,-0.261364764134408
"20",7,2013,0.0468,0.0993,0.0674,1.23,-0.0481446412909056,1.62,0.13,0.1179,4.2953e+10,1.574e+09,1.9657e+10,2.576e+09,1.84355580390044,0.0518039180896025,0.37,0.01,0.02,0.02,0.03,0.14,1,0,1,5,24.4833723315986,0.207014169384326
"21",7,2014,0.0542,0.0978,0.0764,1.66,0.0118924378901004,1.49,0.16,0.1128,4.1275e+10,1.527e+09,2.0247e+10,2.284e+09,0.832397643855632,-0.000499438586313379,0.38,0.01,0.01,0.01,0.05,0.14,1,0,1,5,24.4435228267526,0.506817602368452
"22",8,2012,0.051,0.1147,0.0849,1.59,-0.00713839157852199,0.41,0.67,0.0733,1250886000,1.2e+08,6.67e+08,4.9e+07,1.72904165761763,0.020502691559888,0.39,0.43,0.2,0.4,0.02,0.67,0,1,1,6,20.9471179371805,0.46373401623214
"23",8,2013,0.0436,0.1185,0.0744,1.69,-0.0165347661272721,0.53,1.3,0.0738,1.682e+09,1.2e+08,8.65e+08,6.4e+07,0.846682324054431,0.0237917733059295,0.52,0.03,0.01,0.07,0.03,0.18,1,1,1,6,21.2432493984972,0.524728528934982
"24",8,2014,0.0383,0.1201,0.0681,1.7,0.0367951634510975,0.58,1.38,0.0665,1.851e+09,1.17e+08,1.016e+09,6.8e+07,0.743221605521034,-0.00044593296331262,0.57,0.04,0.05,0.09,0.01,0.18,1,1,1,6,21.3389918705378,0.53062825106217
"25",9,2012,0.0878,0.1338,0.1119,1.54,0.0710343801934589,1.66,0.22,0.1891,1.004e+10,5.03e+08,4.404e+09,8.33e+08,1.17393076051421,0.0139523829740677,0.84,0.87,0.83,0.99,0.92,0.51,1,1,1,7,23.02984295121,0.431782416425538
"26",9,2013,0.0285,0.0433,0.0399,2.62,0.0376753471009873,0.56,0.22,0.0715,1.038e+10,5.13e+08,4.055e+09,2.9e+08,0.550999847598482,0.0154830957175174,0.83,0.09,0.13,0.12,0.09,0.19,1,1,1,7,23.0631467146842,0.963174317773006
"27",9,2014,0.0254,0.0398,0.0347,3.2,-0.0122108921118647,0.53,0.13,0.0647,1.0786e+10,5.08e+08,4.147e+09,2.68e+08,1.96526093531432,-0.00117915656118859,0.62,0.08,0.06,0.08,0.03,0.19,1,1,1,7,23.1015148338614,1.16315080980568
"28",10,2012,0.1195,0.1636,0.1367,1.48,0.0316334992359597,2.13,0.19,0.2411,5.62e+09,3.06e+08,2.701e+09,6.51e+08,0.932458452966757,0.0111030097450077,0.56,0.48,0.55,0.59,0.3,0.86,0,1,1,7,22.449597500852,0.392042087776024
"29",10,2013,0.1122,0.1513,0.1295,1.77,0.0246039468929499,2.14,0.18,0.2557,6.382e+09,3.14e+08,2.634e+09,6.73e+08,1.31523601875755,0.0369581321270872,0.51,0.08,0.08,0.07,0.04,0.13,0,1,1,7,22.5767473648025,0.570979546585738
"30",10,2014,0.0951,0.1325,0.1154,1.95,0.0236277206132968,1.98,0.18,0.2197,6.86e+09,3.18e+08,2.865e+09,6.29e+08,1.54411687971311,-0.000926470127827863,0.53,0.09,0.09,0.07,0.05,0.13,0,1,1,7,22.6489732786842,0.667829372575655
"31",11,2012,0.0292,0.0665,0.0507,0.27,0.0249226350503893,1.84,0.36,0.0137,4.5136e+10,6.66e+08,8.9038e+10,1.223e+09,0.041678458486068,0.000591805810135603,0.19,0.09,0.06,0.55,0,0.19,0,1,0,2,24.5329459912061,-1.30933331998376
"32",11,2013,0.0307,0.0666,0.0574,0.48,0.0566792627988099,2.02,0.27,0.0149,4.3752e+10,6.63e+08,8.9804e+10,1.342e+09,0.664424226349584,0.0186703207604233,0.33,0.01,0.02,0.07,0,0.09,1,1,0,2,24.5018031629909,-0.7339691750802
"33",11,2014,0.0512,0.1132,0.0927,0.64,-0.0124982423959382,3.43,0.28,0.0277,4.4027e+10,6.56e+08,8.1201e+10,2.248e+09,0.823355470888378,-0.000494013282533027,0.32,0.02,0.01,0.06,0,0.09,1,1,0,2,24.5080689190305,-0.446287102628419
"34",12,2012,0.0427,0.229,0.2198,0.77,0.00273021423750364,2.82,0.0025,0.1302,3.333e+10,4.92e+08,1.0595e+10,1.389e+09,0.770112066882768,0.00918732238921666,0.47,0.38,0.47,0.61,0,1,0,1,0,7,24.2297237292661,-0.261364764134408
"35",12,2013,0.0446,0.2285,0.2221,0.97,-0.00114165492930315,2.89,0.002,0.1243,3.2268e+10,4.87e+08,9.442e+09,1.405e+09,0.634522853152042,0.0178300921735724,0.28,0.07,0,0,0,0.16,0,1,0,7,24.1973418640211,-0.0304592074847086
"36",12,2014,0.0471,0.2358,0.2301,0.86,-0.0206149652702033,3.14,0.0019,0.1242,3.2052e+10,4.83e+08,1.0226e+10,1.516e+09,0.808633188727693,-0.000485179913236616,0.28,0.07,0,0,0,0.16,0,1,0,7,24.1906254208622,-0.150822889734584
"37",13,2012,0.0403,1.1988,0.0917,0.65,0.00492973685848413,6.58,8.91,0.116,12000139000,6.4e+07,3.641e+09,4.22e+08,0.913175761195095,0.0108754739821021,0,0,0,0,0,0,0,0,0,7,23.2081840700007,-0.430782916092454
"38",13,2013,0.0393,0.7169,0.0872,1.03,0.0506996133497674,7.42,7.01,0.1149,13244257000,6.7e+07,4.319e+09,4.96e+08,1.10948588934073,0.0311765534904744,0.24,0.08,0,0,0,0.16,0,0,0,7,23.3068298614567,0.0295588022415444
"39",13,2014,0.0302,0.3114,0.0665,0.93,0.002351492901365,7.87,3.39,0.0955,20263977000,6.2e+07,5.302e+09,5.06e+08,2.87023927169194,-0.00172214356301517,0.21,0.05,0,0,0,0.16,0,0,0,7,23.7321106146274,-0.0725706928348354
"40",14,2012,0.0949,0.1634,0.1608,1.89,0.0313847542208315,1.22,-10.7444455648699,0.1288,3.429e+09,2.33e+08,2.215e+09,2.85e+08,2.82833347870637,0.0334743350487352,0.62,0.94,0.63,0.3,0.62,1,0,0,1,7,21.9555345104272,0.636576829071551
"41",14,2013,0.0657,0.126,0.0913,1.88,0.0629507642441825,1.07,0.36,0.107,4.322e+09,2.31e+08,2.312e+09,2.47e+08,1.53911665487784,0.0432491780020674,0.66,0.14,0.1,0,0.03,0.19,1,1,1,7,22.1869840950311,0.631271776841858
