"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
"1",0.076914440242153,1.07,0.281242522135117,3.66235569681866,7.2197494553382,-106.412782821379,0.72,0.54,0.57,0.79,0.71,0,1,1,1.63879850405487,0.146450414719891,-62569774713.5225,1.00869990729994,0.0402619842881623,2013,1,23.884576616517,0.0676586484738149
"2",0.206018725002948,1.03,0.849964808652909,12.1881890178145,-49.6134649350359,3731.45114800228,0.11,0,0.08,0.04,0.52,0,1,1,0.974501319148152,0.439695862045889,113257837488.805,0.314711639070007,-0.042838934246975,2014,1,25.1462086280292,0.0295588022415444
"3",0.212981381954372,1.54,0.356209584601251,-5.76627467083255,-43.4244719473825,-1766.68994493133,0.11,0.01,0.09,0.06,0.55,0,1,1,-0.941328331855347,0.297911276153161,-135784135181.854,1.68092636605572,0.0388677431258822,2015,1,22.6027520844237,0.431782416425538
"4",-0.0616,0.36,-0.270720283435623,-9.60255006103317,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-0.249959531394051,-0.00192082255699233,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,24.4675326931399,-1.02165124753198
"5",0.0653,-2.63080781062174,0.9952,5.93,-61.3696962920905,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,24.5022373345869,-0.924133475970244
"6",0.1587,1.34848346721492,0.655652133264765,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,24.6030755200099,0.670821912518712
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,22.4397222098879,0.350656871613169
"8",0.112424308961523,1.53,0.354788358327331,5.58708066179979,14.7240264587808,456.253054348637,0,0,0,0,0.1,0,0,0,1.36376218703211,0.262098493242711,228571193208.195,1.94587936650084,0.081231116123042,2014,3,23.7547638835389,0.425267735404344
"9",0.0892356294711102,1.63,0.378409986107635,13.1624629989014,72.6823728423064,4043.8600346589,0.06,0,0,0,0.16,0,0,0,1.78434310268006,0.0611050493560649,166383200081.103,0.100695664640629,-0.0755768442571862,2015,3,24.1686559799378,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,26.4044072597882,0.774727167552368
"13",0.155810564385589,4.7266337650868,0.559161683317443,22.02,84.9384161322936,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,24.0973660507242,1.56536273864833
"14",0.0624,4.06797376429213,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,24.0391594736941,1.31151259737467
"15",0.1092,0.937348422503598,0.961812963866001,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,24.6945007020064,0.348822794879669
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,70.5510852390356,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,21.2431608095554,0.524728528934982
"23",0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,21.338829782848,0.53062825106217
