"X","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","FirmSize","LogTobinsQ"
1,-0.0385617855223055,1.07,0.0455989995148308,13.1900543357917,51.3374968977569,12848.3313855559,0.72,0.54,0.57,0.79,0.71,0,1,1,5.59120191482166,0.753159937699591,89006286361.3798,1.00869990729994,0.0402619842881623,2013,1,25.6113011035651,0.0676586484738149
2,0.0568782697133185,1.03,0.269318562593861,8.10037198113863,89.5605553352749,-4395.62960871519,0.11,0,0.08,0.04,0.52,0,1,1,3.23488944594922,0.237827257699757,-81478583603.8607,0.314711639070007,-0.042838934246975,2014,1,24.5626775348035,0.0295588022415444
3,0.107398311647694,1.54,0.339585724059081,8.74740176505568,64.712447479862,-2195.32260244788,0.11,0.01,0.09,0.06,0.55,0,1,1,1.42775238240541,0.688094636900004,633558833621.139,1.68092636605572,0.0388677431258822,2015,1,25.5925469614392,0.431782416425538
4,-0.0616,0.36,-0.0527243650498822,0.65258664882621,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-0.888370228842231,-0.0279602259943479,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,24.4675326931399,-1.02165124753198
5,0.0653,-3.49875161249191,0.9952,5.93,-185.804406400168,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,24.5022373345869,-2.52096081143713
6,0.1587,2.5110941538663,0.550335079991355,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,24.6030755200099,1.09758796907937
7,0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,22.4397222098879,0.350656871613169
8,0.193305978636341,1.53,0.74768893203391,13.4889454227375,-126.969476211157,-12.5551995810474,0,0,0,0,0.1,0,0,0,1.77618507070791,0.598717405608606,-284093983420.174,1.94587936650084,0.081231116123042,2014,3,22.0170274895528,0.425267735404344
9,-0.0107888929548632,1.63,-0.0171942532769815,2.3253256520208,49.5558580295429,21261.9429485559,0.06,0,0,0,0.16,0,0,0,-1.27532995880315,-0.0799441979876402,14638155696.7203,0.100695664640629,-0.0755768442571862,2015,3,22.9428700622516,0.488580014818671
10,0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,26.1401836827305,0.779324876800998
11,0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,26.2912056786902,0.932164081030445
12,0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,26.4044072597882,0.774727167552368
13,0.0407925834907631,1.93374239089097,0.415782596703304,22.02,133.518712477627,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,24.0973660507242,-0.528124739701078
14,0.0624,3.6594016743049,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,24.0391594736941,1.44382317090057
15,0.1092,0.75714488907698,0.824576102850185,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,24.6945007020064,-0.182130100044219
16,0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,23.7087505329738,-0.083381608939051
