"";"Companies";"Year";"Ticker";"Date";"Ra";"Rf";"Rm";"Ra_Rf";"Rm_Rf";"Beta";"AlphaJensen";"CostEquity";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"1";1;2013;"A";2013-12-01;0,0686064516832906;0;0,0281;0,0686064516832906;0,0281;1,00869990729994;0,0402619842881623;0,0283444673951282;0,07;1,07;0,14;0,79;0,72;0,54;0,57;1;0;1;10,03;0,51;0,11;5
"2";1;2014;"A";2014-12-01;-0,043027761230417;0;-6e-04;-0,043027761230417;-6e-04;0,314711639070007;-0,042838934246975;-0,000188826983442004;0,05;1,03;0,09;0,04;0,11;0;0,08;1;0;1;10,03;0,52;0,07;5
"3";1;2015;"A";2015-12-01;0,00249164098247295;1e-04;-0,0216;0,00239164098247295;-0,0217;1,68092636605572;0,0388677431258822;-0,0363761021434092;0,05;1,54;0,1;0,06;0,11;0,01;0,09;1;0;1;9,87;0,4;0,1;5
"4";10;2013;"ADI";2013-12-01;0,0615620790200372;0;0,0281;0,0615620790200372;0,0281;1,31523601875755;0,0246039468929499;0,0369581321270872;0,03;1,77;0,07;0,55;0,48;0,59;0,3;0;1;1;9,8;0,27;0,01;7
"5";10;2014;"ADI";2014-12-01;0,0227012504854689;0;-6e-04;0,0227012504854689;-6e-04;1,54411687971311;0,0236277206132968;-0,000926470127827863;0,05;1,95;0,11;0,08;0,08;0,07;0,04;0;1;1;9,84;0,28;0,03;7
"6";10;2015;"ADI";2015-12-01;-0,101496384049314;1e-04;-0,0216;-0,101596384049314;-0,0217;1,10791875763138;-0,0775545470087128;-0,023941837040601;0,05;2,31;0,1;0,09;0,09;0,07;0,05;0;1;1;9,85;0,32;0,03;7
"7";100;2013;"CPB";2013-12-01;0,111076007692623;0;0,0281;0,111076007692623;0,0281;0,721210098258651;0,0908100039315552;0,0202660037610681;0,04;2,19;0,31;0,16;0,25;0,17;0,36;1;1;1;9,96;1,67;0,05;2
"8";100;2014;"CPB";2014-12-01;-0,0286759807352727;0;-6e-04;-0,0286759807352727;-6e-04;1,55006520164378;-0,0277459416142865;-0,000930039120986268;0,11;2;0,56;0,04;0,06;0,01;0,06;1;1;1;9,92;1,39;0,11;2
"9";100;2015;"CPB";2015-12-01;0,00591666407266006;1e-04;-0,0216;0,00581666407266006;-0,0217;0,114572441850394;0,0083028860608136;-0,00238622198815354;0,08;2,27;0,44;0,06;0,07;0,03;0,05;1;1;1;9,92;1,8;0,08;2
"10";101;2013;"CRM";2013-12-01;0,057808767575085;0;0,0281;0,057808767575085;0,0281;0,81979060929329;0,0347726514539436;0,0230361161211414;-0,02;4,29;-0,05;0,53;0,45;0;0;0;0;0;9,91;0,09;-0,09;7
