"";"Companies";"Year";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Ticker";"GisSector";"GicsClassification";"FichierSTCKP";"CompanyGR2014";"CompanyGR2015";"CompanyGR2016";"X";"Date"
"1";1;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";12;"2011-12-01"
"2";1;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";21;"2012-12-01"
"3";1;2013;0,07;1,07;0,14;0,79;0,72;0,54;0,57;1;0;1;10,03;0,51;0,11;5;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";26;"2013-12-01"
"4";1;2014;0,05;1,03;0,09;0,04;0,11;0;0,08;1;0;1;10,03;0,52;0,07;5;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";46;"2014-12-01"
"5";1;2015;0,05;1,54;0,1;0,06;0,11;0,01;0,09;1;0;1;9,87;0,4;0,1;5;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";58;"2015-12-01"
"6";1;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"A";"Health Care";5;"A_quarterly_financial_data.xls";"agilent technologies";"agilent technologies inc";"agilent technologies inc";68;"2016-12-01"
"7";2;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";73;"2011-12-01"
"8";2;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";93;"2012-12-01"
"9";2;2013;0,08;0,36;0,28;0,05;0,14;0,16;0,23;1;1;0;10,63;0,69;0,06;6;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";101;"2013-12-01"
"10";2;2014;0,06;NA;0,27;0,01;0,03;0;0;1;1;0;10,64;0,9;0,05;6;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";113;"2014-12-01"
"11";2;2015;0,06;NA;0,23;0;0,05;0,03;0,06;1;1;0;10,68;0,54;0,05;6;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";131;"2015-12-01"
"12";2;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAL";"Industrials";6;"AMR_quarterly_financial_data.xls";"american airlines group";"american airlines group inc";"american airlines group inc";140;"2016-12-01"
"13";3;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";147;"2011-12-01"
"14";3;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";163;"2012-12-01"
"15";3;2013;0,18;1,42;0,29;0;0;0;0;0;0;0;9,75;0,13;0,21;1;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";180;"2013-12-01"
"16";3;2014;0,19;1,53;0,37;0;0;0;0;0;0;0;9,9;0,26;0,22;1;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";191;"2014-12-01"
"17";3;2015;0,19;1,63;0,43;0;0,06;0;0;0;0;0;9,91;0,41;0,23;1;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";200;"2015-12-01"
"18";3;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAP";"Consumer Discretionary";1;"AAP_quarterly_financial_data.xls";"advance auto parts";"advance auto parts inc";"advance auto parts inc";205;"2016-12-01"
"19";4;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";220;"2011-12-01"
"20";4;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";237;"2012-12-01"
"21";4;2013;0,06;2,18;0,44;0,92;0,96;0,96;0,94;0;0;0;11,35;6,06;0,09;7;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";251;"2013-12-01"
"22";4;2014;0,11;2,54;0,34;0,11;0,13;0,11;0,14;1;0;1;11,42;7,41;0,23;7;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";262;"2014-12-01"
"23";4;2015;0,2;2,17;0,46;0,1;0,15;0,12;0,11;1;0;1;11,47;4,35;0,23;7;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";266;"2015-12-01"
"24";4;2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"AAPL";"Information Technology";7;"AAPL_quarterly_financial_data.xls";"apple";"apple inc";"apple inc";277;"2016-12-01"
"25";5;2013;0;NA;0,02;0,22;0,13;0,07;0,16;1;0;1;10,47;1,13;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";5;2014;0,01;NA;0,29;0,04;0,03;0,02;0,03;1;0;1;10,44;3,38;0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";5;2015;0,05;NA;0,27;0,07;0,04;0,02;0,05;1;0;1;10,72;0,6;0,01;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ABBV";"Health Care";5;"ABBV_quarterly_financial_data.xls";"abbvie";"abbvie inc";"abbvie inc";NA;NA
