"","Ticker","Year","Net income","Research and development","Revenue"
"1","A","2013","724","704","6782"
"2","A","2014","504","719","6981"
"3","A","2015","401","330","4038"
"4","A","2016","462","329","4202"
"5","A","2017","684","339","4472"
"7","AAL","2013","-1834",NA,"26743"
"8","AAL","2014","2882",NA,"42650"
"9","AAL","2015","7610",NA,"40990"
"10","AAL","2016","2676",NA,"40180"
"11","AAL","2017","1919",NA,"42207"
"13","AAP","2013","392",NA,"6494"
"14","AAP","2014","494",NA,"9844"
"15","AAP","2015","473",NA,"9737"
"16","AAP","2016","460",NA,"9568"
"17","AAP","2017","476",NA,"9374"
"19","AAPL","2013","37037","4475","170910"
"20","AAPL","2014","39510","6041","182795"
"21","AAPL","2015","53394","8067","233715"
"22","AAPL","2016","45687","10045","215639"
"23","AAPL","2017","48351","11581","229234"
"25","ABBV","2013","4128","3193","18790"
"26","ABBV","2014","1774","3649","19960"
"27","ABBV","2015","5144","4435","22859"
"28","ABBV","2016","5953","4566","25638"
"29","ABBV","2017","5309","5309","28216"
"31","ABC","2013","434",NA,"87959"
"32","ABC","2014","276",NA,"119569"
"33","ABC","2015","-135",NA,"135962"
"34","ABC","2016","1428",NA,"146850"
"35","ABC","2017","364",NA,"153144"
"37","ABT","2013","2576","1452","21848"
"38","ABT","2014","2284","1345","20247"
"39","ABT","2015","4423","1405","20405"
"40","ABT","2016","1400","1422","20853"
"41","ABT","2017","477","2235","27390"
"43","ADM","2013","1342",NA,"89804"
"44","ADM","2014","2248",NA,"81201"
"45","ADM","2015","1849",NA,"67702"
"46","ADM","2016","1279",NA,"62346"
"47","ADM","2017","1595",NA,"60828"
"49","ADP","2013","1406",NA,"11310"
"50","ADP","2014","1516",NA,"12206"
"51","ADP","2015","1452",NA,"10938"
"52","ADP","2016","1492",NA,"11668"
"53","ADP","2017","1733",NA,"12380"
"55","ADS","2013","496",NA,"4319"
"56","ADS","2014","506",NA,"5303"
"57","ADS","2015","597",NA,"6440"
"58","ADS","2016","516",NA,"7138"
"59","ADS","2017","789",NA,"7719"
"61","ADSK","2013","229","611","2274"
"62","ADSK","2014","82","725","2512"
"63","ADSK","2015","-330","790","2504"
"64","ADSK","2016","-582","766","2031"
"65","ADSK","2017","-567","756","2057"
"67","AIG","2013","9085",NA,NA
"68","AIG","2014","7529",NA,NA
"69","AIG","2015","2196",NA,NA
"70","AIG","2016","-849",NA,NA
"71","AIG","2017","-6084",NA,NA
"73","AKAM","2013","293","94","1578"
"74","AKAM","2014","334","125","1964"
"75","AKAM","2015","321","149","2197"
"76","AKAM","2016","316","168","2340"
"77","AKAM","2017","218","222","2503"
"79","ALL","2013","2280",NA,NA
"80","ALL","2014","2850",NA,NA
"81","ALL","2015","2171",NA,NA
"82","ALL","2016","1877",NA,NA
"83","ALL","2017","3189",NA,NA
"85","ALXN","2013","253","317","1551"
"86","ALXN","2014","657","514","2234"
"87","ALXN","2015","144","709","2604"
"88","ALXN","2016","399","757","3084"
"89","ALXN","2017","443","878","3551"
"91","AMAT","2013","256","1320","7509"
"92","AMAT","2014","1072","1428","9072"
"93","AMAT","2015","1377","1451","9659"
"94","AMAT","2016","1721","1540","10825"
"95","AMAT","2017","3434","1774","14537"
"97","AME","2013","517",NA,"3594"
"98","AME","2014","584",NA,"4022"
"99","AME","2015","591",NA,"3974"
"100","AME","2016","512",NA,"3840"
"101","AME","2017","681",NA,"4300"
"103","AMG","2013","360",NA,"2189"
"104","AMG","2014","452",NA,"2511"
"105","AMG","2015","516",NA,"2484"
"106","AMG","2016","473",NA,"2195"
"107","AMG","2017","690",NA,"2305"
"109","AMZN","2013","274",NA,"74452"
"110","AMZN","2014","-241",NA,"88988"
"111","AMZN","2015","596",NA,"107006"
"112","AMZN","2016","2371",NA,"135987"
"113","AMZN","2017","3033",NA,"177866"
"115","ANDV","2013","412",NA,"37601"
"116","ANDV","2014","843",NA,"40633"
