"","Ticker","Year","TotalAsset"
"1","A",2013,1.0686e+10
"2","A",2014,1.0831e+10
"3","A",2015,7.479e+09
"4","A",2016,7.802e+09
"5","A",2017,8.426e+09
"6","AAL",2013,4.2278e+10
"7","AAL",2014,4.3771e+10
"8","AAL",2015,4.8415e+10
"9","AAL",2016,5.1274e+10
"10","AAL",2017,5.1396e+10
"11","AAP",2013,5.565e+09
"12","AAP",2014,7.962e+09
"13","AAP",2015,8.135e+09
"14","AAP",2016,8.315e+09
"15","AAP",2017,8.482e+09
"16","AAPL",2013,2.07e+11
"17","AAPL",2014,2.31839e+11
"18","AAPL",2015,2.90479e+11
"19","AAPL",2016,3.21686e+11
"20","AAPL",2017,3.75319e+11
"21","ABC",2013,1.8919e+10
"22","ABC",2014,2.1532e+10
"23","ABC",2015,2.7736e+10
"24","ABC",2016,3.3656e+10
"25","ABC",2017,3.5316e+10
"26","ABT",2013,4.2953e+10
"27","ABT",2014,4.1275e+10
"28","ABT",2015,4.1247e+10
"29","ABT",2016,5.2666e+10
"30","ABT",2017,7.625e+10
"31","ACIW",2013,1.682e+09
"32","ACIW",2014,1.851e+09
"33","ACIW",2015,1.99e+09
"34","ACIW",2016,1.902e+09
"35","ACIW",2017,1.862e+09
"36","ADBE",2013,1.038e+10
"37","ADBE",2014,1.0786e+10
"38","ADBE",2015,1.1726e+10
"39","ADBE",2016,1.2707e+10
"40","ADBE",2017,1.4536e+10
"41","ADI",2013,6.382e+09
"42","ADI",2014,6.86e+09
"43","ADI",2015,7.062e+09
"44","ADI",2016,7.97e+09
"45","ADI",2017,2.1141e+10
"46","ADM",2013,4.3752e+10
"47","ADM",2014,4.4027e+10
"48","ADM",2015,4.0157e+10
"49","ADM",2016,3.9769e+10
"50","ADM",2017,3.9963e+10
"51","ADP",2013,3.2268e+10
"52","ADP",2014,3.2052e+10
"53","ADP",2015,3.311e+10
"54","ADP",2016,4.367e+10
"55","ADP",2017,3.718e+10
"56","BHI",2013,2.7934e+10
"57","BHI",2014,2.8827e+10
"58","BHI",2015,2.408e+10
"59","BHI",2016,1.9034e+10
"60","BHI",2017,5.6886e+10
"61","BIIB",2013,1.1863e+10
"62","BIIB",2014,1.4317e+10
"63","BIIB",2015,1.9505e+10
"64","BIIB",2016,2.2877e+10
"65","BIIB",2017,2.3653e+10
"66","BK",2013,3.7431e+11
"67","BK",2014,3.85303e+11
"68","BK",2015,3.9378e+11
"69","BK",2016,3.33469e+11
"70","BK",2017,3.71758e+11
"71","BKE",2013,5.46e+08
"72","BKE",2014,5.43e+08
"73","BKE",2015,5.73e+08
"74","BKE",2016,5.8e+08
"75","BKE",2017,5.38e+08
"76","BLK",2013,2.19873e+11
"77","BLK",2014,2.39808e+11
"78","BLK",2015,2.25261e+11
"79","BLK",2016,2.20177e+11
"80","BLK",2017,2.20217e+11
"81","BLL",2013,7.82e+09
"82","BLL",2014,7.571e+09
"83","BLL",2015,9.777e+09
"84","BLL",2016,1.6173e+10
"85","BLL",2017,1.7169e+10
"86","BMRN",2013,2.249e+09
"87","BMRN",2014,2.49e+09
"88","BMRN",2015,3.729e+09
"89","BMRN",2016,4.024e+09
"90","BMRN",2017,4.633e+09
"91","CERN",2013,4.098e+09
"92","CERN",2014,4.531e+09
"93","CERN",2015,5.562e+09
"94","CERN",2016,5.63e+09
"95","CERN",2017,6.469e+09
"96","CF",2013,1.0678e+10
"97","CF",2014,1.1338e+10
"98","CF",2015,1.2739e+10
"99","CF",2016,1.5131e+10
"100","CF",2017,1.3463e+10
"101","CL",2013,1.3876e+10
"102","CL",2014,1.3459e+10
"103","CL",2015,1.1958e+10
"104","CL",2016,1.2123e+10
"105","CL",2017,1.2676e+10
"106","CLR",2013,1.1941e+10
"107","CLR",2014,1.5145e+10
"108","CLR",2015,1.492e+10
"109","CLR",2016,1.3812e+10
"110","CLR",2017,1.42e+10
"111","CLX",2013,4.311e+09
"112","CLX",2014,4.258e+09
"113","CLX",2015,4.164e+09
"114","CLX",2016,4.518e+09
"115","CLX",2017,4.573e+09
"116","CMCSA",2013,1.58813e+11
"117","CMCSA",2014,1.59339e+11
"118","CMCSA",2015,1.66574e+11
"119","CMCSA",2016,1.805e+11
"120","CMCSA",2017,1.86949e+11
"121","CNX",2013,1.1394e+10
"122","CNX",2014,1.176e+10
"123","CNX",2015,1.093e+10
"124","CNX",2016,9.184e+09
"125","CNX",2017,6.932e+09
"126","COF",2013,2.97048e+11
"127","COF",2014,3.08854e+11
"128","COF",2015,3.34048e+11
"129","COF",2016,3.57033e+11
"130","COF",2017,3.65693e+11
"131","COH",2013,NA
"132","COH",2014,NA
"133","COH",2015,NA
"134","COH",2016,NA
"135","COH",2017,1e+07
"136","COL",2013,5.4e+09
"137","COL",2014,7.063e+09
"138","COL",2015,7.389e+09
"139","COL",2016,7.707e+09
"140","COL",2017,1.7997e+10
"141","COP",2013,1.18057e+11
"142","COP",2014,1.16539e+11
"143","COP",2015,9.7484e+10
"144","COP",2016,8.9772e+10
"145","COP",2017,7.3362e+10
"146","COST",2013,3.0283e+10
"147","COST",2014,3.3024e+10
"148","COST",2015,3.344e+10
"149","COST",2016,3.3163e+10
"150","COST",2017,3.6347e+10
"151","CSCO",2013,1.01191e+11
"152","CSCO",2014,1.05134e+11
"153","CSCO",2015,1.13481e+11
"154","CSCO",2016,1.21652e+11
"155","CSCO",2017,1.29818e+11
"156","CSX",2013,3.1782e+10
"157","CSX",2014,3.3053e+10
"158","CSX",2015,3.5039e+10
"159","CSX",2016,3.5414e+10
"160","CSX",2017,3.5739e+10
"161","CTL",2013,5.1787e+10
"162","CTL",2014,5.0147e+10
"163","CTL",2015,4.7604e+10
"164","CTL",2016,4.7017e+10
"165","CTL",2017,7.5611e+10
"166","CTXS",2013,5.212e+09
"167","CTXS",2014,5.512e+09
"168","CTXS",2015,5.481e+09
"169","CTXS",2016,6.39e+09
"170","CTXS",2017,5.82e+09
"171","CVS",2013,7.1526e+10
