"";"Companies";"Year";"Ra";"ROA";"ROE";"TobinsQ";"AlphaJensen";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"EnergyProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry";"Beta"
"1";1;2013;0,0686064516832906;0,07;0,14;1,07;0,0402619842881623;0,72;0,54;0,57;0,79;1;0;1;10,03;0,51;0,11;5;1,00869990729994
"2";1;2014;-0,043027761230417;0,05;0,09;1,03;-0,042838934246975;0,11;0;0,08;0,04;1;0;1;10,03;0,52;0,07;5;0,314711639070007
"3";1;2015;0,00249164098247295;0,05;0,1;1,54;0,0388677431258822;0,11;0,01;0,09;0,06;1;0;1;9,87;0,4;0,1;5;1,68092636605572
"4";10;2013;0,0615620790200372;0,03;0,07;1,77;0,0246039468929499;0,48;0,59;0,3;0,55;0;1;1;9,8;0,27;0,01;7;1,31523601875755
"5";10;2014;0,0227012504854689;0,05;0,11;1,95;0,0236277206132968;0,08;0,07;0,04;0,08;0;1;1;9,84;0,28;0,03;7;1,54411687971311
"6";10;2015;-0,101496384049314;0,05;0,1;2,31;-0,0775545470087128;0,09;0,07;0,05;0,09;0;1;1;9,85;0,32;0,03;7;1,10791875763138
"7";100;2013;0,111076007692623;0,04;0,31;2,19;0,0908100039315552;0,25;0,17;0,36;0,16;1;1;1;9,96;1,67;0,05;2;0,721210098258651
"8";100;2014;-0,0286759807352727;0,11;0,56;2;-0,0277459416142865;0,06;0,01;0,06;0,04;1;1;1;9,92;1,39;0,11;2;1,55006520164378
"9";100;2015;0,00591666407266006;0,08;0,44;2,27;0,0083028860608136;0,07;0,03;0,05;0,06;1;1;1;9,92;1,8;0,08;2;0,114572441850394
"10";101;2013;0,057808767575085;-0,02;-0,05;4,29;0,0347726514539436;0,45;0;0;0,53;0;0;0;9,91;0,09;-0,09;7;0,81979060929329
"11";101;2014;-0,00939758552320607;-0,03;-0,09;4,53;-0,00881786359473804;0,04;0;0;0,07;1;0;0;9,97;0,44;-0,06;7;0,966203214113388
"12";101;2015;-0,0163201796403425;-0,01;-0,02;4,71;0,0212558826761013;0,06;0;0;0;1;0;0;10,04;0,27;-0,05;7;1,7362240698822
"13";102;2013;0,0540424662750277;0,1;0,17;0,92;0,0251991267167051;0,61;0,6;0,82;0,5;1;0;1;11;0,22;0,2;7;1,02645336506486
"14";102;2014;0,00649097072236649;0,08;0,14;0,95;0,0065541636653554;0,08;0,06;0,1;0,06;1;1;1;11,02;0,35;0,16;7;0,105321571648193
"15";102;2015;-0,00330812131348697;0,09;0,16;1,04;0,0280141222651692;0,1;0,06;0,08;0,05;1;1;1;11,05;0,36;0,19;7;1,44802965800259
"16";103;2013;0,0535459426080291;0,06;0,19;1,19;0,0120629342619154;0,43;0,31;0,13;0,3;1;1;1;10,5;0,86;0,16;6;1,47626364221045
"17";103;2014;-0,00715070884678069;0,06;0,18;1,36;-0,00642246804579757;0,07;0,04;0;0,06;1;1;1;10,52;0,85;0,15;6;1,21373466830521
"18";103;2015;-0,0912732854026227;0,06;0,17;1;-0,0706580289237505;0,07;0,05;0,04;0,12;1;1;1;10,54;0,92;0,17;6;0,954620114233743
"19";105;2013;0,0727986777391043;0,17;0,22;3,23;0,0266647825363164;0,3;0,14;0,37;0,55;0;1;0;9,91;0;0,14;7;1,64177562999245
