"";"Companies";"YearFinancialIndicator";"ROA";"TobinsQ";"ROE";"YearNewsWeekGR";"GreenScore";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"Green.Revenue";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"1";1;2013;0,07;1,07;0,14;2014;0,71;0,79;0,72;0,54;0,57;0,84;0,1;0;0,05;10,03;0,51;0,11;5
"2";1;2014;0,05;1,03;0,09;2015;0,52;0,04;0,11;0;0,08;0,14;0,1;0;0,05;10,03;0,52;0,07;5
"3";1;2015;0,05;1,54;0,1;2016;0,55;0,06;0,11;0,01;0,09;0,14;0,1;0;0,05;9,87;0,4;0,1;5
"4";2;2013;0,08;0,36;0,28;2014;0,29;0,05;0,14;0,16;0,23;0,28;0,1;0,05;0;10,63;0,69;0,06;6
"5";2;2014;0,06;NA;0,27;2015;0,3;0,01;0,03;0;0;0,1;0,1;0,05;0;10,64;0,9;0,05;6
"6";2;2015;0,06;NA;0,23;2016;0,39;0;0,05;0,03;0,06;0,1;0,1;0,05;0;10,68;0,54;0,05;6
"7";3;2013;0,18;1,42;0,29;2014;0;0;0;0;0;0;0;0;0;9,75;0,13;0,21;1
"8";3;2014;0,19;1,53;0,37;2015;0,1;0;0;0;0;0,1;0;0;0;9,9;0,26;0,22;1
"9";3;2015;0,19;1,63;0,43;2016;0,16;0;0,06;0;0;0,1;0;0;0;9,91;0,41;0,23;1
"10";4;2013;0,06;2,18;0,44;2014;0,57;0,92;0,96;0,96;0,94;0,01;0;0;0;11,35;6,06;0,09;7
"11";4;2014;0,11;2,54;0,34;2015;0,75;0,11;0,13;0,11;0,14;0,11;0,1;0;0,05;11,42;7,41;0,23;7
"12";4;2015;0,2;2,17;0,46;2016;0,74;0,1;0,15;0,12;0,11;0,11;0,1;0;0,05;11,47;4,35;0,23;7
"13";5;2013;0;NA;0,02;2014;0,28;0,22;0,13;0,07;0,16;0,2;0,1;0;0,05;10,47;1,13;0;5
"14";5;2014;0,01;NA;0,29;2015;0,41;0,04;0,03;0,02;0,03;0,14;0,1;0;0,05;10,44;3,38;0;5
"15";5;2015;0,05;NA;0,27;2016;0,47;0,07;0,04;0,02;0,05;0,14;0,1;0;0,05;10,72;0,6;0,01;5
"16";6;2013;0,06;0,92;0,11;0;0,13;0;0;0;0;0,64;0;0;0;10,3;0,13;0,12;5
"17";6;2014;0,05;0,9;0,1;2015;0,14;0;0;0;0;0,14;0;0;0;10,4;0,16;0,11;5
"18";6;2015;0,1;0,96;0,2;2016;0,2;0;0,06;0;0;0,14;0;0;0;10,49;0,28;0,22;5
"19";7;2013;0,04;1,23;0,12;2014;0,29;0,12;0,08;0,15;0,35;0,19;0,1;0;0,05;10,63;1,3;0,07;5
"20";7;2014;0,04;1,66;0,13;2015;0,37;0,02;0,01;0,02;0,03;0,14;0,1;0;0,05;10,62;1,38;0,07;5
"21";7;2015;0,05;1,63;0,14;2016;0,38;0,01;0,01;0,01;0,05;0,14;0,1;0;0,05;10,62;1,29;0,08;5
"22";8;2013;0,03;1,69;0,04;2014;0,39;0,2;0,43;0,4;0,02;0,67;0;0,05;0,05;9,23;0,22;0,07;6
"23";8;2014;0,03;1,7;0,04;2015;0,52;0,01;0,03;0,07;0,03;0,18;0,1;0,05;0,05;9,27;0,13;0,06;6
"24";8;2015;0,06;1,71;0,09;2016;0,57;0,05;0,04;0,09;0,01;0,18;0,1;0,05;0,05;9,3;0,27;0,13;6
"25";9;2013;0,11;2,62;0,15;2014;0,84;0,83;0,87;0,99;0,92;0,51;0,1;0,05;0,05;10,02;0,18;0,26;7
"26";9;2014;0,09;3,2;0,13;2015;0,83;0,13;0,09;0,12;0,09;0,19;0,1;0,05;0,05;10,03;0,18;0,22;7
"27";9;2015;0,1;3,82;0,14;2016;0,62;0,06;0,08;0,08;0,03;0,19;0,1;0,05;0,05;10,07;0,1;0,2;7
"28";10;2013;0,03;1,77;0,07;2014;0,56;0,55;0,48;0,59;0,3;0,86;0;0,05;0,05;9,8;0,27;0,01;7
"29";10;2014;0,05;1,95;0,11;2015;0,51;0,08;0,08;0,07;0,04;0,13;0;0,05;0,05;9,84;0,28;0,03;7
"30";10;2015;0,05;2,31;0,1;2016;0,53;0,09;0,09;0,07;0,05;0,13;0;0,05;0,05;9,85;0,32;0,03;7
"31";11;2013;0,04;0,48;0,22;2014;0,19;0,06;0,09;0,55;0;0,19;0;0,05;0;10,64;0,27;0,12;2
"32";11;2014;0,04;0,64;0,23;2015;0,33;0,02;0,01;0,07;0;0,09;0,1;0,05;0;10,64;0,28;0,12;2
"33";11;2015;0,04;0,48;0,32;2016;0,32;0,01;0,02;0,06;0;0,09;0,1;0,05;0;10,6;0,47;0,13;2
"34";12;2013;0,04;0,97;0,72;2014;0,47;0,47;0,38;0,61;0;1;0;0,05;0;10,58;2,85;0,11;7
"35";12;2014;0,03;0,86;0,38;2015;0,28;0;0,07;0;0;0,16;0;0,05;0;10,64;1,67;0,1;7
"36";12;2015;0,03;0,94;0,3;2016;0,28;0;0,07;0;0;0,16;0;0,05;0;10,6;2,33;0,09;7
"37";13;2013;0,06;1,03;0,12;2014;0;0;0;0;0;0;0;0;0;10,12;0,35;0,11;7
"38";13;2014;0,03;0,93;0,05;2015;0,24;0;0,08;0;0;0,16;0;0;0;10,31;0,33;0,05;7
"39";13;2015;-0,05;0,76;-0,12;2016;0,21;0;0,05;0;0;0,16;0;0;0;10,35;0,86;0,09;7
"40";14;2013;0,01;1,88;0,05;2014;0,62;0,63;0,94;0,3;0,62;1;0;0;0,05;9,64;0,86;0,05;7
"41";14;2014;0,03;2,65;0,09;2015;0,66;0,1;0,14;0;0,03;0,19;0,1;0,05;0,05;9,68;0,93;0,1;7
"42";14;2015;0,03;2,4;0,09;2016;0,71;0,14;0,14;0;0,05;0,19;0,1;0,05;0,05;9,72;1,06;0,1;7
"43";15;2013;0,03;0,7;0,09;2014;0,29;0,52;0,03;0;0;0,29;0,1;0,05;0;10,32;1,05;0,1;11
"44";15;2014;0,03;0,8;0,1;2015;0,37;0,09;0,01;0;0;0,12;0,1;0,05;0;10,36;0,96;0,1;11
"45";15;2015;0,03;0,74;0,12;2016;0,36;0,07;0,01;0,01;0;0,12;0,1;0,05;0;10,37;0,99;0,12;11
"46";16;2013;0,04;0,73;0,15;2014;0,18;0,02;0,02;0,03;0;0,07;0,1;0,05;0;10,75;0,56;0,04;11
"47";16;2014;0,04;0,83;0,14;2015;0,31;0;0,01;0,03;0;0,12;0,1;0,05;0;10,78;0,54;0,04;11
"48";16;2015;0,04;0,8;0,15;2016;0,3;0;0,01;0,02;0;0,12;0,1;0,05;0;10,79;0,49;0,04;11
"49";17;2013;0,03;0,71;0,22;2014;0,41;0,65;0,74;0;0;0,74;0;0,05;0;10,7;0,56;0,13;5
"50";17;2014;0,02;0,8;0,17;2015;0,32;0;0,08;0;0;0,14;0;0,05;0,05;10,73;0,54;0,13;5
"51";17;2015;0,02;0,91;0,14;2016;0,6;0,13;0,12;0,11;0;0,14;0;0,05;0,05;10,73;0,49;0,12;5
"52";18;2013;0,03;0,34;0,21;2014;0,49;0,85;0,63;0;0;0,82;0;0,05;0,05;11,08;0,34;0,13;4
"53";18;2014;0,02;0,29;0,18;2015;0,75;0,09;0,09;0,09;0,12;0,16;0,1;0,05;0,05;11,08;0,29;0,13;4
"54";18;2015;0,02;0,26;0,14;2016;0,64;0,06;0,07;0,06;0,1;0,16;0,1;0,05;0,05;11,07;0,28;0,12;4
"55";19;2013;0,02;1,21;0,09;2014;0,85;0,72;0,85;0,61;0,82;1;0,1;0,05;0,05;10,02;0,89;0,13;5
"56";19;2014;0,01;NA;0,07;2015;0,84;0,12;0,13;0,12;0,13;0,14;0,1;0,05;0,05;10,09;0,52;0,12;5
"57";19;2015;0;NA;0,02;2016;0,74;0,14;0,13;0,13;0;0,14;0,1;0,05;0,05;10,09;0,56;0,04;5
"58";20;2013;0,1;NA;0,12;2014;0,18;0;0;0;0;0,65;0;0,05;0;11,73;0,41;0,19;4
"59";20;2014;0,09;NA;0,12;2015;0,29;0;0;0;0;0,14;0,1;0,05;0;11,71;0,21;0,17;4
"60";20;2015;0,08;NA;0,11;2016;0,4;0;0,09;0;0;0,15;0,1;0,05;0;11,7;0,2;0,15;4
"61";21;2013;0,02;2,59;0,11;2014;0,39;0,03;0,12;0;0,68;0,82;0;0,05;0,05;9,47;0;0,07;7
"62";21;2014;0,03;2,72;0,13;2015;0,61;0,01;0,07;0;0,15;0,18;0,1;0,05;0,05;9,6;0,21;0,08;7
"63";21;2015;0,02;2,16;0,11;2016;0,62;0,05;0,04;0;0,15;0,18;0,1;0,05;0,05;9,62;0,2;0,06;7
"64";22;2013;0,09;0,19;0,11;2014;0,49;0,19;0,21;0,31;0,72;0,87;0;0,05;0,05;11,09;0,03;0,16;4
"65";22;2014;0,17;0,26;0,22;2015;0,57;0,01;0,03;0,05;0,12;0,16;0,1;0,05;0,05;11,04;0,25;0,29;4
"66";22;2015;0,01;0,22;0,02;2016;0,54;0,01;0,03;0,06;0,08;0,16;0,1;0,05;0,05;11,02;0,4;0,06;4
"67";23;2013;0,02;7,43;0,04;2014;0,13;0;0;0;0;0,63;0;0;0;9,52;0,27;0,03;5
"68";23;2014;0,08;8,25;0,14;2015;0,17;0;0;0;0;0,17;0;0;0;9,62;0,25;0,12;5
"69";23;2015;0,1;3,4;0,17;2016;0,23;0;0,06;0;0;0,17;0;0;0;10,12;0,44;0,14;5
"70";24;2013;0,1;1,68;0,18;2014;0,67;0,61;0,65;0,72;0,32;0,89;0,1;0,05;0;10,08;0,36;0,14;7
"71";24;2014;0,09;1,88;0,17;2015;0,55;0,08;0,08;0,09;0,02;0,13;0,1;0,05;0;10,12;0,44;0,15;7
"72";24;2015;0,09;1,13;0,18;2016;0,6;0,1;0,1;0,09;0,03;0,13;0,1;0,05;0;10,18;0,48;0,15;7
"73";25;2013;0,06;2,31;0,17;2014;0;0;0;0;0;0;0;0;0;9,77;0,65;0,16;6
