"";"symbol";"ActivePremium";"Alpha";"AnnualizedAlpha";"Beta";"Beta-";"Beta+";"Correlation";"Correlationp-value";"InformationRatio";"R-squared";"TrackingError";"TreynorRatio"
"1";"A";0,0145;-0,0015;-0,0183;1,5646;1,5807;1,5388;0,7314;0;0,0725;0,535;0,1997;0,0746
"2";"AAL";0,288;0,0311;0,4438;0,7551;-0,796;1,8568;0,1863;0,0897;0,5654;0,0347;0,5093;0,5167
"3";"AAP";0,1282;0,0139;0,1802;0,6787;-0,2549;1,0563;0,354;0,001;0,5514;0,1253;0,2325;0,3395
"4";"AAPL";0,1731;0,0141;0,1826;1,0362;0,3973;1,0847;0,51;0;0,7754;0,2601;0,2232;0,2657
"5";"ABBV";0,0777;0,0016;0,0197;1,5811;1,3846;0,768;0,7172;0;0,4548;0,5143;0,1709;0,1246
"6";"ABC";0,0803;0,0095;0,1204;0,7035;0,1353;0,6041;0,4494;0;0,4401;0,2019;0,1825;0,2594
"7";"ABT";4e-04;0,0017;0,0206;0,8848;0,6104;0,9314;0,6319;0;0,0027;0,3993;0,1393;0,1159
"8";"ACIW";0,0736;0,0054;0,0668;1,24;1,3007;1,7132;0,6054;0;0,3497;0,3665;0,2104;0,1417
"9";"ADBE";0,0548;0,0039;0,0482;1,19;1,088;1,134;0,6568;0;0,3113;0,4314;0,1761;0,1319
"10";"ADI";0,0561;0,0039;0,0479;1,1686;0,7509;1,2721;0,6943;0;0,3595;0,482;0,1561;0,1355
"11";"ADM";-0,0226;0,001;0,0124;0,8792;0,3546;0,9674;0,4701;0;-0,1068;0,221;0,2113;0,0906
"12";"ADP";0,0869;0,0079;0,0991;0,8478;0,7666;0,8628;0,7525;0;0,899;0,5662;0,0967;0,2231
"13";"ADS";0,0927;0,0066;0,0817;1,3335;1,454;1,6088;0,599;0;0,4002;0,3589;0,2315;0,1461
"14";"ADSK";0,0611;-4e-04;-0,0043;2,0438;2,1566;2,3617;0,7479;0;0,2287;0,5593;0,2672;0,0799
"15";"AEE";0,0448;0,0096;0,1218;0,3206;0,2656;0,4918;0,268;0,0137;0,2625;0,0718;0,1708;0,4586
"16";"AEP";0,0329;0,0093;0,1169;0,2581;0,0025;0,1298;0,2206;0,0437;0,1896;0,0487;0,1737;0,5236
"17";"AET";0,1188;0,0114;0,1457;0,8849;1,0853;1,1506;0,4632;0;0,5486;0,2146;0,2167;0,2498
"18";"AFL";0,0089;-0,0011;-0,0127;1,3669;0,9853;1,6503;0,7526;0;0,0556;0,5664;0,1597;0,0813
"19";"AGN";0,1663;0,0173;0,2289;0,5634;0,3551;0,3303;0,3051;0,0048;0,7189;0,0931;0,2313;0,4765
"20";"AIG";0,0543;0,0015;0,0176;1,701;1,8371;2,1337;0,6552;0;0,2042;0,4293;0,2659;0,092
"21";"AKAM";0,0423;0,0093;0,1177;0,8764;0,8532;0,828;0,2928;0,0069;0,1157;0,0857;0,3657;0,1649
"22";"ALL";0,0597;0,0053;0,0651;0,9673;1,024;0,9051;0,7219;0;0,5044;0,5211;0,1185;0,1674
"23";"ALXN";0,1589;0,0155;0,2027;0,88;0,4793;1,3605;0,3761;4e-04;0,5731;0,1415;0,2772;0,2967
"24";"AMAT";0,0471;5e-04;0,0063;1,6665;1,3059;1,4821;0,7187;0;0,2114;0,5166;0,2227;0,0896
"25";"AME";0,0674;0,0045;0,0553;1,1942;1,3054;1,4572;0,711;0;0,4413;0,5055;0,1528;0,142
"26";"AMG";0,0103;-0,0038;-0,0449;1,8199;2,2932;1,9677;0,8247;0;0,0542;0,6802;0,1906;0,0618
"27";"AMGN";0,0584;0,0071;0,089;0,8124;0,5762;0,7098;0,4939;0;0,317;0,244;0,1841;0,1976
"28";"AMP";0,0814;0,002;0,0245;1,7118;1,6718;1,6087;0,8089;0;0,445;0,6543;0,183;0,1073
"29";"AMT";0,0476;0,0094;0,1187;0,3796;-0,1292;0,5786;0,303;0,0051;0,2769;0,0918;0,1718;0,3945
"30";"AMZN";0,1769;0,0141;0,1831;1,1205;1,1553;1,2289;0,499;0;0,7106;0,249;0,2489;0,249
"31";"ANDV";0,2028;0,0124;0,1588;1,8404;1,7877;1,6873;0,5914;0;0,6001;0,3497;0,3379;0,1657
"32";"APA";-0,1623;-0,0135;-0,1508;1,4762;2,0226;2,1483;0,5583;0;-0,5662;0,3116;0,2866;-0,0407
"33";"APC";-0,0841;-0,0096;-0,1088;1,903;2,4283;2,5517;0,6503;0;-0,2744;0,423;0,3063;0,0095
"34";"APD";0,0224;0,001;0,0117;1,1909;0,917;1,386;0,7571;0;0,1679;0,5733;0,1334;0,1046
"35";"APH";0,0752;0,0042;0,052;1,2789;1,5553;1,3075;0,7729;0;0,5424;0,5973;0,1387;0,1387
"36";"ATVI";0,0926;0,0097;0,1227;0,9047;0,315;0,9832;0,4415;0;0,3938;0,1949;0,2351;0,2153
"37";"AVB";0,0511;0,0076;0,0947;0,676;1,0146;0,5498;0,4374;0;0,2803;0,1914;0,1822;0,2267
"38";"AWK";0,1115;0,0154;0,2007;0,1918;-0,2251;-0,0181;0,1764;0,1085;0,6512;0,0311;0,1712;1,1141
"39";"AXP";0,0026;4e-04;0,0049;1,1172;1,5607;0,8234;0,6728;0;0,0167;0,4527;0,1575;0,0938
"40";"AZO";0,1562;0,0168;0,2207;0,393;0,0181;0,8382;0,3415;0,0015;0,9865;0,1166;0,1584;0,6575
"41";"BA";0,0836;0,0069;0,0865;1,0492;1,2652;0,9535;0,6286;0;0,5042;0,3951;0,1659;0,1771
"42";"BAC";-0,0444;-0,0043;-0,0506;1,5926;1,5913;1,0024;0,5809;0;-0,1507;0,3374;0,2948;0,0363
"43";"BAX";-0,0087;0,0027;0,0327;0,7223;0,8274;0,7001;0,4749;0;-0,0496;0,2255;0,1745;0,1295
"44";"BBBY";-0,0952;-0,0047;-0,0555;0,9012;0,9679;1,5287;0,4587;0;-0,4264;0,2104;0,2232;0,0078
"45";"BBT";0,0175;0,002;0,0247;1,0462;1,3879;0,7081;0,6443;0;0,1103;0,4151;0,1587;0,1144
"46";"BBY";-0,0673;-0,003;-0,0353;1,4678;1,5976;1,9651;0,4532;0;-0,1801;0,2054;0,3734;0,0238
"47";"BDX";0,0324;0,0038;0,0471;0,8756;1,0411;0,5891;0,7193;0;0,2965;0,5174;0,1091;0,1537
"48";"BEN";-0,0643;-0,0087;-0,0998;1,6403;1,8249;1,4741;0,8376;0;-0,4037;0,7015;0,1592;0,0231
"49";"BG";-0,0672;-0,0027;-0,0323;0,8909;0,7567;1,0731;0,4895;0;-0,3307;0,2396;0,2031;0,0393
"50";"BIIB";0,1664;0,0152;0,199;0,975;1,2047;1,6156;0,4019;2e-04;0,5866;0,1615;0,2836;0,2755
"51";"BK";-0,0058;-0,0011;-0,0134;1,257;1,7684;0,9019;0,691;0;-0,0342;0,4775;0,171;0,0766
"52";"BKE";-0,104;-0,0054;-0,0626;1,0646;1,3761;1,2974;0,421;1e-04;-0,3551;0,1773;0,2929;-0,0017
"53";"BLK";-0,0044;-0,0032;-0,0373;1,5244;1,5325;1,5885;0,7922;0;-0,0266;0,6276;0,1642;0,0642
"54";"BLL";0,0821;0,0075;0,0936;0,907;1,223;1,0387;0,6537;0;0,6102;0,4273;0,1346;0,2032
"55";"BMRN";0,1324;0,0129;0,1665;1,1611;1,3855;1,5244;0,4096;1e-04;0,4002;0,1678;0,3308;0,202
"56";"BMY";0,0607;0,0099;0,1254;0,5338;-0,0568;0,5375;0,3155;0,0035;0,2846;0,0996;0,2134;0,3052
"57";"BSX";0,0311;0,0048;0,059;0,9963;1,1788;1,04;0,4517;0;0,1237;0,204;0,2513;0,1338
"58";"BWA";0,0338;3e-04;0,0031;1,6863;1,9061;2,3598;0,6621;0;0,1307;0,4383;0,259;0,0807
"59";"BX";0,0601;-1e-04;-0,0013;1,8881;1,9103;1,9322;0,7807;0;0,2687;0,6095;0,2238;0,086
"60";"BXP";0,0164;0,0035;0,0431;0,8186;0,8173;0,8032;0,5758;0;0,1094;0,3315;0,1502;0,1449
"61";"C";-0,0167;-0,0048;-0,0561;1,7545;1,8274;1,521;0,741;0;-0,0742;0,5491;0,2247;0,0487
"62";"CA";-0,0257;-0,0023;-0,0268;1,1714;0,8892;1,5529;0,683;0;-0,1592;0,4664;0,1614;0,0653
"63";"CAG";0,0644;0,0105;0,1337;0,3891;0,7387;0,1321;0,3155;0,0035;0,3824;0,0996;0,1685;0,4282
"64";"CAH";0,0416;0,0069;0,0857;0,6273;0,3033;0,7936;0,48;0;0,2702;0,2304;0,1539;0,2292
"65";"CAT";-0,0042;-0,0033;-0,0391;1,6484;1,7613;2,1408;0,7241;0;-0,0194;0,5244;0,2169;0,0594
"66";"CBS";0,1508;0,0068;0,0853;1,755;1,8645;1,8798;0,7801;0;0,7397;0,6085;0,2039;0,1442
"67";"CCE";0,0905;0,0078;0,0983;0,9882;1,009;1,0744;0,6007;0;0,5392;0,3608;0,1679;0,195
"68";"CCI";0,0334;0,0085;0,1071;0,3475;0,2978;0,2694;0,2931;0,0068;0,1999;0,0859;0,167;0,3901
"69";"CCL";-6e-04;4e-04;0,005;1,1565;1,3204;1,9947;0,5959;0;-0,0029;0,3551;0,2;0,0879
"70";"CE";0,0422;2e-04;0,0024;1,7471;2,8013;1,8368;0,6932;0;0,1684;0,4806;0,2507;0,0827
"71";"CELG";0,1234;0,0098;0,1248;1,172;0,9249;1,0461;0,5406;0;0,5276;0,2923;0,2339;0,1925
"72";"CERN";0,0205;0,0055;0,0677;0,7215;0,8673;0,9616;0,4041;1e-04;0,097;0,1633;0,2115;0,1701
"73";"CF";0,0346;0,0049;0,0604;1,4474;1,7629;2,0805;0,4528;0;0,094;0,205;0,3684;0,0945
"74";"CHD";0,1036;0,0132;0,1707;0,3913;0,2215;0,2201;0,3263;0,0025;0,6307;0,1065;0,1643;0,5259
"75";"CHRW";-0,0486;0,0013;0,0155;0,5288;0,5519;0,7646;0,3437;0,0014;-0,2503;0,1181;0,194;0,1014
"76";"CHTR";0,2491;0,0199;0,2674;0,9044;1,4688;0,3216;0,4593;0;1,1137;0,2109;0,2236;0,3884
"77";"CI";0,1026;0,013;0,1671;0,5398;1,05;0,5259;0,3048;0,0048;0,4598;0,0929;0,2232;0,3795
"78";"CIT";-0,0353;-0,0039;-0,0453;1,3724;1,3359;1,3351;0,6775;0;-0,1803;0,4591;0,196;0,0487
"79";"CL";0,0046;0,0046;0,0564;0,5152;0,4107;0,4614;0,5321;0;0,0377;0,2832;0,1216;0,2072
"80";"CLR";0,0194;0,0031;0,0382;1,6067;2,214;1,6268;0,4826;0;0,0509;0,2329;0,3802;0,0756
"81";"CLX";0,0326;0,0079;0,0996;0,3783;0,2928;0,237;0,3716;5e-04;0,2258;0,1381;0,1444;0,3564
"82";"CMCSA";0,1651;0,0106;0,1353;1,2626;1,0208;1,2695;0,7596;0;1,1622;0,577;0,142;0,2117
"83";"CME";0,0578;0,0055;0,0675;1,0139;1,1024;1,0378;0,5896;0;0,3261;0,3476;0,1773;0,1578
"84";"CMG";0,1293;0,0178;0,2358;0,4609;0,6332;0,5633;0,1809;0,0996;0,3951;0,0327;0,3273;0,5022
"85";"CMI";0,0867;0,0048;0,0587;1,5319;1,3739;1,7433;0,6355;0;0,3509;0,4039;0,2471;0,1233
"86";"CNO";0,1111;0,0058;0,0723;1,5416;1,3878;1,6626;0,7028;0;0,5268;0,4939;0,2109;0,1384
"87";"CNP";0,0253;0,0071;0,0883;0,4569;0,3819;0,6544;0,3627;7e-04;0,1532;0,1316;0,1651;0,2791
"88";"CNX";-0,2343;-0,0175;-0,1911;1,658;2,1614;0,8224;0,4655;0;-0,57;0,2167;0,4112;-0,0797
