"","Ticker","Date","Year","Ra","Rf","Rm","Ra_Rf","Rm_Rf","Beta","AlphaJensen"
"12","A",2011-12-01,2011,-0.0709949792315667,0,0.0074,-0.0709949792315667,0.0074,1.68647380126535,-0.0834748853609303
"21","A",2012-12-01,2012,0.070343498345625,1e-04,0.0119,0.070243498345625,0.0118,1.68647380126535,0.0503431074906938
"26","A",2013-12-01,2013,0.0686064516832906,0,0.0281,0.0686064516832906,0.0281,1.68647380126535,0.0212165378677341
"46","A",2014-12-01,2014,-0.043027761230417,0,-6e-04,-0.043027761230417,-6e-04,1.68647380126535,-0.0420158769496578
"58","A",2015-12-01,2015,0.00249164098247295,1e-04,-0.0216,0.00239164098247295,-0.0217,1.68647380126535,0.0389881224699311
"68","A",2016-12-01,2016,0.0381864844949026,3e-04,0.0185,0.0378864844949026,0.0182,1.68647380126535,0.00719266131187317
"73","AAL",2011-12-01,2011,0.0715322080313003,0,0.0074,0.0715322080313003,0.0074,0.227458267244533,0.0698490168536908
"93","AAL",2012-12-01,2012,0.04623784700419,1e-04,0.0119,0.04613784700419,0.0118,0.227458267244533,0.0434538394507045
"101","AAL",2013-12-01,2013,0.0726772202006067,0,0.0281,0.0726772202006067,0.0281,0.227458267244533,0.0662856428910353
"113","AAL",2014-12-01,2014,0.0999266523358293,0,-6e-04,0.0999266523358293,-6e-04,0.227458267244533,0.100063127296176
"131","AAL",2015-12-01,2015,0.0260750014037183,1e-04,-0.0216,0.0259750014037183,-0.0217,0.227458267244533,0.0309108458029247
"140","AAL",2016-12-01,2016,0.00536885531308151,3e-04,0.0185,0.00506885531308151,0.0182,0.227458267244533,0.000929114849231009
"147","AAP",2011-12-01,2011,0.00677584490681254,0,0.0074,0.00677584490681254,0.0074,0.102998698767035,0.00601365453593648
"163","AAP",2012-12-01,2012,-0.0101733130119864,1e-04,0.0119,-0.0102733130119864,0.0118,0.102998698767035,-0.0114886976574374
"180","AAP",2013-12-01,2013,0.0919770162884498,0,0.0281,0.0919770162884498,0.0281,0.102998698767035,0.0890827528530962
"191","AAP",2014-12-01,2014,0.0800635885031415,0,-6e-04,0.0800635885031415,-6e-04,0.102998698767035,0.0801253877224017
"200","AAP",2015-12-01,2015,-0.0776619401798879,1e-04,-0.0216,-0.0777619401798879,-0.0217,0.102998698767035,-0.0755268684166432
"205","AAP",2016-12-01,2016,-0.00319972976766677,3e-04,0.0185,-0.00349972976766677,0.0182,0.102998698767035,-0.00537430608522681
"220","AAPL",2011-12-01,2011,0.057943452066685,0,0.0074,0.057943452066685,0.0074,1.03459371043211,0.0502874586094874
"237","AAPL",2012-12-01,2012,-0.0951274831818494,1e-04,0.0119,-0.0952274831818494,0.0118,1.03459371043211,-0.107435688964948
"251","AAPL",2013-12-01,2013,0.00886221349606508,0,0.0281,0.00886221349606508,0.0281,1.03459371043211,-0.0202098697670771
"262","AAPL",2014-12-01,2014,-0.0746060911429726,0,-6e-04,-0.0746060911429726,-6e-04,1.03459371043211,-0.0739853349167134
"266","AAPL",2015-12-01,2015,-0.116790321037508,1e-04,-0.0216,-0.116890321037508,-0.0217,1.03459371043211,-0.0944396375211309
"277","AAPL",2016-12-01,2016,0.0468408304410435,3e-04,0.0185,0.0465408304410435,0.0182,1.03459371043211,0.0277112249111791
"291","ABC",2011-12-01,2011,0.00107624398081787,0,0.0074,0.00107624398081787,0.0074,0.509764514744917,-0.00269601342829452
"312","ABC",2012-12-01,2012,0.0224833556383944,1e-04,0.0119,0.0223833556383944,0.0118,0.509764514744917,0.0163681343644043
"319","ABC",2013-12-01,2013,-0.00312405154338848,0,0.0281,-0.00312405154338848,0.0281,0.509764514744917,-0.0174484344077207
"334","ABC",2014-12-01,2014,-0.00982272148231559,0,-6e-04,-0.00982272148231559,-6e-04,0.509764514744917,-0.00951686277346864
"340","ABC",2015-12-01,2015,0.0501215916423345,1e-04,-0.0216,0.0500215916423345,-0.0217,0.509764514744917,0.0610834816122992
"349","ABC",2016-12-01,2016,0.00256117969774564,3e-04,0.0185,0.00226117969774564,0.0182,0.509764514744917,-0.00701653447061186
"366","ABT",2011-12-01,2011,0.0303326147461354,0,0.0074,0.0303326147461354,0.0074,0.504196902623928,0.0266015576667184
"379","ABT",2012-12-01,2012,0.00766281855777333,1e-04,0.0119,0.00756281855777333,0.0118,0.504196902623928,0.00161329510681097
"390","ABT",2013-12-01,2013,0.00365927679869691,0,0.0281,0.00365927679869691,0.0281,0.504196902623928,-0.0105086561650355
"399","ABT",2014-12-01,2014,0.011392999303787,0,-6e-04,0.011392999303787,-6e-04,0.504196902623928,0.0116955174453614
"417","ABT",2015-12-01,2015,-0.000222513691894054,1e-04,-0.0216,-0.000322513691894054,-0.0217,0.504196902623928,0.0106185590950452
"430","ABT",2016-12-01,2016,0.00889116218577912,3e-04,0.0185,0.00859116218577912,0.0182,0.504196902623928,-0.000585221441976373
"434","ACIW",2011-12-01,2011,-0.049056155317674,0,0.0074,-0.049056155317674,0.0074,0.796661915378,-0.0549514534914712
"455","ACIW",2012-12-01,2012,0.013364299981366,1e-04,0.0119,0.013264299981366,0.0118,0.796661915378,0.00386368937990559
"466","ACIW",2013-12-01,2013,0.00725700717865738,0,0.0281,0.00725700717865738,0.0281,0.796661915378,-0.0151291926434644
"474","ACIW",2014-12-01,2014,0.0363492304877848,0,-6e-04,0.0363492304877848,-6e-04,0.796661915378,0.0368272276370116
"486","ACIW",2015-12-01,2015,-0.0944602010026204,1e-04,-0.0216,-0.0945602010026204,-0.0217,0.796661915378,-0.0772726374389178
"504","ACIW",2016-12-01,2016,-0.0250285636778496,3e-04,0.0185,-0.0253285636778496,0.0182,0.796661915378,-0.0398278105377292
"515","ADBE",2011-12-01,2011,0.0305284975713305,0,0.0074,0.0305284975713305,0.0074,1.01521286789955,0.0230159223488739
"525","ADBE",2012-12-01,2012,0.0849867631675266,1e-04,0.0119,0.0848867631675266,0.0118,1.01521286789955,0.0729072513263119
"539","ADBE",2013-12-01,2013,0.0531584428185046,0,0.0281,0.0531584428185046,0.0281,1.01521286789955,0.0246309612305273
"551","ADBE",2014-12-01,2014,-0.0133900486730533,0,-6e-04,-0.0133900486730533,-6e-04,1.01521286789955,-0.0127809209523136
"556","ADBE",2015-12-01,2015,0.0267545945928666,1e-04,-0.0216,0.0266545945928666,-0.0217,1.01521286789955,0.0486847138262868
"574","ADBE",2016-12-01,2016,0.0013607992321723,3e-04,0.0185,0.0010607992321723,0.0182,1.01521286789955,-0.0174160749635995
"586","ADI",2011-12-01,2011,0.0260492431355899,0,0.0074,0.0260492431355899,0.0074,0.987527194616852,0.0187415418954252
"592","ADI",2012-12-01,2012,0.0427365089809674,1e-04,0.0119,0.0426365089809674,0.0118,0.987527194616852,0.0309836880844886
"607","ADI",2013-12-01,2013,0.0615620790200372,0,0.0281,0.0615620790200372,0.0281,0.987527194616852,0.0338125648513036
"617","ADI",2014-12-01,2014,0.0227012504854689,0,-6e-04,0.0227012504854689,-6e-04,0.987527194616852,0.023293766802239
