Date;RF;Mkt-RF;SMB;HML
01-07-26;    0.22;    2.96;   -2.30;   -2.87
01-08-26;    0.25;    2.64;   -1.40;    4.19
01-09-26;    0.23;    0.36;   -1.32;    0.01
01-10-26;    0.32;   -3.24;    0.04;    0.51
01-11-26;    0.31;    2.53;   -0.20;   -0.35
01-12-26;    0.28;    2.62;   -0.04;   -0.02
01-01-27;    0.25;   -0.06;   -0.56;    4.83
01-02-27;    0.26;    4.18;   -0.10;    3.17
01-03-27;    0.30;    0.13;   -1.60;   -2.67
01-04-27;    0.25;    0.46;    0.43;    0.60
01-05-27;    0.30;    5.44;    1.41;    4.93
01-06-27;    0.26;   -2.34;    0.47;   -1.53
01-07-27;    0.30;    7.26;   -3.23;   -1.16
01-08-27;    0.28;    1.97;   -0.72;   -3.69
01-09-27;    0.21;    4.76;   -3.57;   -0.71
01-10-27;    0.25;   -4.31;    2.13;   -4.33
01-11-27;    0.21;    6.58;    2.76;   -0.31
01-12-27;    0.22;    2.09;    0.93;   -1.06
01-01-28;    0.25;   -0.68;    4.25;   -0.72
01-02-28;    0.33;   -1.70;   -2.03;   -0.69
01-03-28;    0.29;    8.81;   -0.26;   -1.20
01-04-28;    0.22;    4.23;    3.82;    3.67
01-05-28;    0.32;    1.52;    2.98;   -3.46
01-06-28;    0.31;   -4.85;   -3.50;   -0.06
01-07-28;    0.32;    0.62;   -1.35;   -0.47
01-08-28;    0.32;    6.68;   -2.07;   -2.11
01-09-28;    0.27;    2.88;    2.18;    0.76
01-10-28;    0.41;    1.33;    2.27;   -2.26
01-11-28;    0.38;   11.81;   -1.81;    2.80
01-12-28;    0.06;    0.36;   -0.85;   -0.60
01-01-29;    0.34;    4.66;   -3.55;   -1.21
01-02-29;    0.36;   -0.34;   -0.39;    1.68
01-03-29;    0.34;   -0.89;   -4.78;    1.56
01-04-29;    0.36;    1.43;   -0.99;    0.61
01-05-29;    0.44;   -6.39;   -5.46;   -1.57
01-06-29;    0.52;    9.70;   -2.17;   -2.76
01-07-29;    0.33;    4.46;   -3.88;    2.66
01-08-29;    0.40;    8.18;   -9.52;    0.06
01-09-29;    0.35;   -5.47;    1.17;   -0.63
01-10-29;    0.46;  -20.12;   -4.08;    7.85
01-11-29;    0.37;  -12.74;   -1.91;    5.33
01-12-29;    0.37;    1.33;   -4.20;   -0.59
01-01-30;    0.14;    5.61;    3.58;   -1.01
