"";"Companies";"Year";"Ticker";"Date";"Ra";"Beta";"AlphaJensen";"ROA";"TobinsQ";"ROE";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore";"FirmSize";"Leverage";"NetMargin";"Industry"
"1";1;2012;"A";2012-12-01;0,070343498345625;1,68647380126535;0,0503431074906938;0,12;0,79;0,24;0,79;0,72;0,54;0,57;1;0;1;10,02;0,41;0,17;5
"2";1;2013;"A";2013-12-01;0,0686064516832906;1,68647380126535;0,0212165378677341;0,07;1,07;0,14;0,04;0,11;0;0,08;1;0;1;10,03;0,51;0,11;5
"3";1;2014;"A";2014-12-01;-0,043027761230417;1,68647380126535;-0,0420158769496578;0,05;1,03;0,09;0,06;0,11;0,01;0,09;1;0;1;10,03;0,52;0,07;5
"4";10;2012;"ADI";2012-12-01;0,0427365089809674;0,987527194616852;0,0309836880844886;0,03;1,48;0,07;0,55;0,48;0,59;0,3;0;1;1;9,75;0,34;0,02;7
"5";10;2013;"ADI";2013-12-01;0,0615620790200372;0,987527194616852;0,0338125648513036;0,03;1,77;0,07;0,08;0,08;0,07;0,04;0;1;1;9,8;0,27;0,01;7
"6";10;2014;"ADI";2014-12-01;0,0227012504854689;0,987527194616852;0,023293766802239;0,05;1,95;0,11;0,09;0,09;0,07;0,05;0;1;1;9,84;0,28;0,03;7
"7";100;2012;"CPB";2012-12-01;-0,0439457199272855;0,0657581712175833;-0,044821666347653;0,11;1,94;0,68;0,16;0,25;0,17;0,36;1;1;1;9,94;2,68;0,1;2
"8";100;2013;"CPB";2013-12-01;0,111076007692623;0,0657581712175833;0,109228203081409;0,04;2,19;0,31;0,04;0,06;0,01;0,06;1;1;1;9,96;1,67;0,05;2
"9";100;2014;"CPB";2014-12-01;-0,0286759807352727;0,0657581712175833;-0,0286365258325422;0,11;2;0,56;0,06;0,07;0,03;0,05;1;1;1;9,92;1,39;0,11;2
"10";101;2012;"CRM";2012-12-01;0,0640548467558983;0,361653698129476;0,0596873331179705;-0,06;4,7;-0,14;0,53;0,45;0;0;0;0;0;9,67;0,03;-0,01;7
"11";101;2013;"CRM";2013-12-01;0,057808767575085;0,361653698129476;0,0476462986576467;-0,02;4,29;-0,05;0,07;0,04;0;0;1;0;0;9,91;0,09;-0,09;7
