"";"Date";"Ticker";"AdjClose";"Volume";"CompoundedReturn";"Mkt.RF";"SMB";"HML";"RF";"Rm"
"1";2011-12-01;"DHR";23,519033;90922100;NA;0,74;-0,71;1,74;0;0,74
"2";2011-12-01;"ABC";33,835812;47960400;NA;0,74;-0,71;1,74;0;0,74
"3";2011-12-01;"ABT";22,443638;285213400;NA;0,74;-0,71;1,74;0;0,74
"4";2011-12-01;"DIS";33,954468;191766800;NA;0,74;-0,71;1,74;0;0,74
"5";2011-12-01;"DISCA";20,935104;61531700;NA;0,74;-0,71;1,74;0;0,74
"6";2011-12-01;"A";23,221741;81912600;NA;0,74;-0,71;1,74;0;0,74
"7";2011-12-01;"AAL";4,894522;150580600;NA;0,74;-0,71;1,74;0;0,74
"8";2011-12-01;"AAP";68,636986;14892300;NA;0,74;-0,71;1,74;0;0,74
"9";2011-12-01;"AAPL";39,166779;1576633100;NA;0,74;-0,71;1,74;0;0,74
"10";2011-12-01;"ABBV";NA;NA;NA;0,74;-0,71;1,74;0;0,74
"11";2011-12-01;"CSCO";14,875309;884361600;NA;0,74;-0,71;1,74;0;0,74
"12";2011-12-01;"CSX";18,35268;168444100;NA;0,74;-0,71;1,74;0;0,74
"13";2011-12-01;"CTL";22,479933;118295800;NA;0,74;-0,71;1,74;0;0,74
"14";2011-12-01;"CTSH";31,869795;96584200;NA;0,74;-0,71;1,74;0;0,74
"15";2011-12-01;"CTXS";48,35165;45171600;NA;0,74;-0,71;1,74;0;0,74
"16";2011-12-01;"CVS";36,604137;203641700;NA;0,74;-0,71;1,74;0;0,74
"17";2011-12-01;"CVX";83,919189;159952000;NA;0,74;-0,71;1,74;0;0,74
"18";2011-12-01;"CXO";93,75;15462700;NA;0,74;-0,71;1,74;0;0,74
"19";2011-12-01;"D";41,848164;51845000;NA;0,74;-0,71;1,74;0;0,74
"20";2011-12-01;"DAL";7,574876;232763800;NA;0,74;-0,71;1,74;0;0,74
"21";2011-12-01;"DD";1,8;17979454;NA;0,74;-0,71;1,74;0;0,74
"22";2011-12-01;"DE";66,043594;72194200;NA;0,74;-0,71;1,74;0;0,74
"23";2011-12-01;"DFS";21,500362;92671700;NA;0,74;-0,71;1,74;0;0,74
"24";2011-12-01;"DG";39,491535;68241300;NA;0,74;-0,71;1,74;0;0,74
"25";2011-12-01;"DGX";51,296139;17493900;NA;0,74;-0,71;1,74;0;0,74
"26";2011-12-01;"APD";65,819069;22744400;NA;0,74;-0,71;1,74;0;0,74
"27";2011-12-01;"APH";21,02923;51125000;NA;0,74;-0,71;1,74;0;0,74
"28";2011-12-01;"ATVI";11,527487;172911300;NA;0,74;-0,71;1,74;0;0,74
"29";2011-12-01;"AVB";106,846634;13609700;NA;0,74;-0,71;1,74;0;0,74
"30";2011-12-01;"AWK";27,413937;20463500;NA;0,74;-0,71;1,74;0;0,74
"31";2011-12-01;"AXP";42,950886;125137900;NA;0,74;-0,71;1,74;0;0,74
"32";2011-12-01;"AZO";324,970001;6731500;NA;0,74;-0,71;1,74;0;0,74
"33";2011-12-01;"BA";62,670357;116561100;NA;0,74;-0,71;1,74;0;0,74
"34";2011-12-01;"BAC";5,224885;4971016200;NA;0,74;-0,71;1,74;0;0,74
"35";2011-12-01;"BAX";21,466869;126453100;NA;0,74;-0,71;1,74;0;0,74
"36";2011-12-01;"BBBY";56,032734;51529000;NA;0,74;-0,71;1,74;0;0,74
"37";2011-12-01;"BBT";21,044952;93928900;NA;0,74;-0,71;1,74;0;0,74
"38";2011-12-01;"BBY";19,518875;163197500;NA;0,74;-0,71;1,74;0;0,74
"39";2011-12-01;"BCR";85,5;13721600;NA;0,74;-0,71;1,74;0;0,74
"40";2011-12-01;"BDX";66,172981;32644600;NA;0,74;-0,71;1,74;0;0,74
"41";2011-12-01;"BEN";27,694248;77111700;NA;0,74;-0,71;1,74;0;0,74
"42";2011-12-01;"BG";50,170334;20034400;NA;0,74;-0,71;1,74;0;0,74
"43";2011-12-01;"BHI";48,639999;127239913;NA;0,74;-0,71;1,74;0;0,74
"44";2011-12-01;"BIIB";110,050003;26723000;NA;0,74;-0,71;1,74;0;0,74
"45";2011-12-01;"BK";17,692245;153412800;NA;0,74;-0,71;1,74;0;0,74
"46";2011-12-01;"BKE";32,984779;9239200;NA;0,74;-0,71;1,74;0;0,74
"47";2011-12-01;"BLK";150,50618;11944000;NA;0,74;-0,71;1,74;0;0,74
"48";2011-12-01;"BLL";16,122055;41899000;NA;0,74;-0,71;1,74;0;0,74
"49";2011-12-01;"BMRN";34,380001;17330200;NA;0,74;-0,71;1,74;0;0,74
"50";2011-12-01;"BMY";29,163202;218546000;NA;0,74;-0,71;1,74;0;0,74
"51";2011-12-01;"BSX";5,34;374667500;NA;0,74;-0,71;1,74;0;0,74
"52";2011-12-01;"BWA";29,979536;107794400;NA;0,74;-0,71;1,74;0;0,74
"53";2011-12-01;"BX";9,507778;56484500;NA;0,74;-0,71;1,74;0;0,74
"54";2011-12-01;"BXP";86,007301;17187100;NA;0,74;-0,71;1,74;0;0,74
"55";2011-12-01;"C";25,442286;1083220500;NA;0,74;-0,71;1,74;0;0,74
"56";2011-12-01;"CA";16,303141;66218300;NA;0,74;-0,71;1,74;0;0,74
"57";2011-12-01;"CAG";16,406857;87655200;NA;0,74;-0,71;1,74;0;0,74
"58";2011-12-01;"CAH";34,91214;49129100;NA;0,74;-0,71;1,74;0;0,74
