"";"test";"2012";"2013";"2014";"2015";"2016"
"1";"A.open";27,610872;38,247498;42,689999;42,16;44,080002
"2";"A.high";29,856939;41,44492;42,73;42,48;46,919998
"3";"A.low";26,959942;37,596565;38,09;39,900002;42,919998
"4";"A.close";29,284693;40,90844;40,939999;41,810001;45,560001
"5";"A.adjclose";27,504326;38,98436;39,526688;40,784756;44,922375
"6";"A.volume";95458300;59294500;48770200;59276500;33903200
"7";"AAL.open";12,92;23,549999;49;41,470001;46,200001
"8";"AAL.high";13,75;27,200001;54,639999;46,490002;50,639999
"9";"AAL.low";11,97;21,450001;46,049999;40,700001;45,580002
"10";"AAL.close";13,5;25,25;53,630001;42,349998;46,689999
"11";"AAL.adjclose";13,032751;24,376074;52,035343;41,443844;46,201969
"12";"AAL.volume";113671300;326931400;315073000;170620100;122744400
"13";"AAP.open";73,510002;101,349998;146,410004;162,990005;169,179993
"14";"AAP.high";75,440002;111,940002;163,360001;164,25;177,830002
"15";"AAP.low";70,019997;100,940002;146,130005;144,729996;167,320007
"16";"AAP.close";72,349998;110,68;159,279999;150,509995;169,119995
"17";"AAP.adjclose";71,554276;109,796082;158,317001;149,823547;168,615555
"18";"AAP.volume";14020800;18661400;16622700;30715600;15382200
"19";"AAPL.open";84,807144;79,714287;118,809998;118,75;110,370003
"20";"AAPL.high";84,941429;82,162857;119,25;119,860001;118,019997
"21";"AAPL.low";71,604286;76,971428;106,260002;104,82;108,25
"22";"AAPL.close";76,024284;80,145714;110,379997;105,260002;115,82
"23";"AAPL.adjclose";54,796783;68,953743;104,064095;100,927902;113,524132
"24";"AAPL.volume";3033188200;1764349300;1073594600;921529700;608703400
"25";"ABBV.open";NA;48,490002;69,080002;58,23;60,830002
"26";"ABBV.high";NA;54,779999;70,760002;60,119999;63,330002
"27";"ABBV.low";NA;48,02;64,019997;53,240002;58,75
"28";"ABBV.close";NA;52,810001;65,440002;59,240002;62,619999
"29";"ABBV.adjclose";NA;45,21236;57,834881;54,075191;59,370216
"30";"ABBV.volume";NA;142934200;157630500;160409000;148136700
"31";"ABC.open";42,259998;70,790001;90,639999;98,839996;77,879997
"32";"ABC.high";44,02;71,379997;92,839996;105,809998;80,239998
"33";"ABC.low";42,02;67,739998;89,260002;98,029999;73,860001
"34";"ABC.close";43,18;70,309998;90,160004;103,709999;78,190002
"35";"ABC.adjclose";39,907948;65,988556;85,754784;99,806694;76,529495
"36";"ABC.volume";52711500;33235300;32680200;40724200;40253200
"37";"ABT.open";31,230183;38,240002;44,27;45,220001;38,119999
"38";"ABT.high";32,074631;38,57;46,5;46,220001;39,790001
"39";"ABT.low";30,711998;36,27;43,099998;43,57;37,380001
"40";"ABT.close";31,426901;38,330002;45,02;44,91;38,41
"41";"ABT.adjclose";27,965422;34,664993;41,626999;42,406155;37,18145
"42";"ABT.volume";297290900;119120400;110952900;119958800;177221400
"43";"ACIW.open";14,41;21,436666;19,190001;23,66;18,68
"44";"ACIW.high";14,746667;21,98;21,040001;23,690001;20,08
"45";"ACIW.low";14,1;20,41;18,24;20,450001;17,58
"46";"ACIW.close";14,563334;21,666666;20,17;21,4;19,84
"47";"ACIW.adjclose";14,563334;21,666666;20,17;21,4;19,84
"48";"ACIW.volume";12991800;17089200;13539800;10712000;13092600
"49";"ADBE.open";34,779999;56,740002;73,639999;92,010002;102,82
"50";"ADBE.high";38,25;61,09;77,559998;96,419998;107,800003
"51";"ADBE.low";34,57;53,93;69,660004;88,510002;98
"52";"ADBE.close";37,68;59,880001;72,699997;93,940002;102,949997
"53";"ADBE.adjclose";37,68;59,880001;72,699997;93,940002;102,949997
"54";"ADBE.volume";112566500;90737300;78385800;62772300;61757300
"55";"ADI.open";40,84;47,799999;54,48;62,09;73,559998
"56";"ADI.high";42,73;51,200001;57,990002;62,400002;74,82
"57";"ADI.low";40,220001;47,799999;54,189999;55,119999;68,419998
"58";"ADI.close";42,060001;50,93;55,52;55,32;72,620003
"59";"ADI.adjclose";36,30899;45,300064;50,812027;52,035072;70,684982
"60";"ADI.volume";49347700;38217400;53181600;55027500;48643800
"61";"ADM.open";26,780001;40,330002;52,66;36,799999;43,150002
"62";"ADM.high";28,120001;43,990002;53,91;37,169998;47,27
"63";"ADM.low";26,370001;40,150002;49,189999;33,84;43,150002
"64";"ADM.close";27,389999;43,400002;52;36,68;45,650002
"65";"ADM.adjclose";23,897198;38,688961;47,32729;34,217506;43,931957
"66";"ADM.volume";92799900;89316500;84018200;109896200;65695200
"67";"ADP.open";50,0439;70,193153;85,18;86,809998;95,989998
"68";"ADP.high";51,413521;71,597893;86,540001;87,970001;103,879997
"69";"ADP.low";49,157154;67,269531;82,040001;83,139999;94,989998
"70";"ADP.close";49,982441;70,939423;83,370003;84,720001;102,779999
"71";"ADP.adjclose";43,473995;63,616528;76,848557;79,968269;99,412926
"72";"ADP.volume";41147900;44986100;43030900;33765700;43423700
"73";"ADS.open";143,089996;240,770004;283,220001;287,380005;229,089996
"74";"ADS.high";148,410004;264,309998;292,959991;290,299988;241,690002
"75";"ADS.low";141,229996;238,059998;272,149994;265,079987;215,809998
"76";"ADS.close";144,759995;262,929993;286,049988;276,570007;228,5
"77";"ADS.adjclose";142,790329;259,352417;282,157867;272,806885;225,965622
"78";"ADS.volume";9619200;17784800;12591300;7273400;11036900
"79";"ADSK.open";33,349998;45,27;61,720001;63,580002;72,769997
"80";"ADSK.high";36,959999;50,5;61,970001;65,779999;83,080002
"81";"ADSK.low";32,77;44,950001;56,119999;59,48;68,059998
"82";"ADSK.close";35,349998;50,32;60,060001;60,93;74,010002
"83";"ADSK.adjclose";35,349998;50,32;60,060001;60,93;74,010002
"84";"ADSK.volume";48312000;50373600;31669700;39353400;62110500
"85";"AEE.open";30;35,93;42,860001;44;48,849998
"86";"AEE.high";31,379999;36,639999;48,139999;44,439999;52,880001
"87";"AEE.low";29,299999;34,709999;42,150002;41,330002;48,32
"88";"AEE.close";30,719999;36,16;46,130001;43,23;50,73
"89";"AEE.adjclose";24,771585;30,62495;40,716488;39,754208;48,361328
"90";"AEE.volume";48169600;34399900;34630800;41618000;30054700
"91";"AEP.open";42,650002;47,209999;57,310001;56,360001;58,82
"92";"AEP.high";44,099998;47,209999;63,220001;59,439999;63,529999
"93";"AEP.low";41,919998;45,240002;56,970001;54,080002;57,889999
"94";"AEP.close";42,68;46,740002;60,720001;58,27;62,959999
