Ticker;Variable;2012;2013;2014;2015;2016
A;open;27.610.872;38.247.498;42.689.999;42.16;44.080.002
A;high;29.856.939;4.144.492;42.73;42.48;46.919.998
A;low;26.959.942;37.596.565;38.09;39.900.002;42.919.998
A;close;29.284.693;4.090.844;40.939.999;41.810.001;45.560.001
A;adjclose;27.504.326;3.898.436;39.526.688;40.784.756;44.922.375
A;volume;95458300;59294500;48770200;59276500;33903200
AAL;open;12.92;23.549.999;49;41.470.001;46.200.001
AAL;high;13.75;27.200.001;54.639.999;46.490.002;50.639.999
AAL;low;11.97;21.450.001;46.049.999;40.700.001;45.580.002
AAL;close;13.5;25.25;53.630.001;42.349.998;46.689.999
AAL;adjclose;13.032.751;24.376.074;52.035.343;41.443.844;46.201.969
AAL;volume;113671300;326931400;315073000;170620100;122744400
AAP;open;73.510.002;101.349.998;146.410.004;162.990.005;169.179.993
AAP;high;75.440.002;111.940.002;163.360.001;164.25;177.830.002
AAP;low;70.019.997;100.940.002;146.130.005;144.729.996;167.320.007
AAP;close;72.349.998;110.68;159.279.999;150.509.995;169.119.995
AAP;adjclose;71.554.276;109.796.082;158.317.001;149.823.547;168.615.555
AAP;volume;14020800;18661400;16622700;30715600;15382200
AAPL;open;84.807.144;79.714.287;118.809.998;118.75;110.370.003
AAPL;high;84.941.429;82.162.857;119.25;119.860.001;118.019.997
AAPL;low;71.604.286;76.971.428;106.260.002;104.82;108.25
AAPL;close;76.024.284;80.145.714;110.379.997;105.260.002;115.82
AAPL;adjclose;54.796.783;68.953.743;104.064.095;100.927.902;113.524.132
AAPL;volume;3033188200;1764349300;1073594600;921529700;608703400
ABBV;open;NA;48.490.002;69.080.002;58.23;60.830.002
ABBV;high;NA;54.779.999;70.760.002;60.119.999;63.330.002
ABBV;low;NA;48.02;64.019.997;53.240.002;58.75
ABBV;close;NA;52.810.001;65.440.002;59.240.002;62.619.999
ABBV;adjclose;NA;4.521.236;57.834.881;54.075.191;59.370.216
ABBV;volume;NA;142934200;157630500;160409000;148136700
ABC;open;42.259.998;70.790.001;90.639.999;98.839.996;77.879.997
ABC;high;44.02;71.379.997;92.839.996;105.809.998;80.239.998
ABC;low;42.02;67.739.998;89.260.002;98.029.999;73.860.001
ABC;close;43.18;70.309.998;90.160.004;103.709.999;78.190.002
ABC;adjclose;39.907.948;65.988.556;85.754.784;99.806.694;76.529.495
ABC;volume;52711500;33235300;32680200;40724200;40253200
ABT;open;31.230.183;38.240.002;44.27;45.220.001;38.119.999
ABT;high;32.074.631;38.57;46.5;46.220.001;39.790.001
ABT;low;30.711.998;36.27;43.099.998;43.57;37.380.001
ABT;close;31.426.901;38.330.002;45.02;44.91;38.41
ABT;adjclose;27.965.422;34.664.993;41.626.999;42.406.155;3.718.145
ABT;volume;297290900;119120400;110952900;119958800;177221400
ACIW;open;14.41;21.436.666;19.190.001;23.66;18.68
ACIW;high;14.746.667;21.98;21.040.001;23.690.001;20.08
ACIW;low;14.1;20.41;18.24;20.450.001;17.58
ACIW;close;14.563.334;21.666.666;20.17;21.4;19.84
ACIW;adjclose;14.563.334;21.666.666;20.17;21.4;19.84
ACIW;volume;12991800;17089200;13539800;10712000;13092600
ADBE;open;34.779.999;56.740.002;73.639.999;92.010.002;102.82
ADBE;high;38.25;61.09;77.559.998;96.419.998;107.800.003
ADBE;low;34.57;53.93;69.660.004;88.510.002;98
ADBE;close;37.68;59.880.001;72.699.997;93.940.002;102.949.997
ADBE;adjclose;37.68;59.880.001;72.699.997;93.940.002;102.949.997
ADBE;volume;112566500;90737300;78385800;62772300;61757300
ADI;open;40.84;47.799.999;54.48;62.09;73.559.998
ADI;high;42.73;51.200.001;57.990.002;62.400.002;74.82
ADI;low;40.220.001;47.799.999;54.189.999;55.119.999;68.419.998
ADI;close;42.060.001;50.93;55.52;55.32;72.620.003
ADI;adjclose;3.630.899;45.300.064;50.812.027;52.035.072;70.684.982
ADI;volume;49347700;38217400;53181600;55027500;48643800
ADM;open;26.780.001;40.330.002;52.66;36.799.999;43.150.002
ADM;high;28.120.001;43.990.002;53.91;37.169.998;47.27
ADM;low;26.370.001;40.150.002;49.189.999;33.84;43.150.002
ADM;close;27.389.999;43.400.002;52;36.68;45.650.002
ADM;adjclose;23.897.198;38.688.961;4.732.729;34.217.506;43.931.957
ADM;volume;92799900;89316500;84018200;109896200;65695200
ADP;open;500.439;70.193.153;85.18;86.809.998;95.989.998
ADP;high;51.413.521;71.597.893;86.540.001;87.970.001;103.879.997
ADP;low;49.157.154;67.269.531;82.040.001;83.139.999;94.989.998
ADP;close;49.982.441;70.939.423;83.370.003;84.720.001;102.779.999
ADP;adjclose;43.473.995;63.616.528;76.848.557;79.968.269;99.412.926
ADP;volume;41147900;44986100;43030900;33765700;43423700
ADS;open;143.089.996;240.770.004;283.220.001;287.380.005;229.089.996
ADS;high;148.410.004;264.309.998;292.959.991;290.299.988;241.690.002
ADS;low;141.229.996;238.059.998;272.149.994;265.079.987;215.809.998
ADS;close;144.759.995;262.929.993;286.049.988;276.570.007;228.5
ADS;adjclose;142.790.329;259.352.417;282.157.867;272.806.885;225.965.622
ADS;volume;9619200;17784800;12591300;7273400;11036900
ADSK;open;33.349.998;45.27;61.720.001;63.580.002;72.769.997
ADSK;high;36.959.999;50.5;61.970.001;65.779.999;83.080.002
ADSK;low;32.77;44.950.001;56.119.999;59.48;68.059.998
ADSK;close;35.349.998;50.32;60.060.001;60.93;74.010.002
ADSK;adjclose;35.349.998;50.32;60.060.001;60.93;74.010.002
ADSK;volume;48312000;50373600;31669700;39353400;62110500
AEE;open;30;35.93;42.860.001;44;48.849.998
AEE;high;31.379.999;36.639.999;48.139.999;44.439.999;52.880.001
AEE;low;29.299.999;34.709.999;42.150.002;41.330.002;48.32
AEE;close;30.719.999;36.16;46.130.001;43.23;50.73
AEE;adjclose;24.771.585;3.062.495;40.716.488;39.754.208;48.361.328
AEE;volume;48169600;34399900;34630800;41618000;30054700
AEP;open;42.650.002;47.209.999;57.310.001;56.360.001;58.82
AEP;high;44.099.998;47.209.999;63.220.001;59.439.999;63.529.999
AEP;low;41.919.998;45.240.002;56.970.001;54.080.002;57.889.999
AEP;close;42.68;46.740.002;60.720.001;58.27;62.959.999
AEP;adjclose;35.037.506;40.005.531;5.402.644;53.822.937;60.241.238
AEP;volume;46910800;61250000;54074700;68639000;50703300
AET;open;43.470.001;68.970.001;87.699.997;103.160.004;130.779.999
AET;high;47.060.001;69.470.001;91.870.003;110.900.002;136.5
AET;low;42.950.001;64.720.001;85.620.003;101.419.998;120.860.001
AET;close;46.310.001;68.589.996;88.830.002;108.120.003;124.010.002
AET;adjclose;43.492.809;6.534.201;85.640.419;105.240.677;121.801.163
AET;volume;71316800;56493400;44070700;64820200;55671200
AFL;open;26.59;33.174.999;29.790.001;32.740.002;35.759.998
AFL;high;27.465;33.810.001;31.23;33.264.999;70.150.002
AFL;low;25.93;32.564.999;28.525;29.045;33.75
AFL;close;26.559.999;33.400.002;30.545;29.950.001;69.059.998
AFL;adjclose;20.553.297;27.162.111;26.105.267;26.914.371;65.214.424
AFL;volume;100851800;79074000;90667800;92824200;108998800
AGN;open;88.470.001;163.460.007;269.339.996;314.119.995;194.300.003
AGN;high;91.470.001;170.509.995;269.339.996;322.679.993;212.449.997
AGN;low;84.599.998;156.399.994;252.020.004;299.619.995;184.75
AGN;close;86;168;257.410.004;312.5;210.009.995
AGN;adjclose;84.272.499;16.490.036;252.891.434;307.125.183;206.397.964
AGN;volume;16832000;24989100;51191100;62517100;95644700
AIG;open;33.34;49.77;54.560.001;63.889.999;63.66
AIG;high;35.82;51.470.001;56.790.001;64.309.998;67.029.999
AIG;low;33.080.002;48.029.999;52.849.998;57.939.999;63.599.998
AIG;close;35.299.999;51.049.999;56.009.998;61.970.001;65.309.998
AIG;adjclose;3.272.924;4.742.865;52.506.969;58.761.581;63.288.357
AIG;volume;730436800;186802600;155006400;197248900;110659900
AKAM;open;36.73;44.709.999;64.160.004;57.619.999;66.480.003
AKAM;high;41.880.001;47.970.001;65.209.999;58.509.998;69.260.002
AKAM;low;35.02;43.740.002;59.860.001;50.560.001;62.830.002
AKAM;close;40.91;47.18;62.959.999;52.630.001;64.940.002
AKAM;adjclose;40.91;47.18;62.959.999;52.630.001;64.940.002
AKAM;volume;56570900;48052400;28007400;45119500;31609000
ALL;open;40.52;54.279.999;68.07;63.34;69.949.997
ALL;high;41.91;54.599.998;71.529.999;64.690.002;74.769.997
