"";"Ticker";"Year";"Close";"Volume"
"1";"A";"2012";29,28;95458300
"2";"A";"2013";40,91;59294500
"3";"A";"2014";40,94;48770200
"4";"A";"2015";41,81;59276500
"5";"A";"2016";45,56;33903200
"6";"AAL";"2012";13,5;113671300
"7";"AAL";"2013";25,25;326931400
"8";"AAL";"2014";53,63;315073000
"9";"AAL";"2015";42,35;170620100
"10";"AAL";"2016";46,69;122744400
"11";"AAP";"2012";72,35;14020800
"12";"AAP";"2013";110,68;18661400
"13";"AAP";"2014";159,28;16622700
"14";"AAP";"2015";150,51;30715600
"15";"AAP";"2016";169,12;15382200
"16";"AAPL";"2012";76,02;3033188200
"17";"AAPL";"2013";80,15;1764349300
"18";"AAPL";"2014";110,38;1073594600
"19";"AAPL";"2015";105,26;921529700
"20";"AAPL";"2016";115,82;608703400
"21";"ABBV";"2012";NA;NA
"22";"ABBV";"2013";52,81;142934200
"23";"ABBV";"2014";65,44;157630500
"24";"ABBV";"2015";59,24;160409000
"25";"ABBV";"2016";62,62;148136700
"26";"ABC";"2012";43,18;52711500
"27";"ABC";"2013";70,31;33235300
"28";"ABC";"2014";90,16;32680200
"29";"ABC";"2015";103,71;40724200
"30";"ABC";"2016";78,19;40253200
"31";"ABT";"2012";31,43;297290900
"32";"ABT";"2013";38,33;119120400
"33";"ABT";"2014";45,02;110952900
"34";"ABT";"2015";44,91;119958800
"35";"ABT";"2016";38,41;177221400
"36";"ACIW";"2012";14,56;12991800
"37";"ACIW";"2013";21,67;17089200
"38";"ACIW";"2014";20,17;13539800
"39";"ACIW";"2015";21,4;10712000
"40";"ACIW";"2016";19,84;13092600
"41";"ADBE";"2012";37,68;112566500
"42";"ADBE";"2013";59,88;90737300
"43";"ADBE";"2014";72,7;78385800
"44";"ADBE";"2015";93,94;62772300
"45";"ADBE";"2016";102,95;61757300
"46";"ADI";"2012";42,06;49347700
"47";"ADI";"2013";50,93;38217400
"48";"ADI";"2014";55,52;53181600
"49";"ADI";"2015";55,32;55027500
"50";"ADI";"2016";72,62;48643800
"51";"ADM";"2012";27,39;92799900
"52";"ADM";"2013";43,4;89316500
"53";"ADM";"2014";52;84018200
"54";"ADM";"2015";36,68;109896200
"55";"ADM";"2016";45,65;65695200
"56";"ADP";"2012";49,98;41147900
"57";"ADP";"2013";70,94;44986100
"58";"ADP";"2014";83,37;43030900
"59";"ADP";"2015";84,72;33765700
"60";"ADP";"2016";102,78;43423700
"61";"ADS";"2012";144,76;9619200
"62";"ADS";"2013";262,93;17784800
"63";"ADS";"2014";286,05;12591300
"64";"ADS";"2015";276,57;7273400
"65";"ADS";"2016";228,5;11036900
"66";"ADSK";"2012";35,35;48312000
"67";"ADSK";"2013";50,32;50373600
"68";"ADSK";"2014";60,06;31669700
"69";"ADSK";"2015";60,93;39353400
"70";"ADSK";"2016";74,01;62110500
"71";"AEE";"2012";30,72;48169600
"72";"AEE";"2013";36,16;34399900
"73";"AEE";"2014";46,13;34630800
"74";"AEE";"2015";43,23;41618000
"75";"AEE";"2016";50,73;30054700
"76";"AEP";"2012";42,68;46910800
"77";"AEP";"2013";46,74;61250000
"78";"AEP";"2014";60,72;54074700
"79";"AEP";"2015";58,27;68639000
"80";"AEP";"2016";62,96;50703300
"81";"AET";"2012";46,31;71316800
"82";"AET";"2013";68,59;56493400
"83";"AET";"2014";88,83;44070700
"84";"AET";"2015";108,12;64820200
"85";"AET";"2016";124,01;55671200
"86";"AFL";"2012";26,56;100851800
"87";"AFL";"2013";33,4;79074000
"88";"AFL";"2014";30,55;90667800
"89";"AFL";"2015";29,95;92824200
"90";"AFL";"2016";69,06;108998800
"91";"AGN";"2012";86;16832000
"92";"AGN";"2013";168;24989100
"93";"AGN";"2014";257,41;51191100
"94";"AGN";"2015";312,5;62517100
"95";"AGN";"2016";210,01;95644700
"96";"AIG";"2012";35,3;730436800
"97";"AIG";"2013";51,05;186802600
"98";"AIG";"2014";56,01;155006400
"99";"AIG";"2015";61,97;197248900
"100";"AIG";"2016";65,31;110659900
"101";"AKAM";"2012";40,91;56570900
"102";"AKAM";"2013";47,18;48052400
"103";"AKAM";"2014";62,96;28007400
"104";"AKAM";"2015";52,63;45119500
"105";"AKAM";"2016";64,94;31609000
"106";"ALL";"2012";40,17;64590900
"107";"ALL";"2013";54,54;46420600
"108";"ALL";"2014";70,25;49377200
"109";"ALL";"2015";62,09;55500000
"110";"ALL";"2016";74,12;40550700
"111";"ALXN";"2012";93,74;23005500
"112";"ALXN";"2013";132,88;22257700
"113";"ALXN";"2014";185,03;26626500
"114";"ALXN";"2015";190,75;29161800
"115";"ALXN";"2016";122,35;75671600
"116";"AMAT";"2012";11,44;218798000
"117";"AMAT";"2013";17,68;220091800
"118";"AMAT";"2014";24,92;277428700
"119";"AMAT";"2015";18,67;284361000
"120";"AMAT";"2016";32,27;205512400
"121";"AME";"2012";37,57;18557600
"122";"AME";"2013";52,67;19391600
"123";"AME";"2014";52,63;25169900
"124";"AME";"2015";53,59;33261500
"125";"AME";"2016";48,6;43425400
"126";"AMG";"2012";130,15;5435300
"127";"AMG";"2013";216,88;6015200
"128";"AMG";"2014";212,24;9124000
"129";"AMG";"2015";159,76;14603900
"130";"AMG";"2016";145,3;12084900
"131";"AMGN";"2012";86,2;73217900
"132";"AMGN";"2013";114,08;58493700
"133";"AMGN";"2014";159,29;77006400
"134";"AMGN";"2015";162,33;67351500
"135";"AMGN";"2016";146,21;70524400
"136";"AMP";"2012";62,63;25280800
"137";"AMP";"2013";115,05;20532300
"138";"AMP";"2014";132,25;18858500
"139";"AMP";"2015";106,42;23943300
"140";"AMP";"2016";110,94;22010500
"141";"AMT";"2012";77,27;37772300
"142";"AMT";"2013";79,82;43255800
"143";"AMT";"2014";98,85;42336200
"144";"AMT";"2015";96,95;42755600
"145";"AMT";"2016";105,68;53513800
"146";"AMZN";"2012";250,87;60871200
"147";"AMZN";"2013";398,79;55686700
"148";"AMZN";"2014";310,35;86821400
"149";"AMZN";"2015";675,89;90162400
"150";"AMZN";"2016";768,66;79279600
"151";"ANDV";"2012";44,05;57922000
"152";"ANDV";"2013";58,5;73883300
"153";"ANDV";"2014";74,35;66484900
"154";"ANDV";"2015";105,37;41823100
"155";"ANDV";"2016";87,45;44169800
"156";"APA";"2012";78,5;60628200
"157";"APA";"2013";85,94;49345900
"158";"APA";"2014";62,67;134819800
"159";"APA";"2015";44,47;102913900
"160";"APA";"2016";63,47;58060300
"161";"APC";"2012";74,31;59187500
"162";"APC";"2013";79,32;129986800
"163";"APC";"2014";82,5;158177800
"164";"APC";"2015";48,58;173565500
"165";"APC";"2016";70,47;94104400
"166";"APD";"2012";77,72;20374700
"167";"APD";"2013";103,4;20829000
"168";"APD";"2014";133,42;26207400
"169";"APD";"2015";120,36;36283100
"170";"APD";"2016";149,55;23297500
"171";"APH";"2012";32,35;18134000
"172";"APH";"2013";44,59;18720600
"173";"APH";"2014";53,81;26002200
"174";"APH";"2015";52,23;21500100
"175";"APH";"2016";67,2;24328400
"176";"ATVI";"2012";10,62;150327800
"177";"ATVI";"2013";17,83;130316300
"178";"ATVI";"2014";20,15;135443300
"179";"ATVI";"2015";38,71;135521700
"180";"ATVI";"2016";36,79;158530800
"181";"AVB";"2012";135,59;22646700
"182";"AVB";"2013";118,23;17698600
"183";"AVB";"2014";163,39;16004400
"184";"AVB";"2015";184,13;19473600
"185";"AVB";"2016";177,15;16537200
"186";"AWK";"2012";37,13;18257000
"187";"AWK";"2013";42,26;17889000
"188";"AWK";"2014";53,3;16915000
"189";"AWK";"2015";59,75;21039800
"190";"AWK";"2016";72,36;20945000
"191";"AXP";"2012";57,48;103366200
"192";"AXP";"2013";90,73;67589400
"193";"AXP";"2014";93,04;81719400
"194";"AXP";"2015";69,55;124047200
"195";"AXP";"2016";74,08;75158800
"196";"AZO";"2012";354,43;11548100
"197";"AZO";"2013";477,94;6160800
"198";"AZO";"2014";619,11;6487800
"199";"AZO";"2015";741,91;6108900
"200";"AZO";"2016";789,79;6036500
"201";"BA";"2012";75,36;90048100
"202";"BA";"2013";136,49;78680000
"203";"BA";"2014";129,98;96842100
"204";"BA";"2015";144,59;79585600
"205";"BA";"2016";155,68;62860400
"206";"BAC";"2012";11,61;3505653600
"207";"BAC";"2013";15,57;1661429900
"208";"BAC";"2014";17,89;1712060700
"209";"BAC";"2015";16,83;1768999200
"210";"BAC";"2016";23,09;2752975300
"211";"BAX";"2012";36,21;90204300
"212";"BAX";"2013";37,78;126749000
"213";"BAX";"2014";39,81;91778100
"214";"BAX";"2015";38,15;79018500
"215";"BAX";"2016";44,34;75504200
"216";"BBBY";"2012";55,91;67561600
"217";"BBBY";"2013";80,3;29084000
"218";"BBBY";"2014";76,17;46652600
"219";"BBBY";"2015";48,25;55959700
"220";"BBBY";"2016";48,08;78071300
"221";"BBT";"2012";29,11;81071900
"222";"BBT";"2013";37,32;83833100
"223";"BBT";"2014";38,89;74941900
"224";"BBT";"2015";37,81;93918900
"225";"BBT";"2016";47,02;88719100
"226";"BBY";"2012";11,85;216660800
"227";"BBY";"2013";39,88;93760000
"228";"BBY";"2014";38,98;123456900
"229";"BBY";"2015";30,45;95441400
"230";"BBY";"2016";42,67;105150200
"231";"BDX";"2012";78,19;18933200
"232";"BDX";"2013";110,49;16256700
"233";"BDX";"2014";139,16;24178800
"234";"BDX";"2015";154,09;23626100
"235";"BDX";"2016";165,55;20080600
"236";"BEN";"2012";41,9;39876300
"237";"BEN";"2013";57,73;45517900
"238";"BEN";"2014";55,37;37648200
"239";"BEN";"2015";36,82;91893800
"240";"BEN";"2016";39,58;52007800
"241";"BG";"2012";72,69;14358500
"242";"BG";"2013";82,11;14759100
"243";"BG";"2014";90,91;21379200
"244";"BG";"2015";68,28;25706500
"245";"BG";"2016";72,24;18249200
"246";"BIIB";"2012";146,37;17674000
"247";"BIIB";"2013";279,57;23680600
"248";"BIIB";"2014";339,45;44112900
"249";"BIIB";"2015";306,35;33025200
"250";"BIIB";"2016";287,77;52475300
"251";"BK";"2012";25,7;125876700
"252";"BK";"2013";34,94;76651200
"253";"BK";"2014";40,57;97837200
"254";"BK";"2015";41,22;148339400
"255";"BK";"2016";47,38;121666800
"256";"BKE";"2012";43,59;8064500
"257";"BKE";"2013";51,32;5432700
"258";"BKE";"2014";52,52;5705000
"259";"BKE";"2015";30,78;9697900
"260";"BKE";"2016";22,8;10045000
"261";"BLK";"2012";206,71;12960500
"262";"BLK";"2013";316,47;12110500
"263";"BLK";"2014";357,56;11055900
"264";"BLK";"2015";340,52;17650600
"265";"BLK";"2016";380,54;15647000
"266";"BLL";"2012";22,38;38906400
"267";"BLL";"2013";25,83;29929600
"268";"BLL";"2014";34,08;40316800
"269";"BLL";"2015";36,37;50136800
"270";"BLL";"2016";76,84;26917500
"271";"BMRN";"2012";49,2;16661700
"272";"BMRN";"2013";70,35;17185500
"273";"BMRN";"2014";90,4;25875000
"274";"BMRN";"2015";104,76;24071100
"275";"BMRN";"2016";82,84;25998400
"276";"BMY";"2012";32,59;169576100
"277";"BMY";"2013";53,15;131146400
"278";"BMY";"2014";59,03;130195700
"279";"BMY";"2015";68,79;112861600
"280";"BMY";"2016";57,04;189353200
"281";"BSX";"2012";5,73;230346400
"282";"BSX";"2013";12,02;224925600
"283";"BSX";"2014";13,25;236225600
"284";"BSX";"2015";18,44;166756800
"285";"BSX";"2016";21,63;158369000
"286";"BWA";"2012";35,81;46968400
"287";"BWA";"2013";55,91;27460900
"288";"BWA";"2014";54,95;36961100
"289";"BWA";"2015";43,23;34214800
"290";"BWA";"2016";41,86;62482500
"291";"BX";"2012";15,59;56227300
"292";"BX";"2013";31,5;82435100
