"","Ticker","Companies","GisSector","GicsClassification","FichierSTCKP","CompanyGR2014","CompanyGR2015","CompanyGR2016","Year","Date","Shares","Shares.split.adjusted","Split.factor","Assets","Current.Assets","Liabilities","Current.Liabilities","Shareholders.equity","Non.controlling.interest","Preferred.equity","Goodwill...intangibles","Long.term.debt","Revenue","Earnings","Earnings.available.for.common.stockholders","EPS.basic","EPS.diluted","Dividend.per.share","Cash.from.operating.activities","Cash.from.investing.activities","Cash.from.financing.activities","Cash.change.during.period","Cash.at.end.of.period","Capital.expenditures","Price","Price.high","Price.low","ROE","ROA","Book.value.of.equity.per.share","P.B.ratio","P.E.ratio","Cumulative.dividends.per.share","Dividend.payout.ratio","Long.term.debt.to.equity.ratio","Equity.to.assets.ratio","Net.margin","Asset.turnover","Free.cash.flow.per.share","Current.ratio"
"15","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2014","2014-12-31",696649850,696649850,1,"4.3771e+10","1.2112e+10","4.175e+10","1.3435e+10","2.021e+09",0,0,6.331e+09,1.6196e+10,"10161000000","596000000","596000000","0.85","0.83",0.1,"804000000","-786000000","-202000000","-184000000","994000000",1.296e+09,"41.11","53.63","28.58","0.9952","0.0653","2.9","5.93","None",537.43,"0.0491","8.0139","0.0462","0.0676","0.97","-0.71","0.9015"
"16","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2017","2017-12-31",473138683,473138683,1,"5.1396e+10","9.146e+09","4.747e+10","1.4964e+10","3.926e+09",0,0,6.294e+09,2.2511e+10,"10600000000","258000000","258000000","0.54","0.54",0.1,"437000000","-557000000","75000000","-45000000","295000000",1.408e+09,"49.51","53.74","45.27","0.5102","0.0366","8.3","6","12.63",538.63,"0.1006","5.7338","0.0764","0.0455","0.8","-2.05","0.6112"
"17","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2016","2016-12-31",504154397,504154397,1,"5.1274e+10","1.0324e+10","4.7489e+10","1.3872e+10","3.785e+09",0,0,6.264e+09,2.2489e+10,"9788000000","289000000","289000000","0.57","0.55",0.1,"627000000","-1056000000","370000000","-59000000","322000000",1.395e+09,"43.48","50.64","36.33","0.6224","0.0526","7.51","5.13","4.67",538.23,"0.0796","5.9416","0.0738","0.0666","0.79","-1.52","0.7442"
"18","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2015","2015-12-31",603018015,603018015,1,"4.8415e+10","9.985e+09","4.278e+10","1.3605e+10","5.635e+09",0,0,6.34e+09,1.833e+10,"9630000000","3281000000","3281000000","5.24","5.09",0.1,"228000000","438000000","-1292000000","-626000000","390000000",1.518e+09,"42.26","47.09","37.42","None","0.1587","9.34","7.08","6.01",537.83,"0.0341","3.2529","0.1164","0.1857","0.86","-2.14","0.7339"
"20","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2013","2013-12-31",471517102,471517102,1,"4.2278e+10","1.4323e+10","4.5009e+10","1.3806e+10","-2.731e+09",0,3.833e+09,6.44e+09,1.5353e+10,"7368000000","-2002000000","-2002000000","-3.42","-3.42",0,"-1128000000","1278000000","273000000","423000000","1140000000",6.13e+08,"25.61","26.61","24.6","None","-0.0616","-13.92","None","1.53",537.23,"None","None","None","None","0.9","-3.69","1.0374"
"21","AAL",2,"Industrials",6,"AMR_quarterly_financial_data.xls","american airlines group","american airlines group inc","american airlines group inc","2012","2012-12-31",335271557,22295558,0.0665,"2.351e+10","7.072e+09","3.1497e+10","9.304e+09","-7.987e+09",0,0,1.61e+08,7.116e+09,"5937000000","263000000","263000000","0.78","0.78",0,"-288000000","-367000000","627000000","-28000000","480000000",6.7e+08,"None","None","None","None","-0.0776","-358.23","None","None",537.23,"None","None","None","None","1.03","-42.97","0.7601"
"26","AAP",3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc","2016","2016-12-31",73761599,73761599,1,"8315033000","5172764000","5398841000","3676046000","2916192000",0,0,1631780000,1042949000,"2082891000","62365000","62365000","0.83","0.85",0.06,"91457000","-56642000","-18388000","15684000","135178000",67652000,"155.96","177.83","134.08","0.1649","0.0547","39.54","4.02","25.61",2.64,"0.0385","0.3576","0.3507","0.048","1.14","0.32","1.4072"
"28","AAP",3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc","2013","2013-12-28",72926574,72926574,1,"5564774000","3989384000","4048569000","2764785000","1516205000",0,0,249707000,1052668000,"1408813000","49267000","49267000","0.68","0.66",0.06,"146783000","-44727000","443114000","545170000","1112471000",88580000,"96.11","111.94","80.28","0.2787","0.0779","20.79","4.77","17.35",1.92,"0.0447","0.6943","0.2725","0.0603","1.29","0.8","1.4429"
"29","AAP",3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc","2012","2012-12-29",73655224,73655224,1,"4613814000","3184200000","3403120000","2559638000","1210694000",0,0,105234000,604461000,"1329201000","65055000","65055000","0.88","0.88",0.06,"180499000","-66784000","5013000","118728000","598111000",74873000,"74.18","84","64.36","0.3528","0.0902","16.44","4.74","14.21",1.68,"0.0455","0.4993","0.2624","0.0625","1.44","1.43","1.244"
"30","AAP",3,"Consumer Discretionary",1,"AAP_quarterly_financial_data.xls","advance auto parts","advance auto parts inc","advance auto parts inc","2017","2017-12-30",73978120,73978120,1,"8482301000","5426892000","5067105000","3480097000","3415196000",0,0,1591967000,1044327000,"2036986000","184500000","184500000","2.5","2.49",0.06,"199800000","-23819000","7027000","183635000","546937000",35045000,"93.3","107.79","78.81","0.1486","0.0562","46.16","2.13","19.52",2.88,"0.0373","0.3058","0.4026","0.0507","1.11","2.23","1.5594"
