"","symbol","section","sub.section","group","date","Cap Ex as a % of Sales","Free Cash Flow Growth % YOY","Free Cash Flow/Net Income","Free Cash Flow/Sales %","Operating Cash Flow Growth % YOY"
"1","A","Cash Flow","Cash Flow Ratios",49,2008-10-01,NA,NA,NA,NA,-21.98
"2","A","Cash Flow","Cash Flow Ratios",49,2009-10-01,NA,NA,NA,NA,-46.03
"3","A","Cash Flow","Cash Flow Ratios",49,2010-10-01,NA,NA,NA,NA,75.98
"4","A","Cash Flow","Cash Flow Ratios",49,2011-10-01,NA,NA,NA,NA,75.49
"5","A","Cash Flow","Cash Flow Ratios",49,2012-10-01,NA,NA,NA,NA,-2.54
"6","A","Cash Flow","Cash Flow Ratios",49,2013-10-01,NA,NA,NA,NA,-6.19
"7","A","Cash Flow","Cash Flow Ratios",49,2014-10-01,NA,NA,NA,NA,-38.28
"8","A","Cash Flow","Cash Flow Ratios",49,2015-10-01,NA,NA,NA,NA,-30.94
"9","A","Cash Flow","Cash Flow Ratios",49,2016-10-01,NA,NA,NA,NA,61.51
"10","A","Cash Flow","Cash Flow Ratios",49,2017-10-01,NA,NA,NA,NA,12.11
"11","A","Cash Flow","Cash Flow Ratios",50,2008-10-01,NA,-26.14,NA,NA,NA
"12","A","Cash Flow","Cash Flow Ratios",50,2009-10-01,NA,-53.49,NA,NA,NA
"13","A","Cash Flow","Cash Flow Ratios",50,2010-10-01,NA,113.21,NA,NA,NA
"14","A","Cash Flow","Cash Flow Ratios",50,2011-10-01,NA,79.56,NA,NA,NA
"15","A","Cash Flow","Cash Flow Ratios",50,2012-10-01,NA,-3.54,NA,NA,NA
"16","A","Cash Flow","Cash Flow Ratios",50,2013-10-01,NA,-7.45,NA,NA,NA
"17","A","Cash Flow","Cash Flow Ratios",50,2014-10-01,NA,-47.13,NA,NA,NA
"18","A","Cash Flow","Cash Flow Ratios",50,2015-10-01,NA,-22.33,NA,NA,NA
"19","A","Cash Flow","Cash Flow Ratios",50,2016-10-01,NA,66.41,NA,NA,NA
"20","A","Cash Flow","Cash Flow Ratios",50,2017-10-01,NA,9.02,NA,NA,NA
"21","A","Cash Flow","Cash Flow Ratios",51,2008-10-01,2.67,NA,NA,NA,NA
"22","A","Cash Flow","Cash Flow Ratios",51,2009-10-01,2.86,NA,NA,NA,NA
"23","A","Cash Flow","Cash Flow Ratios",51,2010-10-01,2.22,NA,NA,NA,NA
"24","A","Cash Flow","Cash Flow Ratios",51,2011-10-01,2.84,NA,NA,NA,NA
"25","A","Cash Flow","Cash Flow Ratios",51,2012-10-01,2.83,NA,NA,NA,NA
"26","A","Cash Flow","Cash Flow Ratios",51,2013-10-01,5.01,NA,NA,NA,NA
"27","A","Cash Flow","Cash Flow Ratios",51,2014-10-01,5.06,NA,NA,NA,NA
"28","A","Cash Flow","Cash Flow Ratios",51,2015-10-01,2.43,NA,NA,NA,NA
"29","A","Cash Flow","Cash Flow Ratios",51,2016-10-01,3.31,NA,NA,NA,NA
"30","A","Cash Flow","Cash Flow Ratios",51,2017-10-01,3.94,NA,NA,NA,NA
"31","A","Cash Flow","Cash Flow Ratios",52,2008-10-01,NA,NA,NA,10.43,NA
"32","A","Cash Flow","Cash Flow Ratios",52,2009-10-01,NA,NA,NA,6.25,NA
"33","A","Cash Flow","Cash Flow Ratios",52,2010-10-01,NA,NA,NA,10.97,NA
"34","A","Cash Flow","Cash Flow Ratios",52,2011-10-01,NA,NA,NA,16.21,NA
"35","A","Cash Flow","Cash Flow Ratios",52,2012-10-01,NA,NA,NA,15.08,NA
"36","A","Cash Flow","Cash Flow Ratios",52,2013-10-01,NA,NA,NA,24.58,NA
"37","A","Cash Flow","Cash Flow Ratios",52,2014-10-01,NA,NA,NA,12.5,NA
"38","A","Cash Flow","Cash Flow Ratios",52,2015-10-01,NA,NA,NA,9.73,NA
"39","A","Cash Flow","Cash Flow Ratios",52,2016-10-01,NA,NA,NA,15.56,NA
"40","A","Cash Flow","Cash Flow Ratios",52,2017-10-01,NA,NA,NA,15.94,NA
"41","A","Cash Flow","Cash Flow Ratios",53,2008-10-01,NA,NA,0.87,NA,NA
"42","A","Cash Flow","Cash Flow Ratios",53,2009-10-01,NA,NA,-9.03,NA,NA
"43","A","Cash Flow","Cash Flow Ratios",53,2010-10-01,NA,NA,0.87,NA,NA
"44","A","Cash Flow","Cash Flow Ratios",53,2011-10-01,NA,NA,1.06,NA,NA
"45","A","Cash Flow","Cash Flow Ratios",53,2012-10-01,NA,NA,0.9,NA,NA
"46","A","Cash Flow","Cash Flow Ratios",53,2013-10-01,NA,NA,1.3,NA,NA
"47","A","Cash Flow","Cash Flow Ratios",53,2014-10-01,NA,NA,0.92,NA,NA
"48","A","Cash Flow","Cash Flow Ratios",53,2015-10-01,NA,NA,0.98,NA,NA
"49","A","Cash Flow","Cash Flow Ratios",53,2016-10-01,NA,NA,1.42,NA,NA
"50","A","Cash Flow","Cash Flow Ratios",53,2017-10-01,NA,NA,1.04,NA,NA
"51","AAL","Cash Flow","Cash Flow Ratios",49,2008-12-01,NA,NA,NA,NA,NA
"52","AAL","Cash Flow","Cash Flow Ratios",49,2009-12-01,NA,NA,NA,NA,NA
"53","AAL","Cash Flow","Cash Flow Ratios",49,2010-12-01,NA,NA,NA,NA,NA
"54","AAL","Cash Flow","Cash Flow Ratios",49,2011-12-01,NA,NA,NA,NA,NA
"55","AAL","Cash Flow","Cash Flow Ratios",49,2012-12-01,NA,NA,NA,NA,NA
"56","AAL","Cash Flow","Cash Flow Ratios",49,2013-12-01,NA,NA,NA,NA,NA
"57","AAL","Cash Flow","Cash Flow Ratios",49,2014-12-01,NA,NA,NA,NA,NA
"58","AAL","Cash Flow","Cash Flow Ratios",49,2015-12-01,NA,NA,NA,NA,NA
"59","AAL","Cash Flow","Cash Flow Ratios",49,2016-12-01,NA,NA,NA,NA,440
"60","AAL","Cash Flow","Cash Flow Ratios",49,2017-12-01,NA,NA,NA,NA,NA
"61","AAL","Cash Flow","Cash Flow Ratios",50,2008-12-01,NA,NA,NA,NA,NA
"62","AAL","Cash Flow","Cash Flow Ratios",50,2009-12-01,NA,NA,NA,NA,NA
"63","AAL","Cash Flow","Cash Flow Ratios",50,2010-12-01,NA,NA,NA,NA,NA
"64","AAL","Cash Flow","Cash Flow Ratios",50,2011-12-01,NA,NA,NA,NA,NA
"65","AAL","Cash Flow","Cash Flow Ratios",50,2012-12-01,NA,NA,NA,NA,NA
"66","AAL","Cash Flow","Cash Flow Ratios",50,2013-12-01,NA,NA,NA,NA,NA
"67","AAL","Cash Flow","Cash Flow Ratios",50,2014-12-01,NA,NA,NA,NA,NA
"68","AAL","Cash Flow","Cash Flow Ratios",50,2015-12-01,NA,NA,NA,NA,NA
"69","AAL","Cash Flow","Cash Flow Ratios",50,2016-12-01,NA,NA,NA,NA,NA
"70","AAL","Cash Flow","Cash Flow Ratios",50,2017-12-01,NA,NA,NA,NA,NA
