"","symbol","date","dividends","value"
"1","A",2012-03-30,0.1,NA
"2","A",2012-06-29,0.1,NA
"3","A",2012-09-28,0.1,NA
"4","A",2012-12-27,0.1,NA
"5","A",2013-03-28,0.12,NA
"6","A",2013-06-28,0.12,NA
"7","A",2013-09-27,0.12,NA
"8","A",2013-12-27,0.132,NA
"9","A",2014-04-09,0.132,NA
"10","A",2014-06-27,0.132,NA
"11","A",2014-09-26,0.132,NA
"12","A",2015-01-02,0.1,NA
"13","A",2015-03-27,0.1,NA
"14","A",2015-06-26,0.1,NA
"15","A",2015-09-25,0.1,NA
"16","A",2015-12-31,0.115,NA
"17","A",2016-04-01,0.115,NA
"18","A",2016-06-30,0.115,NA
"19","A",2016-09-30,0.115,NA
"20","A",2016-12-29,0.132,NA
"21","A",2017-03-31,0.132,NA
"22","A",2017-06-29,0.132,NA
"23","A",2017-10-02,0.132,NA
"24","A",2017-12-29,0.149,NA
"25","A",2018-04-02,0.149,NA
"26","AAL",2014-07-31,0.1,NA
"27","AAL",2014-10-30,0.1,NA
"28","AAL",2015-02-05,0.1,NA
"29","AAL",2015-04-30,0.1,NA
"30","AAL",2015-08-06,0.1,NA
"31","AAL",2015-11-03,0.1,NA
"32","AAL",2016-02-08,0.1,NA
"33","AAL",2016-05-02,0.1,NA
"34","AAL",2016-08-03,0.1,NA
"35","AAL",2016-11-03,0.1,NA
"36","AAL",2017-02-09,0.1,NA
"37","AAL",2017-05-12,0.1,NA
"38","AAL",2017-08-10,0.1,NA
"39","AAL",2017-11-10,0.1,NA
"40","AAL",2018-02-05,0.1,NA
"41","AAPL",2012-08-09,2.65,NA
"42","AAPL",2012-11-07,2.65,NA
"43","AAPL",2013-02-07,2.65,NA
"44","AAPL",2013-05-09,3.05,NA
"45","AAPL",2013-08-08,3.05,NA
"46","AAPL",2013-11-06,3.05,NA
"47","AAPL",2014-02-06,3.05,NA
"48","AAPL",2014-05-08,3.29,NA
"49","AAPL",2014-08-07,0.47,NA
"50","AAPL",2014-11-06,0.47,NA
"51","AAPL",2015-02-05,0.47,NA
"52","AAPL",2015-05-07,0.52,NA
"53","AAPL",2015-08-06,0.52,NA
"54","AAPL",2015-11-05,0.52,NA
"55","AAPL",2016-02-04,0.52,NA
"56","AAPL",2016-05-05,0.57,NA
"57","AAPL",2016-08-04,0.57,NA
"58","AAPL",2016-11-03,0.57,NA
"59","AAPL",2017-02-09,0.57,NA
"60","AAPL",2017-05-11,0.63,NA
"61","AAPL",2017-08-10,0.63,NA
"62","AAPL",2017-11-10,0.63,NA
