"","symbol","section","sub.section","group","date","Asset Turnover","Cash Conversion Cycle","Days Inventory","Days Sales Outstanding","Fixed Assets Turnover","Inventory Turnover","Payables Period","Receivables Turnover"
"1","A","Efficiency Ratios","Efficiency",78,2008-10-01,NA,NA,NA,47.57,NA,NA,NA,NA
"2","A","Efficiency Ratios","Efficiency",78,2009-10-01,NA,NA,NA,55.59,NA,NA,NA,NA
"3","A","Efficiency Ratios","Efficiency",78,2010-10-01,NA,NA,NA,49.08,NA,NA,NA,NA
"4","A","Efficiency Ratios","Efficiency",78,2011-10-01,NA,NA,NA,47.7,NA,NA,NA,NA
"5","A","Efficiency Ratios","Efficiency",78,2012-10-01,NA,NA,NA,47.45,NA,NA,NA,NA
"6","A","Efficiency Ratios","Efficiency",78,2013-10-01,NA,NA,NA,49.03,NA,NA,NA,NA
"7","A","Efficiency Ratios","Efficiency",78,2014-10-01,NA,NA,NA,49.2,NA,NA,NA,NA
"8","A","Efficiency Ratios","Efficiency",78,2015-10-01,NA,NA,NA,71.82,NA,NA,NA,NA
"9","A","Efficiency Ratios","Efficiency",78,2016-10-01,NA,NA,NA,53.73,NA,NA,NA,NA
"10","A","Efficiency Ratios","Efficiency",78,2017-10-01,NA,NA,NA,55.3,NA,NA,NA,NA
"11","A","Efficiency Ratios","Efficiency",79,2008-10-01,NA,NA,91.25,NA,NA,NA,NA,NA
"12","A","Efficiency Ratios","Efficiency",79,2009-10-01,NA,NA,99.88,NA,NA,NA,NA,NA
"13","A","Efficiency Ratios","Efficiency",79,2010-10-01,NA,NA,92.05,NA,NA,NA,NA,NA
"14","A","Efficiency Ratios","Efficiency",79,2011-10-01,NA,NA,95.45,NA,NA,NA,NA,NA
"15","A","Efficiency Ratios","Efficiency",79,2012-10-01,NA,NA,107.23,NA,NA,NA,NA,NA
"16","A","Efficiency Ratios","Efficiency",79,2013-10-01,NA,NA,116.91,NA,NA,NA,NA,NA
"17","A","Efficiency Ratios","Efficiency",79,2014-10-01,NA,NA,115.17,NA,NA,NA,NA,NA
"18","A","Efficiency Ratios","Efficiency",79,2015-10-01,NA,NA,147.41,NA,NA,NA,NA,NA
"19","A","Efficiency Ratios","Efficiency",79,2016-10-01,NA,NA,97.76,NA,NA,NA,NA,NA
"20","A","Efficiency Ratios","Efficiency",79,2017-10-01,NA,NA,98.02,NA,NA,NA,NA,NA
"21","A","Efficiency Ratios","Efficiency",80,2008-10-01,NA,NA,NA,NA,NA,NA,44.67,NA
"22","A","Efficiency Ratios","Efficiency",80,2009-10-01,NA,NA,NA,NA,NA,NA,51.27,NA
"23","A","Efficiency Ratios","Efficiency",80,2010-10-01,NA,NA,NA,NA,NA,NA,58.51,NA
"24","A","Efficiency Ratios","Efficiency",80,2011-10-01,NA,NA,NA,NA,NA,NA,57.42,NA
"25","A","Efficiency Ratios","Efficiency",80,2012-10-01,NA,NA,NA,NA,NA,NA,52.33,NA
"26","A","Efficiency Ratios","Efficiency",80,2013-10-01,NA,NA,NA,NA,NA,NA,50.19,NA
"27","A","Efficiency Ratios","Efficiency",80,2014-10-01,NA,NA,NA,NA,NA,NA,48.85,NA
"28","A","Efficiency Ratios","Efficiency",80,2015-10-01,NA,NA,NA,NA,NA,NA,68.91,NA
"29","A","Efficiency Ratios","Efficiency",80,2016-10-01,NA,NA,NA,NA,NA,NA,48.78,NA
"30","A","Efficiency Ratios","Efficiency",80,2017-10-01,NA,NA,NA,NA,NA,NA,49.72,NA
"31","A","Efficiency Ratios","Efficiency",81,2008-10-01,NA,94.15,NA,NA,NA,NA,NA,NA
"32","A","Efficiency Ratios","Efficiency",81,2009-10-01,NA,104.2,NA,NA,NA,NA,NA,NA
"33","A","Efficiency Ratios","Efficiency",81,2010-10-01,NA,82.62,NA,NA,NA,NA,NA,NA
"34","A","Efficiency Ratios","Efficiency",81,2011-10-01,NA,85.73,NA,NA,NA,NA,NA,NA
"35","A","Efficiency Ratios","Efficiency",81,2012-10-01,NA,102.35,NA,NA,NA,NA,NA,NA
"36","A","Efficiency Ratios","Efficiency",81,2013-10-01,NA,115.75,NA,NA,NA,NA,NA,NA
"37","A","Efficiency Ratios","Efficiency",81,2014-10-01,NA,115.51,NA,NA,NA,NA,NA,NA
"38","A","Efficiency Ratios","Efficiency",81,2015-10-01,NA,150.32,NA,NA,NA,NA,NA,NA
"39","A","Efficiency Ratios","Efficiency",81,2016-10-01,NA,102.7,NA,NA,NA,NA,NA,NA
"40","A","Efficiency Ratios","Efficiency",81,2017-10-01,NA,103.6,NA,NA,NA,NA,NA,NA
"41","A","Efficiency Ratios","Efficiency",82,2008-10-01,NA,NA,NA,NA,NA,NA,NA,7.67
"42","A","Efficiency Ratios","Efficiency",82,2009-10-01,NA,NA,NA,NA,NA,NA,NA,6.57
"43","A","Efficiency Ratios","Efficiency",82,2010-10-01,NA,NA,NA,NA,NA,NA,NA,7.44
"44","A","Efficiency Ratios","Efficiency",82,2011-10-01,NA,NA,NA,NA,NA,NA,NA,7.65
"45","A","Efficiency Ratios","Efficiency",82,2012-10-01,NA,NA,NA,NA,NA,NA,NA,7.69
"46","A","Efficiency Ratios","Efficiency",82,2013-10-01,NA,NA,NA,NA,NA,NA,NA,7.44
"47","A","Efficiency Ratios","Efficiency",82,2014-10-01,NA,NA,NA,NA,NA,NA,NA,7.42
"48","A","Efficiency Ratios","Efficiency",82,2015-10-01,NA,NA,NA,NA,NA,NA,NA,5.08
"49","A","Efficiency Ratios","Efficiency",82,2016-10-01,NA,NA,NA,NA,NA,NA,NA,6.79
"50","A","Efficiency Ratios","Efficiency",82,2017-10-01,NA,NA,NA,NA,NA,NA,NA,6.6
