"","symbol","section","sub.section","group","category","date","value"
"1","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2008-12-31,5.55665882352941
"2","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2009-12-31,-229.506488888889
"3","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2010-12-31,14.1974211340206
"4","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2011-12-30,8.14797929824561
"5","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2012-12-31,8.43996330275229
"6","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2013-12-31,18.3614863849765
"7","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2014-12-31,24.3991901234568
"8","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2015-12-31,34.0802316666667
"9","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2016-12-30,32.1803228571429
"10","A","Valuation Ratios","Valuation Ratios",86,"Price to Earnings",2017-12-29,31.819450952381
"11","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2008-12-31,0.667655558018705
"12","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2009-12-31,1.59491900557911
"13","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2010-12-31,1.78594378049229
"14","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2011-12-30,1.24621588133031
"15","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2012-12-31,1.42057947506562
"16","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2013-12-31,3.46505862095532
"17","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2014-12-31,3.30040033201581
"18","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2015-12-31,3.39283138434869
"19","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2016-12-30,3.5274290118991
"20","A","Valuation Ratios","Valuation Ratios",87,"Price to Sales",2017-12-29,4.87110825626118
"21","A","Valuation Ratios","Valuation Ratios",88,"Price to Book",2008-12-31,1.42147086183311
"22","A","Valuation Ratios","Valuation Ratios",88,"Price to Book",2009-12-31,2.87282114047288
"23","A","Valuation Ratios","Valuation Ratios",88,"Price to Book",2010-12-31,3.40037
