Ticker;Companies;Year;TobinsQ
A;1;2012;0,79
A;1;2013;1,07
A;1;2014;1,03
A;1;2015;1,54
A;1;2016;1,71
AAL;2;2012;0,09
AAL;2;2013;0,36
AAL;2;2014;
AAL;2;2015;
AAL;2;2016;
AAP;3;2012;1,15
AAP;3;2013;1,42
AAP;3;2014;1,53
AAP;3;2015;1,63
AAP;3;2016;1,46
AAPL;4;2012;2,42
AAPL;4;2013;2,18
AAPL;4;2014;2,54
AAPL;4;2015;2,17
AAPL;4;2016;2,00
ABBV;5;2012;
ABBV;5;2013;
ABBV;5;2014;
ABBV;5;2015;
ABBV;5;2016;
ABC;6;2012;0,76
ABC;6;2013;0,92
ABC;6;2014;0,90
ABC;6;2015;0,96
ABC;6;2016;0,68
ABT;7;2012;0,77
ABT;7;2013;1,23
ABT;7;2014;1,66
ABT;7;2015;1,63
ABT;7;2016;1,09
ACIW;8;2012;1,59
ACIW;8;2013;1,69
ACIW;8;2014;1,70
ACIW;8;2015;1,71
ACIW;8;2016;1,45
ADBE;9;2012;1,54
ADBE;9;2013;2,62
ADBE;9;2014;3,20
ADBE;9;2015;3,82
ADBE;9;2016;3,94
ADI;10;2012;1,48
ADI;10;2013;1,77
ADI;10;2014;1,95
ADI;10;2015;2,31
ADI;10;2016;2,17
ADM;11;2012;0,27
ADM;11;2013;0,48
ADM;11;2014;0,64
ADM;11;2015;0,48
ADM;11;2016;0,62
ADP;12;2012;0,77
ADP;12;2013;0,97
ADP;12;2014;0,86
ADP;12;2015;0,94
ADP;12;2016;1,13
ADS;13;2012;0,65
ADS;13;2013;1,03
ADS;13;2014;0,93
ADS;13;2015;0,76
ADS;13;2016;0,50
ADSK;14;2012;1,89
ADSK;14;2013;1,88
ADSK;14;2014;2,65
ADSK;14;2015;2,40
ADSK;14;2016;3,48
AEE;15;2012;0,56
AEE;15;2013;0,70
AEE;15;2014;0,80
AEE;15;2015;0,74
AEE;15;2016;0,83
AEP;16;2012;0,71
AEP;16;2013;0,73
AEP;16;2014;0,83
AEP;16;2015;0,80
AEP;16;2016;0,82
AET;17;2012;0,52
AET;17;2013;0,71
AET;17;2014;0,80
AET;17;2015;0,91
AET;17;2016;0,76
AFL;18;2012;0,28
AFL;18;2013;0,34
AFL;18;2014;0,29
AFL;18;2015;0,26
AFL;18;2016;0,26
AGN;19;2012;0,70
AGN;19;2013;1,21
AGN;19;2014;
AGN;19;2015;
AGN;19;2016;
AIG;20;2012;
AIG;20;2013;
AIG;20;2014;
AIG;20;2015;
AIG;20;2016;
AKAM;21;2012;2,60
