"Day" "Month" "Year" "Ticker" "RD"
"1" "30" "04" "2015" "CRM" "
                
                    222.13M
                
            "
"3" "30" "04" "2013" "CRM" "
                
                    131.94M
                
            "
"4" "30" "04" "2012" "AMAT" "
                
                    321.00M
                
            "
"7" "30" "04" "2016" "CPB" "
                
                    31.00M
                
            "
"8" "30" "04" "2012" "CPB" "
                
                    32.00M
                
            "
"9" "30" "04" "2013" "AMAT" "
                
                    344.00M
                
            "
"15" "30" "04" "2012" "CRM" "
                
                    94.78M
                
            "
"16" "30" "04" "2015" "CSCO" "
                
                    1.547B
                
            "
"19" "30" "04" "2015" "ADSK" "
                
                    194.50M
                
            "
"22" "30" "04" "2014" "CRM" "
                
                    188.36M
                
            "
"27" "30" "04" "2016" "NVDA" "
                
                    346.00M
                
            "
"29" "30" "04" "2014" "CSCO" "
                
                    1.565B
                
            "
"30" "30" "04" "2012" "ADSK" "
                
                    152.70M
                
            "
"31" "30" "04" "2012" "DE" "
                
                    352.00M
                
            "
"32" "30" "04" "2015" "NVDA" "
                
                    339.00M
                
            "
"36" "30" "04" "2014" "ADSK" "
                
                    170.50M
                
            "
"39" "30" "04" "2013" "ADSK" "
                
                    150.80M
                
            "
"40" "30" "04" "2012" "ADI" "
                
                    127.54M
                
            "
"42" "30" "04" "2012" "A" "
                
                    166.00M
                
            "
"43" "30" "04" "2015" "AMAT" "
                
                    365.00M
                
            "
"46" "30" "04" "2015" "DE" "
                
                    341.10M
                
            "
"47" "30" "04" "2014" "INTU" "
                
                    186.00M
                
            "
"48" "30" "04" "2013" "CSCO" "
                
                    1.542B
                
            "
"53" "30" "04" "2016" "AMAT" "
                
                    386.00M
                
            "
"54" "30" "04" "2013" "DE" "
                
                    376.80M
                
            "
"55" "30" "04" "2016" "DE" "
                
                    345.00M
                
            "
"56" "30" "04" "2015" "INTU" "
                
                    206.00M
                
            "
"59" "30" "04" "2012" "WDAY" "
                
                    20.79M
                
            "
"65" "30" "04" "2016" "CSCO" "
                
                    1.626B
                
            "
"68" "30" "04" "2012" "INTU" "
                
                    163.00M
                
            "
"69" "30" "04" "2013" "CPB" "
                
                    35.00M
                
            "
"71" "30" "04" "2015" "A" "
                
                    81.00M
                
            "
"72" "30" "04" "2014" "ADI" "
                
                    136.20M
                
            "
"78" "30" "04" "2016" "ADI" "
                
                    160.24M
                
            "
"81" "30" "04" "2013" "A" "
                
                    181.00M
                
            "
"83" "30" "04" "2016" "CRM" "
                
                    260.97M
                
            "
"87" "30" "04" "2015" "WDAY" "
                
                    99.34M
                
            "
"90" "30" "04" "2014" "DE" "
                
                    354.10M
                
            "
"91" "30" "04" "2015" "CPB" "
                
                    30.00M
                
            "
"95" "30" "04" "2014" "CPB" "
                
                    30.00M
                
            "
"96" "30" "04" "2015" "ADI" "
                
                    154.23M
                
            "
"98" "30" "04" "2012" "NVDA" "
                
                    283.90M
                
            "
"101" "30" "04" "2014" "AMAT" "
                
                    355.00M
                
            "
"104" "30" "04" "2014" "NVDA" "
                
                    334.00M
                
            "
"105" "30" "04" "2013" "ADI" "
                
                    128.11M
                
            "
"109" "30" "04" "2013" "WDAY" "
                
                    36.28M
                
            "
"110" "30" "04" "2016" "ADSK" "
                
                    193.50M
                
            "
"111" "30" "04" "2016" "A" "
                
                    81.00M
                
            "
"113" "30" "04" "2013" "NVDA" "
                
                    327.16M
                
            "
"114" "30" "04" "2016" "WDAY" "
                
                    141.78M
                
            "
"115" "30" "04" "2014" "WDAY" "
                
                    65.17M
                
            "
"117" "30" "04" "2014" "A" "
                
                    87.00M
                
            "
"121" "30" "04" "2016" "INTU" "
                
                    228.00M
                
            "
"123" "30" "04" "2013" "INTU" "
                
                    166.00M
                
            "
"124" "30" "04" "2012" "CSCO" "
                
                    1.358B
                
            "
"128" "31" "08" "2012" "RHT" "
                
                    63.37M
                
            "
"133" "31" "08" "2016" "ORCL" "
                
                    1.52B
                
            "
"137" "31" "08" "2015" "ORCL" "
                
                    1.39B
                
            "
"138" "31" "08" "2016" "ADBE" "
                
                    248.45M
                
            "
"140" "31" "08" "2014" "MU" "
                
                    358.00M
                
            "
"141" "31" "08" "2014" "ORCL" "
                
                    1.329B
                
            "
"143" "31" "08" "2015" "ADBE" "
                
                    218.66M
                
            "
"145" "31" "08" "2016" "MU" "
                
                    411.00M
                
            "
"147" "31" "08" "2014" "ADBE" "
                
                    212.05M
                
            "
"148" "31" "08" "2016" "MON" "
                
                    421.00M
                
            "
"149" "31" "08" "2015" "MU" "
                
                    379.00M
                
            "
"151" "31" "08" "2012" "MON" "
                
                    438.00M
                
            "
"157" "31" "08" "2013" "MU" "
                
                    267.00M
                
            "
"158" "31" "08" "2013" "ORCL" "
                
                    1.237B
                
            "
