"","year","Month","Revenue.USD.Mil","Gross.Margin.%","Operating.Income.USD.Mil","Operating.Margin.%","Net.Income.USD.Mil","Earnings.Per.Share.USD","Dividends.USD","Payout.Ratio.%.*","Shares.Mil","Book.Value.Per.Share.*.USD","Operating.Cash.Flow.USD.Mil","Cap.Spending.USD.Mil","Free.Cash.Flow.USD.Mil","Free.Cash.Flow.Per.Share.*.USD","Working.Capital.USD.Mil","Revenue","COGS","Gross.Margin","SGA","RD","Operating.Margin","Net.Int.Inc..Other","EBT.Margin","Profitability","Tax.Rate.%","Net.Margin.%","Asset.Turnover.(Average)","Return.on.Assets.%","Financial.Leverage.(Average)","Return.on.Equity.%","Return.on.Invested.Capital.%","Interest.Coverage","Revenue.%","Year.over.Year","3.Year.Average","5.Year.Average","10.Year.Average","Operating.Income.%","Net.Income.%","EPS.%","Operating.Cash.Flow.Growth.%.YOY","Free.Cash.Flow.Growth.%.YOY","Cap.Ex.as.a.%.of.Sales","Free.Cash.Flow.Sales.%","Free.Cash.Flow.Net.Income","Cash..Short.Term.Investments","Accounts.Receivable","Inventory","Other.Current.Assets","Total.Current.Assets","Net.PPE","Intangibles","Other.Long.Term.Assets","Total.Assets","Accounts.Payable","Short.Term.Debt","Taxes.Payable","Accrued.Liabilities","Other.Short.Term.Liabilities","Total.Current.Liabilities","Long.Term.Debt","Other.Long.Term.Liabilities","Total.Liabilities","Total.Stockholders'.Equity","Total.Liabilities..Equity","Current.Ratio","Quick.Ratio","Financial.Leverage","Debt.Equity","Days.Sales.Outstanding","Days.Inventory","Payables.Period","Cash.Conversion.Cycle","Receivables.Turnover","Inventory.Turnover","Fixed.Assets.Turnover","Asset.Turnover","Ticker","Year","Day"
"1","2008","10","5,774","55.4","795","13.8","693","1.87","","","371","7.31","756","-154","602","1.62","1,883","100.00","44.65","55.35","29.39","12.19","13.77","0.35","14.11","2008-10","14.97","12.00","0.77","9.25","2.91","23.93","13.85","","","19.11","42.23","","12.81","","","","-21.98","-26.14","2.67","10.43","0.87","19.21","10.35","8.69","4.88","43.14","11.08","11.75","34.03","100.00","4.14","","","2.69","10.99","17.82","28.57","19.20","65.59","34.41","100.00","2.42","1.66","2.91","0.83","47.57","91.25","44.67","94.15","7.67","4.00","7.11","0.77","A","2008","01"
"2","2009","10","4,481","51.1","47","1.0","-31","-0.09","","","346","7.19","408","-128","280","0.89","2,838","100.00","48.85","51.15","35.77","14.33","1.05","-0.89","0.16","2009-10","542.86","-0.69","0.60","-0.41","3.04","-1.22","0.15","1.08","","","","","","","","","-46.03","-53.49","2.86","6.25","-9.03","32.75","7.82","7.25","4.22","52.04","11.10","10.80","26.06","100.00","4.03","","0.34","6.63","3.74","14.75","38.15","14.17","67.08","32.92","100.00","3.53","2.75","3.04","1.16","55.59","99.88","51.27","104.20","6.57","3.65","5.37","0.60","A","2009","01"
"3","2010","10","5,444","53.8","566","10.4","684","1.94","","","353","8.10","718","-121","597","1.26","3,086","100.00","46.18","53.82","32.18","11.24","10.40","2.31","12.71","2010-10","1.16","12.56","0.63","7.90","3.00","23.86","10.98","8.21","","","7.31","24.45","1.57","","","","75.98","113.21","2.22","10.97","0.87","27.32","8.96","7.38","19.96","63.62","10.11","20.11","6.16","100.00","5.15","15.49","","7.48","3.70","31.82","22.61","12.25","66.68","33.32","100.00","2.00","1.14","3.00","0.68","49.08","92.05","58.51","82.62","7.44","3.97","5.97","0.63","A","2010","01"
"4","2011","10","6,615","53.3","1,071","16.2","1,012","2.85","","","355","12.41","1,260","-188","1,072","3.02","3,732","100.00","46.65","53.35","27.35","9.81","16.19","-0.59","15.60","2011-10","1.94","15.30","0.71","10.79","2.10","26.86","16.14","13.00","","46.91","15.08","-17.59","22.32","","","","75.49","79.56","2.84","16.21","1.06","38.94","9.50","9.91","3.14","61.49","11.11","22.04","5.37","100.00","5.22","2.80","","3.30","8.98","20.30","21.35","10.74","52.39","47.61","100.00","3.03","2.39","2.10","0.45","47.70","95.45","57.42","85.73","7.65","3.82","6.66","0.71","A","2011","01"
"5","2012","10","6,858","52.6","1,119","16.3","1,153","3.27","0.30","9.1","353","14.98","1,228","-194","1,034","2.93","2,736","100.00","47.45","52.55","26.49","9.74","16.32","-1.11","15.21","2012-10","","16.81","0.70","11.77","2.03","24.30","17.60","11.33","","14.74","","15.81","","","","","-2.54","-3.54","2.83","15.08","0.90","22.31","8.76","9.62","3.24","43.94","11.05","39.02","6.00","100.00","4.38","2.37","","3.56","7.66","17.97","20.05","12.78","50.80","49.20","100.00","2.45","1.73","2.03","0.41","47.45","107.23","52.33","102.35","7.69","3.40","6.32","0.70","A","2012","01"
"6","2013","10","3,894","49.0","386","9.9","734","2.13","0.46","16.4","345","14.38","1,152","-195","957","2.96","3,381","100.00","51.03","48.97","30.41","8.65","9.91","-2.39","7.52","2013-10","15.72","10.68","0.64","6.82","2.02","13.83","10.58","9.03","","-35.78","2.68","2.35","","","","","-6.19","-7.45","5.01","24.58","1.30","25.03","8.41","9.98","3.21","46.63","10.61","38.68","4.08","100.00","4.04","","","3.09","7.86","15.00","25.26","10.26","50.52","49.48","100.00","3.11","2.23","2.02","0.51","49.03","116.91","50.19","115.75","7.44","3.12","5.90","0.64","A","2013","01"
"7","2014","10","4,048","48.8","419","10.4","549","1.62","0.53","25.2","338","16.83","711","-205","506","2.16","3,798","100.00","51.19","48.81","29.62","8.84","10.35","-4.69","5.66","2014-10","21.98","7.22","0.65","4.68","2.04","9.52","7.29","6.72","","-29.05","-19.44","","7.69","","","","-38.28","-47.13","5.06","12.50","0.92","27.96","9.08","9.90","3.85","50.78","10.17","32.92","6.13","100.00","4.39","","","3.67","7.67","15.72","25.51","9.84","51.07","48.93","100.00","3.23","2.36","2.04","0.52","49.20","115.17","48.85","115.51","7.42","3.17","6.24","0.65","A","2014","01"
"8","2015","10","4,038","50.5","522","12.9","401","1.20","0.40","25.3","335","12.36","491","-98","393","0.90","2,710","100.00","49.46","50.54","29.45","8.17","12.93","-1.04","11.89","2015-10","8.75","9.93","0.44","4.38","1.79","8.47","6.55","8.27","","-19.46","-28.41","-9.16","6.32","","","","-30.94","-22.33","2.43","9.73","0.98","26.78","8.10","7.23","7.17","49.28","8.08","37.59","5.05","100.00","3.73","","","2.92","6.41","13.06","22.14","9.07","44.26","55.74","100.00","3.78","2.67","1.79","0.40","71.82","147.41","68.91","150.32","5.08","2.48","4.74","0.44","A","2015","01"
"9","2016","10","4,202","52.3","615","14.6","462","1.40","0.46","30.9","329","13.40","793","-139","654","2.02","2,690","100.00","47.72","52.28","29.82","7.83","14.64","-1.69","12.95","2016-10","15.07","10.99","0.55","6.05","1.84","10.99","8.58","8.56","","16.67","-12.64","-13.25","-15.45","","","","61.51","66.41","3.31","15.56","1.42","29.34","8.09","6.83","2.33","46.59","8.19","37.49","7.73","100.00","3.30","","","2.36","6.46","12.12","24.52","8.96","45.60","54.40","100.00","3.85","3.09","1.84","0.45","53.73","97.76","48.78","102.70","6.79","3.73","6.76","0.55","A","2016","01"
"10","2017","10","4,472","53.9","841","18.8","684","2.10","0.53","26.3","326","14.31","889","-176","713","2.04","2,906","100.00","46.13","53.87","27.48","7.58","18.81","-0.85","17.96","2017-10","14.82","15.30","0.55","8.43","1.74","15.08","11.09","11.16","","50.00","12.12","-8.48","2.95","","","","12.11","9.02","3.94","15.94","1.04","31.78","8.59","6.82","2.28","49.48","8.98","35.22","6.31","100.00","3.62","2.49","","2.15","6.73","15.00","21.38","6.26","42.64","57.36","100.00","3.30","2.69","1.74","0.37","55.30","98.02","49.72","103.60","6.60","3.72","6.41","0.55","A","2017","01"
